Character,Gender,TitleOrClass,Role
اسٹورٹ کیمبل,Male,Detective / Sir,Protagonist
جان سکیٹ,Male,Craftsman / Common Man,Support
چارلی سکیٹ,Female,Poor Girl,Protagonist
مسز سکیٹ,Female,Wife,Minor
مسز ہیکسٹ,Female,Wife / Mother,Support
دینی فرڈ,Female,Daughter of a Sahib / Girl,Protagonist
مسٹر پاسٹ,Male,Rich Man / Chief,Support
راڈرک پاسٹ,Male,Son of a Sahib,Support
پادری لانگڈن ٹریسنگھم,Male,Pastor,Support
سر جارج ٹریسنگھم,Male,Sir / Aristocrat,Support
پادری جوزف مینڈیبل,Male,Chief Priest,Support
نواب ڈی۔ گورن,Male,Nawab,Antagonist
ایلائیس کرائی,Female,Madam / Criminal Woman,Antagonist
جسفر لومکس,Male,Criminal / Counterfeiter,Antagonist
بغیر ٹانگوں والا یہودی مچھلی فروش,Male,Shopkeeper / Jew,Support
اسمتھ,Male,Church Worker,Support
گلنسر,Male,Old Cook,Support
ٹونگس,Male,Servant,Support
گاسٹن,Male,Driver / Servant,Support
نواب کے جعلی سپاہی (جوڑا),Male,Criminal Soldier,Support
نواب کا سنہرا بالوں والا ملازم,Male,Servant,Support
اسسٹنٹ پولیس کمشنر میک ٹیگرٹ,Male,Police Officer,Support
کونسٹیبل اسکوائری,Male,Police Constable,Support
کانسٹبل سیمسن,Male,Police Constable,Support
سپاہی لارنس,Male,Police Constable,Support
ڈاکٹر میک کان,Male,Doctor,Support
نرس ریڈ فرن,Female,Nurse,Support
ڈبلن کونٹ,Male,Witness / Sir,Support
قلعہ کلور کا پہرہ دار,Male,Guard,Support
نواب کے خفیہ چوکیدار (جوڑا),Male,Watchman / Guard,Support
گشت سپاہی (کائیٹس لین),Male,Soldier,Minor
بوڑھا فرانسیسی باورچی,Male,Cook,Support
بوڑھا گلنیٹیرا,Male,Old Informer / Collaborator,Support
غلہ گودام کا چوکیدار,Male,Watchman,Minor
ہارسٹ لاک کا لڑکا,Male,Servant Boy,Minor
دیہاتی رہبر,Male,Villager / Guide,Minor
مہندی بالوں والا مزدور,Male,Laborer,Minor
چارلی کا استاد,Male,Teacher,Minor
گرجے کے چوکیدار,Male,Watchman,Minor
کوچوان (حادثہ کی رات والا),Male,Coachman,Minor
نامعلوم دبلا لڑکا قبر پر,Male,Unknown,Minor
