Character,Gender,TitleOrClass,Role
معظم,Male,Middle-class Man,Protagonist
زرقا,Female,Middle-class Girl,Protagonist
انور,Male,Friend / Clerk,Support
حبیب مرزا,Male,Sahib,Antagonist
لیلی,Female,College Girl,Support
شیریں,Female,Schoolgirl,Support
رانی,Female,Child,Minor
گلو,Female,Child,Minor
اماں,Female,Household Elder,Support
خان صاحب,Male,Overseas Worker,Minor
ملکہ,Female,Begum / Neighbor,Minor
لالو,Male,Poor Labourer,Support
لالو کی ماں,Female,Poor Widow,Minor
پھتو,Male,Friend,Minor
رکھتی,Female,Maidservant,Minor
بیگم صاحبہ (کویت والے),Female,Begum,Minor
ڈونگری صاحب,Male,Sahib,Minor
بشیر (ڈرائیور),Male,Driver,Minor
چچا (لالو کا),Male,Uncle,Minor
