Character,Gender,TitleOrClass,Role
عطیہ,Female,None,Support
زمبا,Female,None,Minor
منا,Female,None,Minor
شریفاں,Female,None,Minor
تاجے,Male,Sahib,Minor
گلزار,Male,Sahib,Minor
ایوب,Male,Sahib,Minor
زیبا,Female,None,Minor
سومناتھ,Male,None,Minor
شہزادہ,Male,None,Minor
مریضہ,Female,None,Minor
ہر بیل سنگھ,Male,Sardar,Minor
کرنیل کور,Female,Sardarni,Minor
گلو,Female,None,Minor
فاطمہ,Female,None,Protagonist
سارا,Female,None,Support
گلو کی والدہ,Female,Household Elder,Minor
مینا,Female,None,Support
ریحان,Male,Sahib,Minor
عبدالکریم,Male,Sahib,Minor
فرخ,Male,Sahib,Major Support
سلیمہ,Female,None,Support
ٹونی,Male,None,Minor
نذیر,Male,Sahib,Minor
میاں خان,Male,Sahib,Minor
صائمہ,Female,None,Minor
زری,Female,None,Protagonist
مہ رخ,Female,Working Woman (Columnist),Antagonist
ظفر,Male,Photographer,Minor
