Character,Gender,TitleOrClass,Role
سورداس,Male,Chamaar Devotee,Protagonist
مٹھو,Male,Village Boy,Minor
گھیسو,Male,Naughty Boy,Minor
بجرنگی,Male,Ahir Farmer,Support
جمنی,Female,Village Woman,Support
جگدھر,Male,Street Vendor,Minor
بھیرو,Male,Toddy Seller,Minor
بھیرو کی ماں,Female,Old Mother,Minor
سو بھاگی,Female,Village Chamaar Woman,Support
سجاگی,Female,Village Woman,Minor
گنیش گاڑی بان,Male,Cart Driver,Minor
نا یک رام,Male,Pandit / Village Head,Antagonist
دیاگر,Male,Temple Priest,Support
ٹھاکر دین,Male,Thakur Landlord,Minor
چودھری کھال خریدار,Male,Leader of Hide Traders,Antagonist
چماروں کے چودھری,Male,Chief of Chamaar Community,Support
جان سیوک,Male,Mr. / Industrialist,Protagonist
مسز جان سیوک,Female,Mrs. / Elder Woman of the House,Support
پر بھو سیوک,Male,Educated Young Christian Man,Support
صوفیہ سیوک,Female,Educated Christian Girl,Protagonist
ایشور سیوک,Male,Elder Christian,Support
ڈاکٹر گنگولی,Male,Doctor,Support
اندو,Female,Princess,Support
رانی جانھوی,Female,Queen,Support
کنور بھرت سنگھ,Male,Prince / Landlord,Support
ونے سنگھ,Male,Prince,Support
مس سہراب جی,Female,Miss / Schoolteacher,Minor
راجہ مہندر کمار سنگھ,Male,King,Support
مسٹر کلارک,Male,District Collector / Sahib Bahadur,Antagonist
گودام کے صاحب,Male,Warehouse Owner,Minor
اندھے فقیر,Male,Faqir (Holy Beggar),Support
طاہر علی,Male,Clerk / Agent,Support
کلثوم,Female,Wife,Minor
زینب,Female,Elder Stepmother,Minor
رقیہ,Female,Younger Stepmother,Minor
ماہر علی,Male,Student,Minor
ظاہر علی,Male,Student,Minor
جابر علی,Male,Stepboy / Stepson,Minor
صابر علی,Male,Stepboy / Stepson,Minor
نسیمہ,Female,Girl,Minor
سید رضا علی,Male,Police Inspector,Antagonist
پسناہری,Male,Merchant / Well-wisher,Minor
جھکڑ سائیں,Male,Faqir Saint,Minor
چنکی کے محرر,Male,Writer / Scribe,Minor
سیوا سمیتی کے رضاکار,Unknown,Volunteer Group,Minor
مندر کا پجاری,Male,Priest,Minor
ریورنڈ (عیسائی مُلا),Male,Pastor,Minor
اتم (ڈاکیہ),Male,Postman,Minor
بیر پال سنگھ,Male,Bandit Chief,Minor
مہاراج اندروت,Male,Maharaj / Herbal Healer,Support
بینگن سنگھ,Male,Coachman / Driver,Minor
کمشنر صاحب,Male,Commissioner,Antagonist
اخبار کا مدیر,Male,Editor,Support
پولیس سپرنٹنڈنٹ,Male,Police Officer,Antagonist
عیسائی بیرسٹر,Male,Barrister,Minor
مسٹر جان برڈ,Male,Mr. / Factory Owner,Minor
پروفیسر چارلس تیبین,Male,Professor,Minor
مسٹر نیل منی,Male,Mr. / Union Leader,Minor
لارڈ بشپ,Male,Bishop,Minor
ڈپٹی صاحب,Male,Deputy Collector,Minor
سردار نیل کنٹھ سنگھ,Male,Deewan (Chief Minister),Minor
ریزیڈنٹ صاحب,Male,Resident / Political Agent,Antagonist
مہاراجہ صاحب (ریاست),Male,Maharaja,Minor
علاقہ دار,Male,Regional Officer,Minor
آبکاری کے داروغہ,Male,Excise Inspector,Antagonist
محاسب,Male,Accountant,Minor
پرن ناتھ,Male,Babu / Munim (Account-keeper),Minor
سول سارجنٹ,Male,Civil Sergeant,Minor
لاٹ صاحب,Male,Governor General,Antagonist
