Character,Gender,TitleOrClass,Role
ضمیر,Male,Young Master/Student,Protagonist
تحسینہ,Female,Household Worker/Young Woman,Support
بڑی آپا,Female,Household Elder,Support
امی,Female,Mother/Household Elder,Support
تائی اماں,Female,Aunt/Elder,Support
نانی اماں,Female,Grandmother/Elder,Support
باوا,Male,Landlord/Retired Official,Support
ابا میاں,Male,Father/Household Elder,Minor
بنی,Female,Child,Support
اچھے,Male,Child,Support
پیر جی,Male,Pir/Religious Elder,Support
مولوی ثناء اللہ,Male,Molvi/Religious Scholar,Support
شیخ ضیاء الحق,Male,Sheikh/Notable,Minor
بنیاد علی,Male,Relative/Matchmaker,Support
فقیر چند,Male,Fakir/Beggar-figure,Minor
محمد,Male,Servant/Worker,Support
تحصیل دار صاحب,Male,Tahsildar/Official,Support
چچا,Male,Uncle/Relative,Minor
میاں بشیر حسین,Male,Sahib/Retired Tahsildar,Support
منشی جی,Male,Clerk/Munshi,Support
بوڑھا بڑھئی,Male,Carpenter/Ustad,Support
راج مزدور,Unknown,Construction Laborers,Minor
عدالت علی,Male,Local Man,Minor
حکیم جی,Male,Hakim/Healer,Support
غنی,Male,Local Man,Minor
صدیق,Male,Local Man,Minor
نصیر,Male,Local Man,Minor
سمند خاں,Male,Khan/Nawab-like,Support
بخت خاں,Male,Khan/Commander,Support
سخت خاں,Male,Khan,Minor
دلاور خاں,Male,Khan,Minor
حکیم ضامن علی,Male,Hakim/Physician,Support
شہزادی محل,Female,Shahzadi/Begum,Support
والد ماجد,Male,Father/Sahib,Minor
والدہ حضرت,Female,Mother/Begum,Minor
طوطے میاں,Male,Storyteller/Parrot-keeper,Support
فرنگی گاؤ سوار,Unknown,Foreign Army/Invaders,Antagonist
گندل,Unknown,Animal (Bull),Support
ہیرا,Unknown,Animal (Bull),Support
الہ دیا,Male,One-time Mention,Minor
حیدر علی,Male,Historical Figure,Minor
ٹیپو سلطان,Male,Historical Sultan,Minor
اسپِ وفادار صبا رفتار,Unknown,Animal (Horse),Minor
سبز پوش ناقہ سوار,Unknown,Mythic/Herald Figure,Minor
شہزادہ,Male,Prince (Legend),Minor
چوبدار,Male,Court Attendant,Minor
میرٹھ کا غازی,Male,Quoted/Historical Fighter,Minor
سیہ پوش بزرگ,Male,Mythic Elder,Minor
الٹے بالوں والے غلام,Male,Slave/Servant (Legend),Minor
غلام پہاڑی,Male,Slave/Servant (Legend),Minor
کوتوال,Male,Police Official (Legend),Minor
مٹھو,Unknown,Animal (Parrot),Minor
طوطے میاں کے والد,Male,Father (Story),Minor
شیر شاہ سوری,Male,Historical Sultan,Minor
شاہجہاں,Male,Historical Emperor,Minor
ہمایوں,Male,Historical Emperor,Minor
آلھا اودل,Male,Folk/Heroic Figure,Minor
امداد,Male,Prospective Groom/Relative,Minor
چچا کا لونڈا,Male,Cousin (One-time),Minor
نوری,Female,Servant,Minor
سینگی بائی,Female,One-time Mention,Minor
بیریا,Unknown,Animal/Insect (Spider/Creature),Minor
میرا,Unknown,Animal,Minor
گاؤں کے لڑکے,Unknown,Children Group,Minor
نجومی,Male,Astrologer,Minor
وکیل علی,Male,Religious Invocation Figure,Minor
بادشاہ علی,Male,Religious Invocation Figure,Minor
مولا علی,Male,Religious Invocation Figure,Minor
میر بو علی,Male,Quoted/Mythic Saint,Minor
تیلیا راجہ,Unknown,Animal/Insect,Minor
