Character,Gender,TitleOrClass,Role
داؤ جی,Male,Record Keper,Protagonist
راوی (گولو/طنبورے کا قصہ),Male,Student,Narrator
آفتاب,Male,Student,Support
امی چند,Male,Student,Support
بی بی (قرۃ العین),Female,Daughter,Support
بے بے,Female,Household Elder,Support
ڈاکٹر صاحب (اباجی),Male,Doctor,Support
اماں,Female,Mother,Support
حکیم علی احمد,Male,Hakeem,Support
رانو,Male,Milk Seller,Antagonist
کوڈو,Male,Friend,Support
خوشیا,Male,Friend,Support
ویسو,Male,Friend,Minor
دیسو,Male,Friend,Support
دیسو کے والد (کھمے پنساری),Male,Shopkeeper,Minor
رانو کے والد,Male,Milk Seller,Minor
لنگڑا کمہار,Male,Potter,Minor
جیجا رام پرتاپ,Male,Groom,Support
جیجا رام پرتاپ کے والد,Male,Elder,Minor
حکیم ناصر علی سیستانی,Male,Hakeem/Scholar,Support
حضرت مولانا,Male,Religious Scholar,Support
حضرت اسماعیل چشتی,Male,Religious Elder,Minor
سیوا سنگھ,Male,Political Worker,Minor
مسلم لیگی لڑکے (بیلچہ پارٹی),Male,Activists,Minor
لڑکی (بے بے کے ساتھ کام کرنے والی),Female,Seamstress,Minor
ملاجی (منصفی کے ساتھی),Male,Religious Teacher,Minor
موٹا ماشکی,Male,Water Carrier,Minor
ٹی ٹی (کتا),Unknown,Animal,Minor
چچا امان,Male,Uncle,Minor
تیلو رام,Male,Seller,Minor
امرت,Male,Messenger,Minor
افضل,Male,Friend,Support
افضل کے اباجی,Male,Policeman,Minor
پھپھی جان,Female,Aunt,Minor
کالا ڈ بو,Male,Young Jat,Minor
سرور,Male,Friend/Supporter,Support
صوبیدار دیتے خان,Male,Ex-Army,Support
بڑے پیرزادہ صاحب,Male,Religious Elder,Support
عطیہ بانو پیر زادی,Female,Pirzadi,Support
عزیز الدین,Male,Soldier,Support
غلام حسین (ڈاکیا),Male,Postman,Minor
بابو محمد دین,Male,Clerk,Minor
محمد حسین,Male,Clerk,Minor
مس تیلما,Female,Teacher,Support
دادا (حقیقت نیوش کا راوی),Male,Elder,Narrator
سعدی,Female,Young Girl,Support
سعدی کی سہیلیاں,Female,Friends,Minor
جمیل,Male,Young Man,Support
زبیدہ,Female,Love Interest,Support
زبیدہ کی امی,Female,Mother,Minor
زبیدہ کا بھائی,Male,Clerk,Minor
نجمہ,Female,Girl,Minor
نزہت,Female,Girl,Minor
جمیل کے ابا,Male,Father,Minor
چچی (جمیل کی),Female,Aunt,Minor
ت (گل ٹریا لڑکی),Female,Neighbour Girl,Minor
فرخ,Male,Lawyer,Support
فرخ کی بیوی,Female,Bride,Support
تو شے بلے کی ماں,Female,Mother,Minor
تو شے بلے کا باپ,Male,Young Man,Minor
ابی (تو شے بلے لڑکی کے),Female,Mother,Minor
سب پوسٹ ماسٹر صاحب,Male,Postmaster (Retd.),Support
ارشد,Male,Student,Support
بلقیس,Female,Housewife,Support
حسن میر,Male,Shopkeeper,Minor
شریف (پٹرول پمپ مالک),Male,Pump Owner,Minor
صفدر ٹھیلا,Male,Vendor,Support
راوی (صفدر ٹھیلا قصہ),Male,Moral-Narrator,Narrator
حبیب عینی,Male,Friend/Poet,Support
پھیپھی پریتم,Female,Elder Aunt,Minor
برکت مہاشے,Male,Shopkeeper,Minor
انور طوطا,Male,Nicknamed Young Man,Minor
مدن بگھی,Male,Carriage Driver,Minor
ماسٹر گنگا,Male,Schoolteacher,Minor
ماسٹر ایشر داس,Male,Teacher,Minor
مولوی ابوالحسن,Male,Teacher (Religious),Support
پنڈت امرناتھ,Male,Headmaster,Support
دیوان چند,Male,Peon,Minor
ماسٹر گڈ پنکھ,Male,Teacher,Minor
حبیب عینی کا بھائی,Male,Child,Minor
پنڈت جی کی بیوی,Female,Teacher’s Wife,Minor
پنڈت جی کی لڑکیاں,Female,Schoolchildren,Minor
طلعت,Female,Elder Sister,Support
نظر,Female,Sister,Support
آلاجی,Female,Mother,Support
ڈیڈی,Male,Father,Support
للّا ماموں,Male,Maternal Uncle,Minor
تایا جی (انجم کے ابا),Male,Uncle,Minor
تائی جی,Female,Aunt,Minor
انجم,Male,Friend/Brother-figure,Support
پلوٹو (کتا),Unknown,Animal,Minor
ثریا,Female,Young Woman,Protagonist
جعفری,Male,Officer / Suitor,Antagonist
امی (ثریا کی),Female,Mother,Support
مانی,Female,Child,Minor
بھائی جان (ثریا کے),Male,Brother,Support
باجی (ثریا کی بڑی بہن),Female,Elder Sister,Support
لطیف صاحب,Male,Inspector / Officer,Support
لطیف صاحب کا بھانجا,Male,Young Boy,Minor
امینہ,Female,Friend,Support
امینہ کے ڈیڈی,Male,Father,Support
چیف کنٹرولر,Male,Government Officer,Minor
فضلو سبزی والا,Male,Vendor,Minor
نواب شاہ والے حیدر چچا,Male,Elder Uncle,Minor
مالی (کوارٹر),Male,Gardener,Minor
ضیا ٹائپسٹ,Male,Typist,Minor
مولوی صاحب (نماز استسقاء),Male,Cleric,Minor
پروفیسر (روما والا راوی),Male,Professor,Narrator
ٹھاکر,Male,Friend/Colleague,Support
بھلی,Female,Local Woman,Minor
لمبی لڑکی,Female,Girl,Minor
ایل ویرا,Female,European Girl,Support
اماں (پروفیسر کی),Female,Mother,Support
ابا جان (پروفیسر کے),Male,Father,Support
بڑا بھائی (پروفیسر کا),Male,Elder Brother,Support
مولوی غلام رسول,Male,Cleric,Minor
سعادت یار خاں,Male,Elder Official,Minor
نواب صاحب,Male,Nawab / Patron,Support
نواب بیگم,Female,Begum,Support
ماریا,Female,Italian Girl,Support
آنا,Female,Italian Girl,Support
فیرا کونی,Female,Teacher/Guide,Support
بادسانی,Male,Friend/Italian Local,Support
دی پیترو,Male,Artist/Local,Minor
ریکٹر صاحب (یونیورسٹی),Male,Rector,Support
چھوٹے ماکسترو,Male,Musician,Minor
نواب صاحب کا ڈرائیور,Male,Driver,Minor
ماریو,Male,Local Boy,Minor
جینا,Female,Local Girl,Minor
پرانی چیزوں کا سودا گر,Male,Vendor,Minor
