Character,Gender,TitleOrClass,Role
ہوری رام,Male,Commoner,Protagonist
دھنیا,Female,Commoner,Protagonist
گوبر,Male,Commoner,Support
سونا,Female,Commoner,Minor
روپا,Female,Commoner,Minor
بھولا,Male,Commoner,Minor
جھونیا,Female,Commoner,Support
جھیا,Female,Commoner,Minor
جیلی,Female,Commoner,Minor
رائے اگر یال سنگھ,Male,Commoner,Antagonist
کارندہ,Male,Commoner,Minor
دانا دین پنڈت,Male,Commoner,Antagonist
منگرو شاہ,Male,Commoner,Antagonist
سیٹھائی,Male,Commoner,Minor
سیٹھانی,Female,Commoner,Minor
بیر شاہ,Male,Commoner,Minor
ہیرا مہتو,Male,Commoner,Support
نینی,Female,Commoner,Minor
چودھری,Male,Commoner,Minor
کامتا مہتو,Male,Commoner,Minor
جنگی مہتو,Male,Commoner,Minor
سوکھا مہتو,Male,Commoner,Minor
پیادہ,Male,Commoner,Minor
چپراسی,Male,Commoner,Minor
دلار,Male,Commoner,Minor
رادھا جی,Female,Commoner,Minor
شری جانکی,Female,Commoner,Minor
سوبھا مہتو,Male,Commoner,Support
لالہ پشیری,Male,Commoner,Support
جھنگری سنگھ,Male,Commoner,Support
گینڈو بابو,Male,Commoner,Antagonist
پنڈت دودھ والا,Male,Commoner,Minor
پنڈت اونکار ناتھ,Male,Commoner,Support
بی مہتا,Male,Commoner,Support
مسٹر کھنا,Male,Commoner,Antagonist
کامنی کھنا,Male,Commoner,Support
مالتی,Male,Commoner,Support
سر لکھنا,Male,Commoner,Minor
پیشام بہاری نیا,Male,Commoner,Support
کانجی,Male,Commoner,Minor
مرزا خورشید,Male,Commoner,Minor
سر دیتا,Male,Commoner,Minor
مسٹر اینڈ,Male,Commoner,Minor
نشوینی کھنا,Female,Commoner,Minor
بدھ,Male,Commoner,Minor
افلاطون,Male,Commoner,Minor
مسٹر شیخا,Male,Commoner,Minor
منا,Male,Commoner,Minor
لکڑ ہارا,Male,Commoner,Minor
پہاڑی لڑکی,Female,Commoner,Minor
خان افغان,Male,Commoner,Support
سوامی جی,Male,Commoner,Minor
راحت صاحب,Male,Commoner,Minor
پیشوری لالہ,Male,Commoner,Minor
داروغہ جی,Male,Commoner,Support
گنڈا سنگھ,Male,Commoner,Support
لالہ بیوری,Male,Commoner,Support
مانا دین,Male,Commoner,Minor
نوری,Male,Commoner,Minor
بشر کول,Male,Commoner,Minor
سروج,Male,Commoner,Minor
دردا,Male,Commoner,Minor
دادا جی,Male,Commoner,Minor
مالی,Male,Commoner,Minor
گوبندی دیوی,Female,Commoner,Support
لیڈی ہکو,Female,Commoner,Minor
سیتیا مائی گائے,Female,Commoner,Minor
کودکی,Female,Commoner,Minor
کودکی کی ماں,Female,Commoner,Minor
رانی چندا,Female,Commoner,Minor
مسٹر سٹنا,Male,Commoner,Minor
زیبادو,Female,Commoner,Minor
دھیان سنگھ,Male,Commoner,Minor
بھیشم,Male,Commoner,Minor
ڈاکٹر ناگ,Male,Commoner,Minor
مسٹر ڈاڈ,Male,Commoner,Minor
دید راج نیلکنہ شاستری,Male,Commoner,Minor
گردھر,Male,Commoner,Minor
الہ دین,Male,Commoner,Minor
بجنگھی,Male,Commoner,Minor
ڈاکٹر سیٹھ,Male,Commoner,Minor
پروفیسر بھاگا,Male,Commoner,Minor
گومتی,Female,Commoner,Minor
پنڈت نوکھے رام,Male,Commoner,Minor
میلیا چارن,Male,Commoner,Minor
مھنٹیا,Male,Commoner,Minor
بھاگن,Female,Commoner,Minor
بھورے,Male,Commoner,Minor
بھوانی دان,Male,Commoner,Minor
راجہ سورج پرتاب سنگھ,Male,Commoner,Minor
کنور صاحب,Male,Commoner,Minor
گورنر صاحب,Male,Commoner,Minor
لیڈی ولسن,Male,Commoner,Minor
سلیا,Female,Commoner,Minor
دھنا,Male,Commoner,Minor
ہر کھو,Male,Commoner,Minor
نیا کی ماں,Male,Commoner,Minor
گوری رام مہتو,Male,Commoner,Minor
متھرا,Male,Commoner,Minor
نہرا,Female,Commoner,Minor
بتیا,Female,Commoner,Minor
نوبیا,Female,Commoner,Minor
چوہیا,Female,Commoner,Minor
للو,Male,Commoner,Minor
سنگر داس ساہ,Male,Commoner,Minor
ٹھکرائن,Female,Commoner,Minor
مرزا امرزاجی,Male,Commoner,Minor
منگل,Male,Commoner,Minor
امین,Male,Commoner,Minor
مالک مکان,Male,Commoner,Minor
حاکم ضلع,Male,Commoner,Minor
میناکشی,Female,Commoner,Minor
جوگ بجے سنگھ,Male,Commoner,Support
سلطانہ,Female,Commoner,Minor
آتا دین,Male,Commoner,Minor
ٹھیکہ دار,Male,Commoner,Minor
رام سیوک مہتو,Male,Commoner,Support
رامو,Male,Commoner,Minor
بھنیری,Male,Commoner,Minor
