Character,Gender,TitleOrClass,Role
جالپا,Female,Housewife-Protagonist,Protagonist
رماناتھ,Male,Clerk/Lower-Middle-Class,Protagonist
دیاناتھ,Male,Clerk/Household Elder,Support
باگیشری,Female,Housewife,Support
منشی دین دیال,Male,Clerk/Household Elder,Support
مانکی,Female,Domestic Helper,Minor
رادھا,Female,Domestic Helper,Minor
بنتی,Female,Domestic Helper,Minor
شہزادی,Female,Domestic Helper,Minor
بسنتی,Female,Domestic Helper,Minor
بانکی,Female,Domestic Helper,Minor
مالکی,Female,Domestic Helper,Minor
بساطی,Male,Vendor/Working Class,Minor
بساطی کی لڑکی,Female,Working Class,Minor
گوپی ناتھ,Male,Peon/Clerk,Support
شہر,Male,Child,Minor
بشمبر,Male,Shopkeeper/Working Class,Minor
رمیش بابو,Male,Babu/Sahib,Support
خالصا صاحب,Male,Senior Clerk,Support
منشی جی (دفتر کے بڑے منشی، ریٹائرڈ),Male,Senior Clerk,Support
وکیل پنڈت بھوشن,Male,Lawyer/Advocate,Support
رتن,Female,Upper-Class Wife,Support
چرنداس,Male,Jeweler’s Broker (Dallal),Support
گنگو صراف,Male,Jeweler/Trader,Support
نم جی,Male,Shop Assistant,Minor
سیٹھ جی (جشن جنم اشٹمی والے),Male,Wealthy Trader (Seth),Minor
سیٹھانی / عورتیں (سیٹھ جی کے گھر کی),Female,Housewife,Minor
لالہ دینی رام,Male,Wealthy Moneylender,Support
مانک داس,Male,Working Class,Minor
ہیم صاحب,Male,Officer/Babu,Minor
خزانچی صاحب,Male,Treasurer/Babu,Minor
شمبھر,Male,Working Class,Minor
گولی,Male,Child/Working-Class Family,Minor
دیبی دین,Male,Farmer/Peasant,Support
بڑھیا,Female,Elderly Villager,Minor
سیٹھ کروڑی مل,Male,Wealthy Seth/Donor,Minor
مہراج (نوکر وکیل کا),Male,Servant/Naukar,Minor
ٹھیل / ٹیل,Male,Servant/Naukar,Support
کبیراج,Male,Herbal Doctor,Minor
سدھو (مرحوم),Male,Child (Deceased),Minor
منی بھوشن,Male,Antagonistic Relative,Antagonist
مہری (نوکرانی),Female,Servant/Naukarani,Minor
جوتشی / سیانا,Male,Fortune Teller,Minor
اخبار کا نوجوان رپورٹر,Male,Reporter/Journalist,Minor
گولی کا بڑا بھائی,Male,Working Class,Minor
جنگلی (آم باغ والا),Male,Gardener/Orchard Worker,Minor
جج صاحب,Male,Judge/Sahib,Support
پنڈت جی (رتن کے مرحوم شوہر),Male,Lawyer/Upper-Class,Minor
پنڈت جی کا بھائی,Male,Upper-Class Relative,Minor
و نیش کی بیوی,Female,Housewife,Minor
و نیش کی ماں,Female,Household Elder,Minor
سرکاری ایڈووکیٹ,Male,Barrister/Advocate,Minor
وید جی,Male,Village Doctor/Vaid,Minor
زہرہ,Female,Tawaif/Household Helper,Support
پولیس / افسران,Male,Police Collective,Minor
ڈاکو / ملزمان (collective),Male,Criminal Collective,Minor
