Character,Gender,TitleOrClass,Role
سباما,Female,House Owner Woman / Elder,Support
پرتاپ چند,Male,Swami / Holy Man,Protagonist
منشی سنجیون لال,Male,Clerk / Scribe,Support
سوشیلا,Female,Brahmin Woman,Minor
برج رانی,Female,Poetess / Queen,Protagonist
میری,Female,Old Maid,Support
ڈاکٹر صاحب,Male,Doctor,Minor
منشی سالگرام,Male,Clerk,Minor
پنڈت موٹے رام شاستری,Male,Pandit (Scholar),Support
کلکٹر صاحب,Male,Collector,Minor
مہر اجن,Male,Moneylender,Support
اشٹ بھی دیوی,Female,Goddess,Minor
سوامی پرمانند جی,Male,Swami,Minor
گنگا جی,Female,River / Goddess,Minor
ہیتال پھوپی,Female,Relative,Minor
رادھا چرن,Male,Babu / Landlord,Support
کملا چرن,Male,Babu,Protagonist
کملا,Female,Female Friend,Support
امادنی,Female,Maid,Support
جانکی کنور,Female,Prince,Support
پریم وتی,Female,Mother-in-law,Support
شیاما چرن,Male,Deputy Sahib,Support
سیوتی,Female,Female Friend,Support
چندرا,Female,Daughter-in-law,Support
رانی,Female,Queen,Support
رکمنی,Female,Woman,Support
سیتا,Female,Woman,Support
رام دئی,Female,Village Woman,Minor
چندا کنور,Female,Prince,Support
مادھوی,Female,Brahmin Girl,Support
میراجن,Female,Midwife,Minor
گلبیا,Female,Midwife,Minor
جمنی,Female,Upper-caste Woman,Minor
کلثوم کی ماں,Female,Village Woman,Minor
نواب منے خاں,Male,Nawab,Minor
آغا شیر علی,Male,Agha,Minor
کلونت رائے,Male,Rai,Minor
شیام,Male,Unknown,Minor
شری وشواناتھ جی,Male,Deity / Religious Figure,Minor
سعید,Male,Muslim Friend,Support
حمید خاں,Male,Muslim Friend,Support
مجید,Male,Muslim Friend,Support
رام سیوک,Male,Villager,Minor
چندو لال,Male,Lal (Title/Name),Minor
سپرنٹنڈنٹ صاحب,Male,Officer,Minor
ردھیا,Female,Messenger,Minor
مہری,Female,Maid,Minor
کوچبان,Male,Coachman,Minor
رادھا,Female,Ahir Girl,Minor
تلسا,Female,Village Woman,Minor
مؤنی,Female,Cow,Minor
کاشی بھر,Male,Villager,Minor
دہلو رائے,Male,Ahir / Villager,Minor
اہیر,Male,Village Community,Minor
اہیرن,Female,Village Woman,Minor
مہراج,Male,Villager / Hemp Maker,Minor
رام دین پانڈے,Male,Pandey Ji,Antagonist
منشی جگدمبا پرشاد,Male,Clerk,Minor
پٹواری صاحب,Male,Patwari,Minor
دیہاتی عورتیں,Female,Villager,Minor
جوگی بابا,Male,Yogi,Minor
مولوی صاحب (درخت والا),Male,Ghost-Mullah,Minor
لالہ صاحب (بھوت والا),Male,Ghost,Minor
ہولی ماتا,Female,Goddess,Minor
دھوبی لوگ,Unknown,Washerman,Minor
بالا جی,Male,Mahatma / Swami,Protagonist
راجہ دھرم سنگھ,Male,King,Support
رانی دھرم سنگھ,Female,Queen,Support
بھیا,Male,Speaker / Companion,Support
دارانگر کی رانی صاحبہ,Female,Queen,Support
راجہ نولکھا,Male,King,Minor
مہارانی نولکھا,Female,Maharani,Minor
ٹھاکر صاحب,Male,Thakur,Minor
پران ناتھ,Male,Babu,Support
سیوتی کا بچہ,Unknown,Child,Minor
اہیر لوگ,Unknown,Community,Minor
ظالم خاں,Male,Killer,Antagonist
تھانیدار صاحب,Male,Police Station Officer,Antagonist
نمبردار,Male,Numberdar,Minor
مہاجن,Male,Moneylender,Minor
سیٹھ (باغیچہ),Male,Seth (Wealthy Merchant),Minor
مالی,Male,Gardener,Minor
سرجو دئی,Female,Sirjodei (female name/title),Support
انگریز افسر,Male,Officer,Minor
کانسٹیبل,Male,Constable,Minor
گارڈ,Male,Guard,Minor
سہانا,Female,Woman,Minor
پنڈت بدلو شاستری,Male,Pandit,Minor
سیٹھ اتم چند,Male,Seth,Minor
لالہ مکھن لال,Male,Lala,Minor
پنڈے اور پراگوال,Unknown,Priest Class,Minor
