Character,Gender,TitleOrClass,Role
بخت جہان,Male,Chaudhry,Protagonist
محمد جہان نمبردار,Male,Nambardar,Support
عزیز جہان,Male,Farmer,Minor
بہشت بی بی,Female,Begum,Support
زینب بیگم,Female,Begum,Support
نور بیگم,Female,Begum,Support
امیر بخش,Male,Sahib,Support
روشن بخش,Male,Child,Support
کنیز فاطمہ,Female,Servant/Concubine,Support
صاحباں,Female,Disabled Child,Support
بھاگ بھری,Female,Housewife,Support
صغرا بی بی,Female,Begum,Support
امام بخش,Male,Chaudhry,Support
حیات بی بی,Female,Begum,Minor
شیداں پاؤنڈوں والی,Female,Midwife/Healer,Minor
برکت (بکو),Male,Peasant,Minor
چھیمو,Female,Servant,Support
لبناں سنگھ,Male,Sardar,Support
امریت سنگھ,Male,Sikh Warrior,Minor
گوبند سنگھ,Male,Sikh Soldier,Support
غلام محمد,Male,Sikh/Hindu Convert,Support
سکھ دیپ سنگھ,Male,Sikh,Minor
جسونت سنگھ,Male,Sardar,Support
مرزا جٹ,Male,Jatt,Minor
نذر محمد سنیارا,Male,Metalworker,Minor
راج کلاں,Female,Unknown,Minor
حسین بخش بیلدار,Male,Laborer,Minor
قائم دین زنجھرا,Male,Laborer,Minor
اللہ دینہ شیخ,Male,Sheikh/Cobbler Caste,Minor
اچو شیخ,Male,Sheikh/Street Beggar,Support
شیخ اللہ دتہ,Male,Sheikh,Minor
صلی اللہ دتہ,Male,Sheikh,Minor
حافظ جی,Male,Religious Scholar,Support
پیر بخش,Male,Student,Support
ڈاکٹر عنائت,Male,Doctor,Minor
عنائت بی بی,Female,Midwife,Minor
مولوی حاکم دنیا پوری,Male,Religious Cleric,Minor
چھڑکلا فقیر,Male,Sufi/Fakir,Minor
کرم داد,Male,Peasant,Minor
مولا داد,Male,Peasant,Minor
کمہار دین,Male,Potter,Minor
صغراں کمہارن,Female,Potter Woman,Minor
شوکی لوہار,Male,Blacksmith,Minor
خورشیداں,Female,Blacksmith Family,Minor
خدا بخش,Male,Unknown,Minor
سائیں کاواں والی سرکار,Male,Saint/Fakir,Minor
مہترانی,Female,Sweeper Caste,Minor
مائی ہلکی,Female,Mad Woman,Minor
رتب نذرے میراثی,Male,Mirasi/Storyteller,Minor
پھا جو جاٹ,Male,Jatt,Minor
کھڑک سنگھ,Male,Sikh,Minor
دینو نائی,Male,Barber,Minor
اللہ رکھے,Male,Unknown,Minor
اہناں سنگھ,Male,Sikh,Minor
محکم دین,Male,Peasant,Support
رابعہ بی بی,Female,Begum,Support
زہراں بی بی,Female,Begum,Support
کلثوم بی بی,Female,Begum,Minor
شاہ وتین,Male,Sikh/Elder,Minor
رام داس,Male,Sikh Elder,Minor
ہرنام سنگھ,Male,Sikh Elder,Minor
سوہن سنگھ,Male,Sikh,Minor
کاشی رام,Male,Hindu,Minor
ماسٹر گوربچن سنگھ,Male,School Teacher,Minor
ڈائر صاحب بہادر,Male,British Colonel,Minor
یتر سوامی سنگھ,Male,Sikh,Minor
صاحب بہادر مرغ,Male (animal),Rooster (Symbolic),Minor
اتھری گھوڑی,Female (animal),Horse (Symbolic),Minor
مرزے کی گھوڑی,Female (animal),Horse (Symbolic),Minor
