Character,Gender,TitleOrClass,Role
لیلی,Female,Amir Zadi,Protagonist
قیس (مجنون),Male,Amir Zada,Protagonist
عبداللہ,Male,Amir,Support
عبدالعزیز,Male,Amir,Antagonist
بیگم (والدہ لیلی),Female,Begum,Support
خون خوار خان,Male,Khan,Antagonist
جرار خان,Male,Khan,Minor
طرار خان,Male,Khan Zada,Antagonist
زہرہ دومنی,Female,Tawaif,Support
خیلا,Female,Nauchi,Support
مولوی عشق الدین,Male,Molvi Ustad,Support
کاہن,Male,Kahin,Minor
دایہ,Female,Daya,Support
محل دار,Male,Servant,Minor
کلوار می فروش,Male,Wine Seller,Minor
نوفل سلطان روم,Male,Sultan,Support
وزیر نوفل,Male,Wazir,Support
ساقی,Male,Saqi,Minor
چوب دار,Male,Darbar Servant,Minor
پیر زن,Female,Faqeerni,Support
جوان اسیر,Male,Qaidī,Minor
باغبان,Male,Baghban,Minor
راہ گیر,Unknown,Passerby,Minor
اعرابی فقیر,Male,Faqir,Minor
کنیزاں نوفل,Female,Kaneez,Minor
لونڈیاں و نوکرانیاں,Female,Naukrani,Minor
خواصیں,Female,Khawas,Minor
مکتب کے لڑکے,Male,Talib Ilm,Minor
مکتب کی لڑکیاں,Female,Talib Ilm,Minor
حضرت عشق,Unknown,Personified Love,Minor
آسیب / دیو الم,Unknown,Symbolic Creature,Minor
