Character,Gender,TitleOrClass,Role
شہاب,Male,Sahib,Protagonist
قدسیہ,Female,Begum,Support
بانو,Female,Begum,Minor
اشفاق,Male,Sahib,Support
ممتاز مفتی,Male,Sahib,Support
عکسی,Male,Sahib,Support
انیق,Male,Sahib,Support
ثاقب,Male,Sahib,Support
فیض,Male,Sahib,Minor
سلیم,Male,Unknown,Minor
مرزا,Male,Unknown,Minor
خانی,Male,Unknown,Minor
ملکہ,Female,Artist,Minor
عفت,Female,Household Woman,Support
نسرین,Female,Household Woman,Minor
محمودہ جی,Female,Servant,Minor
خانسامہ,Male,Servant,Minor
گڈی,Female,Friend/Household Woman,Minor
انشاء,Male,Poet/Intellectual,Minor
محمودہ,Female,Household Woman,Minor
اثیر,Male,Young Family Member,Support
یوگی اشفاق,Male,Spiritual Seeker,Support
قاسم,Male,Young Friend,Minor
غزل,Female,Household Woman,Minor
شاہد افضل,Male,Friend,Minor
نینی,Female,Mother,Minor
