Character,Gender,TitleOrClass,Role
میجر/کیپٹن سرفراز اعوان,Male,Army Officer,Protagonist
اعجاز اعوان,Male,Malik/Teacher,Protagonist
نسرین,Female,Unknown,Support
کیپٹن جمال,Male,Army Officer,Support
یعقوب اعوان,Male,Malik/Villager,Support
ایوب اعوان,Male,Household Elder,Support
بی بی (گھر کی بزرگ عورت/لالے کی ساتھی),Female,Household Elder,Support
زینب (یعقوب کی بیوی),Female,Household Woman,Support
سکینہ (اعجاز کی بیوی),Female,Household Woman,Support
چاچا احمد خان راٹھور,Male,Chaudhry/Villager,Support
ماسی (سرفراز کی پرورش کرنے والی),Female,Household Caregiver,Support
ماسی مریم,Female,Household Caregiver,Minor
عباس (چاچا احمد کا بیٹا),Male,Villager,Support
جمیلہ,Female,Young Woman,Support
احمد شاہ,Male,Student/Cadet,Support
سلیم,Male,Student/Cadet,Support
غلام حسین,Male,Student/Cadet,Support
عمران (ہوسٹل ساتھی),Male,Student/Cadet,Support
باجوہ (تھرڈ ایئر والنٹیر),Male,Student/Cadet,Support
برکت,Male,Cadet,Support
اشرف,Male,Cadet,Support
شوکت,Male,Cadet,Support
شعیب,Male,Cadet,Support
آصف (کیڈٹ ساتھی),Male,Cadet,Support
این سی او گل نواز,Male,NCO,Support
سینئر انڈر آفیسر صبغت اللہ,Male,Cadet Leader,Support
کیڈٹ مجید اللہ,Male,Cadet,Support
کیپٹن اسد اللہ,Male,Army Officer,Support
کیڈٹ نواز کھوکھر,Male,Cadet,Support
کیڈٹ حبیب اللہ,Male,Cadet,Support
بریگیڈیئر کرّار (شعیب کا والد),Male,Brigadier,Support
نسیمہ (شعیب کی بہن),Female,Young Woman,Minor
نانبائی (او جھری والا),Male,Shopkeeper,Minor
جیرا (نانبائی کا لڑکا),Male,Shopkeeper’s Son,Minor
تندورچی,Male,Worker,Minor
گل افروز خان,Male,Chaudhry/Trader,Support
خدابخش ارائیں,Male,Araeen/Villager,Support
خوشی محمد تیلی,Male,Teli/Villager,Support
داؤد (خوشی محمد کا بھائی),Male,Teli/Villager,Minor
رحمت چوہان,Male,Chauhan/Villager,Support
چوہدری اللہ داد خان,Male,Chaudhry,Support
الیاس کمہار,Male,Kumhar/Potter,Support
کو چوہا (چوکیدار/کھیت میں سونے والا),Male,Watchman/Villager,Minor
بکتو (کو چوہے کی بیوی),Female,Villager,Minor
بلال مسیح موچی,Male,Mochi/Cobbler,Support
ملک عالم جہاں اعوان,Male,Malik,Support
صوبیدار جہاں خان,Male,Subedar,Support
شیر بہادر اعوان,Male,Malik/Villager,Support
علی بہادر,Male,Villager,Minor
فلک شیر اعوان,Male,Bureaucrat/Deputy Commissioner,Support
وریا م,Male,Villager,Minor
ملک جہانگیر اعوان (ایم ایل اے),Male,Politician/MLA,Antagonist
ملک حمید,Male,Malik/Villager,Support
ملک رشید (ملک حمید کا بھائی),Male,Malik/Villager,Support
منشی کریم شاہ,Male,Clerk/Political Aide,Support
محمد نواز چیمہ,Male,Headmaster,Support
پروفیسر میر صاحب,Male,Professor,Support
کنیز,Female,Bonded Laborer,Support
ارشاد,Male,Villager,Support
اکتبر,Male,Child,Minor
اقبال (کنیز کا بچہ/سکول جانے والا),Male,Child,Minor
سیف اللہ (چکی والا),Male,Miller/Shopkeeper,Minor
مولوی فقیر الدین,Male,Maulvi/Religious Figure,Support
دتو میراثی,Male,Mirasi/Musician,Minor
ساجا,Male,Mirasi’s Son,Minor
شبیرا,Male,Musician,Minor
حاجی عزیز دین,Male,Haji/Villager,Minor
سائیں جلا,Male,Saint/Villager,Support
تھانیدار / اے ایس آئی,Male,Police Officer,Support
امداد علی شاہ (محرر),Male,Police Clerk,Minor
جرنیل سنگھ (سکھ),Male,Sikh Leader,Support
جگت سنگھ,Male,Sikh/Villager,Support
بھگت سنگھ,Male,Sikh/Villager,Minor
کلونت کور,Female,Sikh Woman,Support
ادھم سنگھ,Male,Sikh/Villager,Minor
جسونت سنگھ,Male,Sikh/Villager,Minor
جنگندر سنگھ,Male,Sikh/Villager,Minor
بے انت سنگھ,Male,Sikh/Villager,Minor
سندر سنگھ,Male,Sikh/Villager,Minor
ارجن سنگھ,Male,Sikh/Villager,Minor
سریندر سنگھ,Male,Sikh/Villager,Minor
رنگیلی (یعقوب کی گھوڑی),Unknown,Animal,Minor
چنبیلی (گھوڑی),Unknown,Animal,Minor
زور آور (گھوڑا),Unknown,Animal,Minor
نیلی (بھینس),Unknown,Animal,Minor
بابا چلے شاہ (مزار/حوالہ),Male,Religious Reference,Minor
مولانا بھاشانی (حوالہ),Male,Political Reference,Minor
سرسید احمد خان (حوالہ),Male,Scholarly Reference,Minor
ایوب خان (حوالہ),Male,Political Reference,Minor
شیکسپئر (ادبی حوالہ),Male,Literary Reference,Minor
کیپٹن دلاور,Male,Army Officer,Support
رابعہ,Female,Young Woman,Minor
رضیہ,Female,Young Woman,Minor
پھاتو مراثن (ڈھولکی),Female,Mirasi Woman,Minor
منظور (اعجاز کا ورکر),Male,Worker,Support
آصف شاہ (پارٹی امیدوار),Male,Politician,Antagonist
نصیر شیخ (پارٹی امیدوار),Male,Politician,Antagonist
سراج گجر,Male,Gujjar/Villager,Support
چوہدری ارشد (یونین رہنما),Male,Union Leader,Support
چوہدری شدا,Male,Chaudhry/Villager,Support
فضلے,Male,Villager,Minor
قائد (پارٹی بانی لیڈر),Male,Party Leader,Support
نوابزادہ شیر علی (حوالہ),Male,Nawabzada/Reference,Minor
سرداراں دائی,Female,Midwife,Support
بی اے چوہدری (بشیر ارائیں کے نئے نام کا سیاسی روپ),Male,Chaudhry/Politician,Support
مرزا عبد الرشید,Male,Mirza/Villager,Support
قمر الاسلام,Male,Syed/Politician,Support
بدیع الزمان,Male,Editor/Journalist,Support
شمس (بدیع الزمان کا اسسٹنٹ),Male,Office Assistant,Minor
منیر میکنک,Male,Mechanic,Minor
دتا کمہار,Male,Kumhar/Potter,Minor
بی بی کمہاری,Female,Villager,Minor
ڈاکٹر احسان الحق (پُل کھنگر),Male,Doctor,Support
کریم بخش,Male,Villager,Minor
ڈاکٹر (کریم بخش کا بیٹا),Male,Doctor,Minor
ہکیم حاذق,Male,Hakeem/Healer,Minor
دکان والا (دہی/دودھ),Male,Shopkeeper,Minor
سلطان (پی۔او۔ڈبلیو ساتھی/دوست),Male,POW/Army Man,Support
ظفر چوہدری,Male,Chaudhry/Villager,Support
میجر صدیق,Male,Army Officer,Support
نمائر (کیمپ کا قیدی ساتھی),Male,POW/Army Man,Support
میجر قدیر (ازمیر مل کا ایڈمن افسر),Male,Retired Major/Admin,Support
طارق (ورکس منیجر),Male,Factory Manager,Support
حاجی وسیم بخش (منیجنگ ڈائریکٹر),Male,Haji/Managing Director,Support
حاجی کریم بخش (چیئرمین ازمیر گھی انڈسٹریز),Male,Haji/Industrialist,Antagonist
حاجی رحیم بخش,Male,Haji/Industrialist,Support
ڈاکٹر خدابخش کھوکھر (چیف کیمسٹ),Male,Chief Chemist,Support
جعفری صاحب (کیمسٹ/پرانا رابطہ),Male,Chemist,Minor
خواجہ معراج الدین,Male,Khawaja/Legal Advisor,Support
میاں انتظار حسین (ایڈووکیٹ ہائی کورٹ),Male,Advocate,Support
وسیم بھائی (بدیع الزمان کا سالا/قرض خواہ),Male,Trader/Relative,Minor
شیشے والا سالا (بدیع الزمان کا دوسرا قرض خواہ),Male,Trader/Relative,Minor
حاجی ذوالفقار,Male,Haji/Agency Holder,Support
معین الدین شاہ,Male,Engineer/Accounts Officer,Support
عبدالوحید عبدالمجید اینڈ کمپنی (آڈیٹرز),Unknown,Auditors/Firm,Minor
جونیئر وکیل (خواجہ معراج کا شاگرد),Male,Junior Advocate,Minor
چوہدری اظہر (ایس ایچ او نور پور),Male,Police Officer,Support
ملک لطیف,Male,Malik/Villager,Antagonist
نامعلوم مزدور عورت (ملک حمید/لطیف کا تعلق),Female,Worker,Support
ڈاکٹر عرفان (ڈیوٹی ڈاکٹر آئی سی یو),Male,Doctor,Minor
ڈاکٹر سعد اللہ خان (کنسلٹنٹ کارڈیالوجسٹ),Male,Doctor/Consultant,Support
بھوسل کوٹ والا شخص (دستاویز پہنچانے والا),Male,Unknown/Informer,Support
عامر محمود (چیف کیمسٹ),Male,Chief Chemist,Support
باقر رضوی (سابق چیف کیمسٹ),Male,Chief Chemist,Minor
کامران خان (جواں سال کیمسٹ),Male,Chemist,Minor
ذوالقرنین نقوی,Male,Demonstrator/Assistant,Minor
شہلا رضوی,Female,Young Woman,Minor
ریاض (سرفراز کا ڈرائیور),Male,Driver,Minor
سپاہی غلام رسول (یونٹ ڈرائیور/ساتھی),Male,Soldier/Driver,Minor
سیکنڈ لفٹننٹ امتیاز,Male,Army Officer,Minor
بدر الحق (ایگزیکٹو ایڈیٹر طلوع),Male,Editor,Minor
زیدی صاحب (چیف ایڈیٹر طلوع),Male,Chief Editor,Minor
افضال احمد (اسسٹنٹ ایڈیٹر طلوع),Male,Assistant Editor,Minor
محمد یاسین (طلوع کا رپورٹر/ساتھی),Male,Reporter,Minor
فرخ غوری,Male,Journalist,Minor
سردار فلمبند خان,Male,Sardar/Villager,Support
لیفٹیننٹ کرنل اسلام الدین,Male,Lieutenant Colonel,Support
کیپٹن اسرار,Male,Army Officer,Support
میجر ست پال ٹھاکر (کیمپ افسرِ دشمن),Male,Enemy Major,Antagonist
حوالدار ستونت سنگھ,Male,Havaldar/Enemy Camp,Antagonist
کریم راٹھور,Male,Rathore/Villager,Support
حسن (اعجاز/سکینہ کا بیٹا),Male,Child,Minor
حسین (اعجاز/سکینہ کا بیٹا),Male,Child,Minor
پیر حمید الدین بلال شاہ (مرشد بلال پور شریف),Male,Pir/Religious Figure,Support
