Character,Gender,TitleOrClass,Role
اودے بھان لال,Male,Babu Vakil,Support
کلیانی,Female,Housewife,Support
نرملا,Female,Housewife,Protagonist
کرشنا,Female,Young Woman,Support
سورج بھان,Male,Young Man,Minor
چندر بھان سنہا,Male,Babu,Minor
بابو بھال چندر,Male,Babu,Antagonist
بھون موہن سنہا,Male,Young Man,Minor
رنگیلی بائی,Female,Housewife,Minor
پنڈت موٹے رام,Male,Pandit Brahmin,Support
جھنگڑو,Male,Servant,Minor
گوردین,Male,Servant,Minor
چکوری,Female,Servant Girl,Minor
بھوانی,Unknown,Servant,Minor
رام غلام,Male,Servant,Minor
کہار,Male,Palanquin Bearer,Minor
شاہ جی حلوائی,Male,Halwai Shopkeeper,Minor
منتی,Male,Goonda,Minor
کلیانی کی ننہال,Unknown,Extended Relatives,Minor
منشی طوطا رام,Male,Munshi Vakil,Support
رکمنی دیوی,Female,Widow Sister,Support
منسا رام,Male,Student Son,Support
سیارام,Male,Student Son,Support
جیا رام,Male,Student Son,Antagonist
منشی سکھ رام,Male,Munshi,Minor
کملا,Female,Neighbor Girl,Minor
مہری,Female,Maidservant,Minor
بھنگی,Female,Sweeper,Minor
باورچی (سکول),Male,Cook,Minor
سپرنٹنڈنٹ (ہاسٹل),Male,Hostel Superintendent,Minor
ہیڈ ماسٹر (سکول),Male,Headmaster,Minor
انسپکٹر تعلیم,Male,Inspector Education,Minor
راجہ صاحب (موکل),Male,Raja Client,Minor
ڈاکٹر (ہاسٹل),Male,Doctor,Minor
ڈاکٹر لاہری,Male,Doctor,Minor
ڈاکٹر بھاٹیہ,Male,Doctor,Minor
ڈاکٹر ناتھر,Male,Doctor,Minor
سول سرجن,Male,Civil Surgeon,Minor
جھوٹا پیر,Male,Fake Saint,Minor
بھکارن,Female,Beggar Woman,Minor
بھکارن کا بچہ,Unknown,Child,Minor
مہنگو اوجھا,Male,Exorcist Ojha,Minor
سدھا,Female,Middle class Wife,Support
سوہن (سدھا کا بچہ),Male,Infant,Minor
ڈاکٹر سنہا,Male,Doctor,Support
دایہ,Female,Midwife,Minor
تھانے دار الٰد یار خان,Male,Police Officer,Minor
آشا,Female,Daughter,Support
امیران,Female,Milk seller,Minor
سوامی پرمانند,Male,Swami Sadhu,Minor
ہری ہر انند,Male,Sadhu,Minor
