Character,Gender,TitleOrClass,Role
کرامت علی,Male,Pir/Religious Figure,Protagonist
سائیں,Male,Deranged Mystic,Support
عطیہ جانی,Female,Household Elder,Support
سلامت علی,Male,Commoner/Narrator,Protagonist
جاری,Female,Servant,Minor
مالی سروری,Female,Symbolic Elder/Ascetic,Minor
چوہدری برکت علی,Male,Landlord (Chaudhry),Support
چوہدری برکت علی کی پہلی بیوی,Female,Housewife,Minor
چوہدری برکت علی کی دوسری بیوی,Female,Housewife,Support
چوہدری برکت علی کی ماں,Female,Household Elder,Minor
برکت علی کا بھائی (ذہنی معذور),Male,Family Member,Minor
غلام (خادم),Female,Servant,Minor
فیروز شاہ,Male,Student/Political Worker,Support
احمد شاہ,Male,Imam/Religious Worker,Support
مولوی احمد اللہ,Male,Molvi/Cleric,Support
رضیہ سلطانہ,Female,Educated Political Activist,Antagonist
سلطان میر,Male,Aristocratic/Old Nobility,Support
سلطان میر کی بڑی بیٹی,Female,Upper-Class Daughter,Minor
محمود,Male,Commoner/Tradesman,Minor
علی محمد,Male,Carpenter (TarKhan),Minor
فضل محمد,Male,Ex-Serviceman/Religious Figure,Minor
چوہدری غلام محمد,Male,Chaudhry (Landholder),Minor
سید احمد,Male,Government Officer,Minor
رحمت علی,Male,Chohan/Local Man,Support
رحمت علی کے بھائی,Male,Local Men,Minor
مرگی والا بچہ,Male,Child,Minor
مرگی والے بچے کی ماں,Female,Mother,Minor
نسرین,Female,Village Girl,Support
نسرین کا باپ,Male,Villager,Minor
خالہ ذکیہ,Female,Household Helper,Minor
استاد (ڈرائیور),Male,Driver/Ustad,Minor
خان الیاس,Male,Respectable Elder,Minor
چمٹے خان,Male,Village Strongman,Minor
جیل سپرنٹنڈنٹ,Male,Government Officer,Support
مسعود عالم,Male,Qawwal,Minor
سعود عالم,Male,Qawwal,Minor
ماموں,Male,Relative (Maternal Uncle),Minor
چوہدری کرم,Male,Chaudhry,Minor
اوزی استاد (ٹوپی دوز),Male,Artisan (Cap-maker),Minor
صاحبزادہ,Male,Religious Aristocracy,Minor
سعادت علی,Male,Unknown Class,Minor
اللہ دتہ,Male,Laborer/Peasant,Minor
ارشاد احمد,Male,Unknown Class,Minor
