Character,Gender,TitleOrClass,Role
بانو قدسیہ,Female,Author/Narrator,Protagonist
اشفاق احمد,Male,Sahib/Writer,Protagonist
محمد خاں,Male,Sahib/Doctor,Support
دوست محمد خاں,Male,Elder/Ancestor,Minor
سردار بیگم,Female,Begum/Matriarch,Support
پرویز چٹھہ,Male,Sahib,Support
آفتاب بھائی,Male,Sahib,Support
افتخار بھائی,Male,Sahib,Support
اقبال احمد خاں,Male,Sahib,Minor
الحق بھائی,Male,Sahib,Minor
آپا فرخندہ,Female,Aapa,Support
آپا فرحت,Female,Aapa,Minor
ڈاکٹر ایوب احمد خاں,Male,Doctor,Support
اشتیاق احمد خاں,Male,Sahib,Support
ناہید,Female,Begum,Minor
جاوید,Male,Sahib,Minor
احمد خاں,Male,Child,Minor
انیق,Male,Sahib,Support
بی بی خیر جان,Female,Bibi/Elder,Minor
زینب,Female,Servant,Minor
لالو,Male,Servant,Minor
امیری بیگم,Female,Begum,Minor
خالہ فیروزہ,Female,Khala/Elder,Support
محمودہ منظور زئی,Female,Begum,Support
پروفیسر محمد صادق,Male,Professor,Support
صوفی صاحب,Male,Sufi/Spiritual,Support
مولوی طوطا,Male,Moulvi,Minor
موسیٰ,Male,Servant,Minor
ممتاز مفتی,Male,Writer,Support
قدرت اللہ شہاب,Male,Sahib/Writer,Support
جمیلہ ظفر,Female,Performer,Minor
خالد,Male,Soldier,Minor
یوسف ظفر,Male,Sahib,Minor
عمر صاحب,Male,Sahib,Minor
رشید احمد چودھری,Male,Chaudhry,Minor
بابا فضل شاہ,Male,Baba,Minor
محمد حسین,Male,Artist,Support
تاج صاحب,Male,Sahib,Minor
خواجہ منظور,Male,Khuwaja,Minor
ڈاکٹر بروچہ,Male,Doctor,Support
ذکیہ,Female,Maid,Minor
جمیلہ ملک,Female,Begum,Minor
امینہ ملک,Female,Begum,Minor
انور ملک,Male,Sahib,Minor
اقبال ملک,Female,Aapi/Begum,Minor
جاوید کی والدہ (حسینہ),Female,Mother,Minor
تلقین شاہ,Male,Saint/Metaphor,Inactive
شہنشاہ بابر,Male,Monarch,Inactive
بابا گورو نانک,Male,Spiritual,Inactive
جامی,Male,Poet,Inactive
حافظ,Male,Poet,Inactive
مولانا روم,Male,Sufi Poet,Inactive
کندن لعل سہگل,Male,Singer,Inactive
کانن بالا,Female,Actress,Inactive
بیگم ذاکر چٹھہ,Female,Begum/Mother,Support
بابا جی محمد خاں,Male,Baba/Elder,Minor
محمد مستقیم,Male,Minor,Inactive
محمد معظم خاں,Male,Minor,Inactive
کالی جونڈی,Female,Minor,Inactive
فیروزہ بیگم,Female,Begum,Support
ڈیڈی جی,Male,Elder,Support
ماچھا جی,Male/Elder,Servant,Minor
ڈاکٹر حسنات احمد خاں,Male,Doctor,Support
ڈیانا,Female,Royal,Inactive
ڈاکٹر جواد ساجد,Male,Doctor,Support
جاوید طارق,Male,Sahib,Support
ڈاکٹر طارق بن افتخار,Male,Surgeon,Support
پروفیسر آفتاب احمد,Male,Professor,Support
صوفی غلام مصطفیٰ تبسم,Male,Sufi Poet,Support
ڈاکٹر محمد صادق,Male,Doctor,Support
ڈاکٹر شیخ عنایت اللہ,Male,Doctor,Support
سید عابد علی عابد,Male,Principal/Scholar,Support
اثر صاحب,Male,Professor,Support
ممتاز آپا,Female,Aapa,Support
جاوید اثر,Male,Minor,Minor
سعید اثر,Male,Minor,Minor
تہمینہ اثر,Female,Minor,Minor
سلمی اثر,Female,Minor,Minor
جمیلہ اختر,Female,Performer,Minor
قمر ریکارڈسٹ,Male,Technician,Minor
نسرین رشید,Female,Begum,Minor
شمیم رشید,Female,Begum,Minor
زوبی,Male,Sahib,Minor
شفقت,Female,Aapa,Minor
خورشید,Female,Maid,Minor
آپی منیر,Female,Aapa,Minor
صدیقہ,Female,Begum,Minor
تویلہ,Female,Unknown,Minor
اثیر,Male,Sahib,Support
نیلو,Female,Minor,Minor
ڈی کوثر,Female,Begum,Minor
افضل,Male,Sahib,Minor
اللہ دتہ,Male,Labour/Servant,Minor
ڈاکٹر مارٹن,Female,Doctor,Minor
ریاض محمود,Male,Sahib/Cook,Support
عزیز بیگم,Female,Begum,Minor
شہزادی مامی,Female,Begum,Minor
میاں تقی,Male,Sahib,Minor
طارق بن افتخار,Male,Sahib,Support
افتخار,Male,Sahib,Minor
شہاب,Male,Writer/Bureaucrat,Support
ایلسا,Female,Foreign Woman,Minor
باؤسانی,Female,Minor,Minor
ڈاکٹر انور سیال,Male,Doctor,Minor
بٹ صاحب,Male,Sahib,Minor
ڈاکٹر حسنات احمد,Male,Doctor,Support
ڈاکٹر عمر ایوب,Male,Doctor,Minor
پرنس چارلس,Male,Royal,Inactive
ڈاکٹر مگدی,Male,Doctor,Inactive
بابا جی,Male,Baba,Minor
شریف الدین,Male,Sahib,Minor
مرجان,Female,Unknown,Minor
محمد رفیق,Male,Servant,Minor
اشتیاق,Male,Minor,Minor
صائل,Male,Unknown,Minor
فراز,Male,Unknown,Minor
سی میاں,Male,Unknown,Minor
شعیب بن عزیز,Male,Sahib,Support
فیض احمد فیض,Male,Poet,Support
سلیمہ,Female,Begum,Minor
روحی,Female,Begum,Minor
جمیلہ ہاشمی,Female,Writer,Support
خاطر غزنوی,Male,Poet,Support
باب ہیوز,Male,Foreign Official,Support
احسان اکبر,Male,Poet/Writer,Support
سہیل عمر,Male,Writer/Thinker,Support
اصغر ندیم سید,Male,Writer,Support
انیس,Male,Youth/Relative,Support
انیق خان,Male,Sahib,Support
امیر خان,Male,Sahib,Support
رابرٹ براوننگ,Male,Poet,Inactive
الزبتھ بیریٹ براوننگ,Female,Poet,Inactive
قاسم,Male,Minor,Minor
قاضی شاہد خان,Male,Judge/Officer,Support
توصیف احمد خان,Male,Sahib,Minor
ٹھیکیدار محمد حسین,Male,Contractor,Minor
اسحاق احمد خاں,Male,Sahib,Support
ضیاء الحق,Male,President,Support
سوزاں,Female,Minor,Minor
کامران,Male,Child,Minor
سمیرا,Female,Begum,Minor
ملا بات اللہ,Male,Religious Worker,Minor
شازیہ,Female,Begum,Minor
سلیم بونگا,Male,Laborer,Minor
کمال اتاترک,Male,Leader,Inactive
خوشی محمد,Male,Worker,Minor
برکی,Male,Unknown,Minor
بجیم,Female,Shopkeeper,Minor
با با احسن,Male,Elder,Minor
شرافت نوشاہی,Male,Sahib,Minor
برجی,Female,Minor,Minor
پیر جی,Male,Sufi/Spiritual,Support
بابا جلال,Male,Elder,Minor
بابا نور والے,Male,Spiritual,Minor
بابا جلال,Male,Elder,Minor
بابا نور والے,Male,Spiritual,Minor
حضرت موسیٰ,Male,Religious Figure,Inactive
آباؤ اجداد بنی اسرائیل,Unknown,Symbolic,Inactive
راجہ ٹل,Male,Mythic,Inactive
دمینتی,Female,Mythic,Inactive
بھیم سین,Male,Mythic,Inactive
ہنومان,Male,Mythic,Inactive
جنایو (جٹا یو),Male,Mythic,Inactive
سمپاتی,Male,Mythic,Inactive
رام چندر,Male,Mythic,Inactive
سیتا,Female,Mythic,Inactive
راون,Male,Mythic,Inactive
سگریو,Male,Mythic,Inactive
بالی,Male,Mythic,Inactive
مہاراج کرشن,Male,Mythic,Inactive
دریودھن,Male,Mythic,Inactive
ارجن,Male,Mythic,Inactive
راجہ براٹ,Male,Mythic,Inactive
دروپدی,Female,Mythic,Inactive
ویاس,Male,Mythic,Inactive
علی ہجویری داتا گنج بخش,Male,Sufi Saint,Inactive
مہاتما بدھ,Male,Religious Figure,Inactive
محمد بن قاسم,Male,Historical General,Inactive
حالی,Male,Poet,Inactive
حفیظ جالندھری,Male,Poet,Inactive
علامہ اقبال,Male,Poet/Philosopher,Inactive
ظفر علی خاں,Male,Scholar/Writer,Inactive
قائد اعظم محمد علی جناح,Male,National Leader,Inactive
پنڈت نہرو,Male,Political Leader,Inactive
عمران خان,Male,Political Leader,Inactive
عفت,Female,Doctor,Minor
کشور,Female,Minor,Minor
شمس,Male,Unknown,Minor
ڈاکٹر فیصل آبادی,Male,Doctor,Minor
بابا نور والے,Male,Spiritual Elder,Minor
بابا جلال,Male,Spiritual Elder,Minor
علی محمد,Male,Sahib,Minor
کیتھی,Female,Foreigner,Support
ماریہ,Female,Foreigner,Support
مارسیا,Female,Foreigner,Support
بابا فرید الدین گنج شکر,Male,Sufi Saint,Inactive
داتا گنج بخش,Male,Sufi Saint,Inactive
حسین زنجانی,Male,History Figure,Inactive
سلیمان اینڈریوز,Male,Foreigner/Scholar,Support
جوئی گیون,Male,Doctor/Foreigner,Support
کشمیری بابا,Male,Spiritual Healer,Minor
ہیلگے واٹسینڈ,Male,Poet/Foreigner,Support
اولاف گرینڈے,Male,Foreigner,Inactive
انیس خاں,Male,Sahib,Support
عظمی,Female,Begum,Minor
شمیم فاطمہ,Female,Begum,Support
ڈاکٹر زبیر,Male,Professor,Support
ڈاکٹر فواد,Male,Physician,Support
ڈاکٹر عاطف گوہیر,Male,Doctor,Support
آغا جی,Male,Spiritual Leader,Support
حاجی امداد اللہ,Male,Religious Figure,Inactive
ریاضی,Male,Servant/Helper,Minor
اعجاز,Male,Servant/Helper,Minor
سائرہ,Female,Nurse,Minor
سانٹا کلوز,Male,Fictional,Inactive
Eck Anker,Unknown,Spiritual Concept,Inactive
عبدالرحمن چغتائی,Male,Artist,Support
نِلگا اوفسن,Female,Foreigner,Minor
Trolls (ٹرولز),Unknown,Mythic/Fictional,Inactive
ارشیاء,Female,Child,Minor
بشری,Female,Minor,Minor
شہناز,Female,Minor,Minor
انیق احمد (انگریزی شاعر),Male,Poet,Support
نصرت بیگم,Female,Begum,Minor
رابعہ,Female,Artist,Support
اثیر خان,Male,Sahib,Support
کامران,Male,Child,Minor
اقبال,Male/Symbolic,Unknown,Minor
مفتی جی,Male,Religious Scholar,Minor
غلام علی,Male,Servant/Worker,Minor
قائد اعظم,Male,Political Leader,Inactive
مارلین منرو,Female,Actress,Inactive
ریما,Female,Actress,Inactive
رابعہ کے بہن بھائی,Unknown,Minor,Minor
ڈاکٹر صاحب (راشد لطیف ہسپتال),Male,Doctor,Support
طاعت,Female,Begum,Support
نینی,Female,Housewife,Support
فضلی,Male,Worker,Support
علی,Male,Child/Family,Minor
اثیر احمد,Male,Sahib,Support
تانیہ,Female,Minor,Minor
مبار,Male,Minor,Minor
غزل,Female,Minor,Minor
صبا,Female,Minor,Minor
ثنیہ,Female,Begum,Support
امجد,Male,Minor,Minor
نغمہ,Female,Minor,Minor
آفتاب (بھائی نینی),Male,Sahib,Minor
پیر آف مکھنڈ,Male,Sufi Leader,Support
بابر,Male,Worker,Minor
شکیل مسعود,Male,Sahib,Support
مسعود میاں,Male,Writer/Thinker,Support
ہاروے,Female,Foreigner,Support
نسرین بانو,Female,Begum,Support
سعود,Male,Sahib,Support
نائیلہ,Female,Minor,Minor
شمائیلہ,Female,Minor,Minor
جمیلہ (فرضی کہانی),Female,Fictional,Inactive
پروین,Female,Minor,Minor
نور الحسن,Male,PTV Host/Scholar,Support
صائمہ,Female,Begum,Support
اولیں,Male,Child,Minor
خالد (بیٹا نور الحسن),Male,Child,Minor
فرخ بشیر,Male,Sahib,Minor
انیب بیگم,Female,Begum,Minor
روبینہ خالد,Female,Begum/Media,Support
رؤف خالد,Male,Sahib,Support
عکسی مفتی,Male,Artist/Writer,Support
پروفیسر احمد رفیق اختر,Male,Professor/Scholar,Support
چودھری افضال احمد,Male,Publisher,Support
سیمی,Female,Fictional,Inactive
نعیم,Male,Minor,Minor
آفتاب (راجہ گدھ کردار),Male,Fictional,Inactive
