Character,Gender,TitleOrClass,Role
قیوم,Male,Student,Narrator
سیمی شاہ,Female,Student,Protagonist
آفتاب بٹ,Male,Student,Protagonist
پروفیسر سہیل,Male,Professor,Support
پروفیسر تنویر,Male,Professor,Support
ماسٹر غلام رسول,Male,School Teacher,Support
زیبا,Female,Student,Support
کوثر,Female,Student,Support
فرزانہ,Female,Student,Support
طیبہ,Female,Student,Minor
انجیلا,Female,Student,Minor
جمال,Male,Student,Minor
امجد,Male,Student,Minor
بڑا بھائی مختار,Male,Household Elder,Support
بھا بھی صولت,Female,Housewife,Support
ابا,Male,Household Elder,Support
اماں,Female,Household Elder,Support
ماموں منظور الہی,Male,Uncle,Minor
اصغری,Female,Family Friend,Minor
عابدہ,Female,Housewife,Support
وحید,Male,Lower Middle Class,Minor
عزیز گاتن,Male,Criminal,Antagonist
فضل کریم,Male,Shopkeeper,Minor
چاچا غلام,Male,Relative,Minor
روشن,Female,Heera Mandi Resident,Minor
افتخار,Male,Client/Visitor,Minor
امتثل,Female,Tawaif,Support
ناہید,Female,Tawaif,Support
فیروزہ,Female,Tawaif,Minor
ستارہ,Female,Tawaif,Minor
قاضی صاحب,Male,Qazi/Religious Scholar,Antagonist
غفور درزی,Male,Tailor,Minor
چاچا ابراہیم,Male,Porter/Older Worker,Minor
ولایت علی,Male,Doorkeeper,Minor
پروڈیوسر غنی,Male,Radio Producer,Minor
سعید,Male,Radio Producer,Support
حیدر,Male,Radio Staff,Minor
ڈاکٹر فیضی,Male,Doctor,Minor
ڈاکٹر نی,Female,Doctor,Minor
مسعود,Male,Child,Minor
فرید,Male,Child,Minor
افراہیم,Male,Child,Minor
سائیں جی,Male,Sufi/Pir,Support
اللہ دتہ,Male,Disciple,Minor
نوگز آدمی,Male,Symbolic Figure,Antagonist
مائی توبہ توبہ,Female,Mystic Woman,Support
راجہ گدھ,Unknown,Symbolic Vulture King,Antagonist
سمیرغ,Unknown,Mythic Bird,Minor
ہما,Unknown,Mythic Bird,Minor
چیل ملکہ,Unknown,Bird/Predator,Minor
گیدڑ,Unknown,Animal,Minor
مینا,Unknown,Bird,Minor
سرخاب,Unknown,Bird,Minor
ہاتھی,Unknown,Animal,Minor
