Character,Gender,TitleOrClass,Role
او مادے دیوی,Female,Rani,Protagonist
راؤ مالدیوجی,Male,Rao,Support
راول جیسا میر,Male,Rawal,Minor
رانی پرماجی,Female,Rani,Support
رانی لا پھل دئی,Female,Rani,Minor
رانی سروپ دئی,Female,Rani,Antagonist
رانی پارتی,Female,Rani,Minor
رانی ہیر اوئی,Female,Rani,Minor
رانی لاچھو دئی,Female,Rani,Support
رانی لاڈا,Female,Rani,Minor
رانی اندر,Female,Rani,Minor
رانی راج بھائی,Female,Rani,Minor
رانی نورنگ دئی,Female,Rani,Minor
بھاریلی دیوی,Female,Maid,Support
راگھو جی جوتشی,Male,Astrologer,Support
چندو جی,Male,Noble,Minor
اکبر رام,Male,Prince,Minor
چندر رجوتی,Female,Courtesan,Minor
دیوان اعظم,Male,Diwan,Minor
وزیر اعظم,Male,Wazir,Minor
مارواڑ راجہ مالدیو,Male,King,Minor
امیر کے راجہ بھیم,Male,King,Minor
رانی جھالے,Female,Rani,Minor
گانے والیاں,Female,Performers,Minor
سہیلیاں,Female,Companions,Minor
ایشور داس چارن,Male,Charan Bard,Support
آساجی چارن,Male,Charan Bard,Antagonist
مار رام,Male,Prince,Support
مل او دے سنگھ,Male,Rana,Support
چند رسین,Male,Rao,Support
بیرم جی میڑتے,Male,Rajput Noble,Antagonist
ہمایوں بادشاہ,Male,Emperor,Minor
شیر شاہ سوری,Male,Sultan,Antagonist
خواص خان,Male,General,Antagonist
بھاگا سنتری,Male,Guard,Support
جیت مالوت,Male,Rajput Soldier,Support
کیشو داس,Male,Jagirdar,Minor
کالمیان مل,Male,Prince,Minor
دو اجی,Male,Rao,Minor
اما سانا کھیلی,Female,Rani,Minor
