Character,Gender,TitleOrClass,Role
اشفاق احمد,Male,Writer,Narrator
عماد,Male,Engineer,Support
عمر,Male,Friend,Support
مسعود,Male,Friend,Support
اعظمی,Male,Friend,Support
مفتی,Male,Religious Scholar,Support
شیر باز,Male,Driver,Support
لیڈر,Male,Leader,Support
کوہستانی,Male,Porter,Support
سوئس لڑکی,Female,Tourist,Minor
سوئس بابا کتب فروش,Male,Bookseller,Minor
سوئس فٹبالر شوہر,Male,Footballer,Minor
سوئس اسٹیشن ماسٹر,Male,Station Master,Minor
ہوٹل کا لڑکا (ناران),Male,Hotel Worker,Minor
ٹراؤٹ فارم کا خان,Male,Trout Farm Supervisor,Minor
باپ اور لڑکا (رسی والے پل پر),Male,Father & Son,Minor
مرغی والا لڑکا,Male,Child,Minor
بکریاں چرانے والا بچہ,Male,Shepherd Boy,Minor
سوئس ٹرین والی لڑکی,Female,Tourist,Minor
بابا سوکس,Male,Book Buyer,Minor
عمر کی محبوبہ (خیالی),Female,Imaginary Beloved,Minor
حضرت خضر,Male,Spiritual Being,Minor
حضرت امیر المومنین سید احمد شہید,Male,Warrior,Minor
رحیم بخش بنارسی,Male,Devotee,Minor
میاں لکی,Male,Warrior,Minor
اللہ بخش بابتی,Male,Devotee,Minor
رسول خاں حلالہ والا,Male,Devotee,Minor
خان بابا,Male,Hotel Owner,Minor
خان بابا کا گونگا ملازم,Male,Servant,Minor
نوجوان گجر,Male,Gujjar Shepherd,Minor
نوجوان گجر کا بھائی,Male,Gujjar Kid,Minor
عالم بی بی,Female,Female Teacher,Minor
احمد بشیر,Male,Writer,Minor
بانو قدسیہ,Female,Female Writer,Minor
رفیق حسین,Male,Writer,Minor
آفتاب احمد,Male,Brother,Minor
بڑی آپا,Female,Elder of the House,Minor
سلمیٰ,Female,Elder Sister,Minor
اناں صوباں,Female,Housewife,Minor
اباجی,Male,Father,Minor
وکٹوریہ,Female,Maid,Minor
راحت,Female,Friend,Minor
خاور,Female,Friend,Minor
خاور کا منگیتر (نیوی افسر),Male,Navy Officer,Minor
صمدانی صاحب,Male,Teacher,Minor
ریحانہ,Female,Friend,Minor
شاہد (لیفٹیننٹ),Male,Army Officer,Minor
چو پاؤچی,Male,Chinese Leader,Minor
ماؤ زے تنگ,Male,Chinese Leader,Minor
قدرت اللہ شہاب,Male,Officer Writer,Minor
ڈاکٹر اسرار احمد,Male,Religious Scholar,Minor
امیر پرویز,Male,Officer,Minor
صوفی تبسم,Male,Poet,Minor
نور جہاں,Female,Female Singer,Minor
شاہ عبد العزیز,Male,Religious Scholar,Minor
عوض علی شاہ قلندر,Male,Sufi,Minor
بھگت کبیر,Male,Sufi Poet,Minor
کبیر کی بیوی,Female,Wife / Homemaker,Minor
