Character,Gender,TitleOrClass,Role
رشیدہ میر,Female,Young woman,Protagonist
خالہ فیروزہ,Female,Family aunt Support,Support
جمال اظہر بخاری,Male,Uncle family elder,Support
تنویر,Female,Elder sister figure,Support
ریاض,Male,Relative,Support
انوری,Female,Servant woman,Support
رمضان,Male,Servant man,Minor
امی رشیدہ,Female,Mother,Support
ابا جان رشیدہ,Male,Father,Support
نانی اماں,Female,Grandmother,Support
ماسی جیونی,Female,Maid,Support
چاچا دارا,Male,Uncle,Support
مہران,Male,Relative,Minor
تختی میراثن,Female,Storyteller Mirasi woman,Minor
زری,Female,Friend,Support
خالد,Male,Relative or friend,Support
راشدہ,Female,Friend,Support
طاہرہ,Female,Elder sister figure,Support
انجینئر کی والدہ,Female,Engineers mother,Minor
انجینئر واپڈا,Male,Engineer,Support
محمد حیات خان,Male,Landowner elder,Minor
زبیر خان,Male,Student,Support
مسٹر عبد الباری,Male,Teacher,Support
ڈاکٹر اعجاز حسین,Male,Professor,Support
پروفیسر بیگ,Male,Professor,Support
پروفیسر ضیا,Male,Professor,Support
پروفیسر نجم پور,Male,Professor,Support
پرنسپل مصباح,Female,Principal,Support
ظفر احمد,Male,Student,Support
جنید غازی,Male,Student,Support
رشید,Male,Relative,Minor
افتخار,Male,Relative,Minor
نمازی,Male,Religious man,Minor
ڈمپل,Female,Classmate,Support
طیبہ,Female,Classmate,Minor
گلنار,Female,Friend,Support
حافظ بہنیں,Female,Religious sisters,Minor
زماں,Male,Villager,Minor
خالہ حمیرا,Female,Family aunt,Support
منظر,Male,Brother,Support
مظفر بھائی,Male,Brother,Support
عذرا,Female,Sister in law,Support
منی,Female,Child,Minor
چودھری نیاز محمد,Male,Chaudhry landlord,Minor
چاچا کرم داد,Male,Uncle,Minor
ساجھا,Male,Villager,Minor
نذیراں,Female,Villager woman,Minor
جبروت,Male,Villager,Minor
صغراں,Female,Villager woman,Minor
حیران,Unknown,Villager,Minor
گوارہ شاہ,Male,Local saint,Minor
پیارا,Male,Servant boy,Minor
بی بی جی,Female,Household mistress,Support
بسم اللہ,Male,Servant,Minor
تاجو,Female,Maid,Minor
کیزو,Male,Servant boy,Minor
بتول آپا,Female,Elder sister,Support
انتظار,Male,Relative or suitor,Support
ملک صاحب,Male,Landowner elder,Support
سعیدہ,Female,Relative,Support
بڑی خالہ,Female,Elder aunt,Support
ومیلا,Female,Young girl,Minor
سجیلا,Female,Young girl,Minor
مہ پارہ,Female,Young girl,Minor
عرفان صاحب,Male,Teacher,Support
ملکہ صاحبہ,Female,Teacher or head,Support
غلام رسول,Male,Clerk or helper,Minor
اکبری,Female,Servant or relative,Minor
ڈیوڈ,Male,Christian staff,Minor
طلعت,Unknown,Student,Minor
سیم صاحبہ,Female,Madam employer,Support
پاپا,Male,Father figure,Support
مسٹر سید,Male,Gentleman teacher,Support
مسز سید,Female,Madam,Support
جمعدار منی,Female,Sanitation worker,Minor
صاحب خان,Male,Watchman,Minor
زاہدہ,Female,Student,Support
زاہدہ کے والد,Male,Doctor,Minor
نظر,Male,Servant,Minor
ملک بختیار علی,Male,Landowner,Antagonist
عیدو,Male,Servant or helper,Minor
بیبو,Female,Servant or helper,Minor
شیخ جی,Male,Shopkeeper,Minor
امتی,Female,Servant,Minor
خانساماں,Male,Cook,Minor
مدن موہن,Male,Music director,Minor
این (فلم کی ہیروئن),Female,Film heroine,Minor
مہاتما گاندھی,Male,Historical leader,Minor
زیب النسا,Female,Mughal princess,Minor
عالمگیر,Male,Mughal emperor,Minor
حضرت لوط,Male,Prophet,Minor
موآب,Unknown,Biblical tribe ancestor,Minor
بنی عمون,Unknown,Biblical tribe,Minor
مہاراجہ رام چندر,Male,Mythic king,Minor
مہارانی سیتا,Female,Mythic queen,Minor
محمد علی,Male,Historical figure,Minor
روشن آرا,Female,Singer,Minor
ثریا ملتانیکر,Female,Classical singer,Minor
فریدہ خانم,Female,Singer,Minor
