Character,Gender,TitleOrClass,Role
شعلہ حسن,Female,Wealthy Lady,Antagonist
پیر مرد,Male,Saint,Support
منشی جی,Male,Servant Scribe,Support
دادا,Male,Grandfather,Minor
پروفیسر صاحب,Male,Professor,Minor
راجکماری پر بھا,Female,Princess,Protagonist
راجہ ہری چند,Male,Raja,Support
امبا,Female,Companion,Support
راؤ کیوی چند,Male,Rao Noble,Support
پنڈت دیودت,Male,Pandit,Support
گوداوری,Female,Housewife,Support
گومتی,Female,Second Wife,Support
کنور سجن سنگھ,Male,Kunwar Zamindar,Support
مسٹر واگلے,Male,Magistrate,Minor
فٹ بال,Male,Orderly Servant,Minor
مہا راجہ شبلو رام پور,Male,Maharaja,Minor
زندہ جاوید شنکر,Male,Thinker Poet,Minor
مہادیو سنا,Male,Goldsmith,Minor
ڈاکٹر عرفان علی,Male,Doctor,Support
بیوی عرفان علی,Female,Doctors Wife,Minor
درگا,Male,Gardener,Minor
پریم شنکر,Male,Private Secretary,Protagonist
بالوجی,Male,Villager,Minor
لالہ صاحب,Male,Shopkeeper Lala,Support
مہری,Female,Maidservant,Minor
ہری,Male,Servant Boy,Minor
گنگا,Female,Servant,Minor
رام چندر,Male,Gentleman,Minor
سیواجی,Male,Historical Hero,Minor
کامل کرشن,Male,Religious Deity,Minor
نظام,Male,Ruler,Minor
کبیر,Male,Saint Poet,Minor
رام داس,Male,Devotee Saint,Minor
نانک,Male,Religious Leader,Minor
وال میک,Male,Sage Poet,Minor
ویاس,Male,Sage,Minor
کالی داس,Male,Classical Poet,Minor
بھو بھوتی,Male,Classical Poet,Minor
بھرتری,Male,Moralist Poet,Minor
غالب,Male,Poet,Minor
انیس,Male,Poet,Minor
ذوق,Male,Poet,Minor
آتش,Male,Poet,Minor
نظیر,Male,Poet,Minor
حالی,Male,Reformist Poet,Minor
اکبر,Male,Satirical Poet,Minor
اقبال,Male,Philosopher Poet,Minor
سور داس,Male,Devotional Poet,Minor
کیشو,Male,Poet,Minor
بہاری,Male,Poet,Minor
شوداس,Male,Devotional Poet,Minor
رانا پرتاپ,Male,Historical King,Minor
سلیم,Male,Prince,Minor
گودر ندا,Male,Martyr,Minor
بھیم سنگھ,Male,Warrior,Minor
دیانند,Male,Religious Reformer,Minor
بدھ,Male,Religious Leader,Minor
ڈنٹی,Male,Poet,Minor
براؤننگ,Male,Poet,Minor
شیلے,Male,Poet,Minor
لالہ سائیں داس,Male,Lala Trader,Support
بنگالی بابو,Male,Babu Clerk,Minor
رانی برہل,Female,Rani,Support
کنور جگدیش سنگھ,Male,Kunwar Heir,Support
ماتا جی,Female,Mother,Support
ساوتری,Female,Ascetic Woman,Minor
لال صاحب,Male,Sahib,Minor
مسٹر جیکب,Male,European Officer,Minor
مسٹر نسیم,Male,Lawyer Clerk,Minor
شیو داس,Male,Estate Manager,Support
لالہ دیتا ناتھ,Male,Lala,Minor
پنڈت بھرو گودت مصر,Male,Pandit,Minor
منشی ست نرائن لال,Male,Lawyer Munshi,Support
بھان کنور,Female,Widow,Support
منشی چھکن لال,Male,Munshi,Minor
سیٹھ جی,Male,Moneylender Seth,Minor
پروہت جی,Male,Temple Priest,Minor
آتما رام,Unknown,Parrot,Minor
ٹھاکر,Male,Thakur Landlord,Minor
کنجرین سبزی والی,Female,Vegetable Seller,Minor
ماں منشی ست نرائن لال,Female,Old Mother,Minor
بیوی منشی ست نرائن لال,Female,Housewife,Minor
استغاثہ کا بیرسٹر,Male,Barrister,Minor
مخالف فریق کا وکیل,Male,Advocate,Minor
جج صاحب,Male,Judge,Minor
مولوی صاحب,Male,Religious Scholar,Minor
اوجھا,Male,Healer Exorcist,Minor
