Character,Gender,TitleOrClass,Role
شیلا رانی,Female,Peasant Girl / Bandit Camp Member,Support
مدن رائے,Male,Brother / Bandit Fighter,Support
مادھوکر,Male,Bandit Fighter,Minor
اقبال (گوریلا گروہ),Male,Revolutionary / Guerrilla Leader,Support
بنرجی,Male,Revolutionary,Support
سرخ داڑھی والا گوریلا,Male,Bandit Fighter,Minor
بڑھا دکان والا,Male,Shopkeeper,Minor
گدھے والا کمین,Male,Low-caste Laborer,Minor
دودھ والا کسان,Male,Peasant / Milk Seller,Minor
ہری چند,Male,Headmaster,Support
بالمکند,Male,Congress Worker,Minor
کانگریس سیکرٹری (نام نہیں دیا گیا),Male,Congress Secretary,Minor
مالی / باغبان (روشن محل — دوسرا),Male,Gardener,Minor
ارشد گریکسن,Male,Child,Minor
شیریں,Female,Child,Minor
طلعت,Female,Child,Minor
غیث,Male,Child,Minor
بوڑھا مچھلی فروش,Male,Fisherman,Support
مچھلی والے کا باپ,Male,Fisherman,Minor
مچھلی والے کی ماں,Female,Fisherman’s Wife,Minor
پرنس آف ویلز,Male,Prince / British Royalty,Minor
گورنر بنگال,Male,British Official,Minor
بریگیڈیئر جنرل ڈائر,Male,British Army Officer,Antagonist
کھدر پوش لیڈر (کلکتہ),Male,Congress Leader,Minor
غازی آباد کا زمیندار (گلاب والا),Male,Zamindar,Minor
بیگم وحید الدین,Female,Begum / Landed Elite,Minor
بیگم روشن آغا,Female,Begum / Noblewoman,Support
ڈاکٹر انصاری,Male,Doctor,Support
انگریز نرس (روشن محل),Female,Nurse,Minor
نعیم اور عذرا کی بیٹی,Female,Child,Minor
کالی داڑھی والا مقرر (باغ),Male,Political Orator,Minor
ڈاکٹر امبید کر,Male,Politician / Reformer,Minor
راجہ صاحب کرم آباد,Male,Raja,Minor
پروفیسر اقبال سنگھ,Male,Professor,Minor
لکھنو انگریزی اخبار کا نمائندہ,Male,Journalist,Minor
خاتون (کالی عینک والی),Female,Social Worker / Delegate,Minor
مجلس خدام ہند کے نمائندے,Unknown,Political Delegation,Minor
علی (نعیم کا بیٹا),Male,Peasant / Factory Worker,Protagonist
عائشہ (علی کی سہیلی → بعد میں بیوی),Female,Village Woman,Support
عائشہ کی ماں (علی کی خالہ),Female,Household Woman,Minor
راول (گاؤں کا لڑکا),Male,Village Boy,Minor
سلیمان (بنٹے والا لڑکا),Male,Village Boy,Minor
بڑے سر والا لڑکا,Male,Village Boy,Minor
مہندر (جیل اوورسیئر نمبر 19),Male,Jail Overseer,Minor
اندھا جیب کترا,Male,Criminal,Minor
قیدی نمبر 17,Male,Prisoner,Minor
جیل سپرنٹنڈنٹ,Male,Prison Official,Minor
جیلر,Male,Prison Official,Minor
