Character,Gender,TitleOrClass,Role
ریحام,Female,Office Worker,Support
ریما,Female,Friend,Support
محسن,Male,Friend,Minor
ابو بکر,Male,Companion,Minor
محمد ﷺ,Male,Prophet,Minor
صحابی,Male,Companion,Minor
بزرگ,Male,Elder,Minor
اندھی لڑکی,Female,Young Woman,Minor
بھیڑیا,Unknown,Symbolic Animal,Minor
راوی (میں),Unknown,Narrator,Narrator
سر ولیم جونز,Male,Scholar,Minor
سید احمد گیلانی,Male,Religious Leader,Minor
نپولین اعظم,Male,Emperor,Minor
حکیم صاحب,Male,Physician,Minor
مصباحی,Male,Scholar,Minor
حامد الدین فراہی,Male,Religious Scholar,Minor
مولانا آزاد,Male,Religious Scholar,Minor
مولانا حسرت موہانی,Male,Poet,Minor
مولوی عزیز مرزا,Male,Religious Scholar,Minor
مولوی ثناء اللہ,Male,Religious Scholar,Minor
مولانا ظفر علی خاں,Male,Journalist,Minor
مولوی اسمعیل,Male,Religious Scholar,Minor
مولانا شبلی نعمانی,Male,Religious Scholar,Minor
حالی,Male,Poet,Minor
میر ناصر علی,Male,Nobleman,Minor
حضرت علیؓ,Male,Caliph,Minor
حضرت مسیح موعود علیہ السلام,Male,Religious Leader,Minor
حضرت خلیفة المسیح الخامس,Male,Religious Leader,Minor
سید محمد طاہر شاہد,Male,Scholar,Minor
سید صاحب,Male,Religious Scholar,Minor
مولانا محمد اسماعیل شہید,Male,Religious Scholar,Minor
مولانا مظہر علی,Male,Religious Scholar,Minor
مولانا قاضی محمود,Male,Religious Scholar,Minor
مولانا عبدالقادر,Male,Religious Scholar,Minor
مولانا غلام یحیی,Male,Religious Scholar,Minor
جوہر,Male,Student,Minor
شیخ (استاد جوہر),Male,Teacher,Minor
ملا جی,Male,Cleric,Minor
بادشاہ (کہانی),Male,King,Minor
شہزادہ (بادشاہ کا بیٹا),Male,Prince,Minor
ملکہ,Female,Queen,Minor
حکیم (بادشاہ کی کہانی),Male,Physician,Minor
شاہی طبیب,Male,Physician,Minor
نوجوان (بادشاہ کی کہانی),Male,Young Man,Minor
مجدد الزمان,Male,Religious Reformer,Minor
مولانا عبد الحکیم سیالکوٹی,Male,Religious Scholar,Minor
شیخ بدیع الدین سرہندی,Male,Religious Scholar,Minor
سید حسن علی بلگرامی,Male,Scholar,Minor
مولوی روح اللہ صاحب,Male,Religious Scholar,Minor
سلطان علاؤ الدین,Male,Sultan,Minor
ملا محمود جا,Male,Cleric,Minor
خواجہ نظام,Male,Saint,Minor
محمد شاہ,Male,King,Minor
نادر شاہ,Male,King,Minor
کوکل تاش خان,Male,Nobleman,Minor
حیدر قلی خان,Male,Nobleman,Minor
میاں احمد خان,Male,Nobleman,Minor
محمد عالم خان,Male,Nobleman,Minor
فتح جنگ خان,Male,Nobleman,Minor
غلام محمد بلور,Male,Politician,Minor
مولوی علی حسن,Male,Cleric,Support
غریب ملازمہ عورت,Female,Servant,Support
ملازمہ کا شوہر,Male,Labourer,Minor
ملازمہ کے بچے,Unknown,Children,Minor
فتح الدین,Male,Scholar,Minor
مولانا روم,Male,Sufi Poet,Minor
محمد علی جوہر,Male,Politician,Minor
حضرت سلمان فارسی,Male,Companion,Minor
سید محمد عثمان الہاشمی,Male,Religious Scholar,Minor
امیر خاتون (دیوا کی کہانی),Female,Wealthy Woman,Minor
نوکرانی (دیوا کی کہانی),Female,Servant,Minor
آدمی (دیوا کی کہانی),Male,Common Man,Minor
دکاندار (دیوا کی کہانی),Male,Shopkeeper,Minor
اکرام علی خاں,Male,Nobleman,Minor
دیوان (اکرام علی خاں کی کہانی),Male,Minister,Minor
نواب (سید صاحب کی کہانی),Male,Nawab,Minor
والی,Male,Governor,Minor
قاضی صاحب,Male,Judge,Minor
ابوجہل,Male,Tribal Leader,Minor
عبدالمطلب,Male,Tribal Leader,Minor
ابو طالب,Male,Tribal Leader,Minor
عبداللہ ابن جدعان,Male,Tribal Leader,Minor
