Character,Gender,TitleOrClass,Role
حکیم صاحب,Male,Hakim / Herbal Doctor,Support
بیوی حکیم صاحب,Female,Hakim’s Wife,Minor
کلثوم بیگم,Female,Madam,Support
میر صاحب,Male,Sir,Minor
داروغہ صاحب,Male,Police Inspector / Darogha,Support
میاں نبی بخش,Male,Servant,Support
کریم خاں,Male,Servant,Support
محلدار,Female,Maid,Minor
بیگم صاحبہ,Female,Madam,Support
چھوٹے نواب,Male,Nawab,Protagonist
نواب مختار الدولہ,Male,Nawab,Support
بی مہری,Female,Maid,Support
پھلکی والا,Male,Shopkeeper,Minor
لڑکا (پھلکی والے کا شاگرد),Male,Apprentice,Minor
میاں حسنو,Male,Shopkeeper,Minor
بی مغلانی,Female,Maid,Minor
بی مغلائی,Female,Relative,Minor
غلام علی,Male,Servant,Minor
سبحان خاں,Male,Music Teacher,Minor
بزن بیگ خاں,Male,Rich Man / Aristocrat,Minor
مرشد,Male,Spiritual Guide,Minor
چمن,Male,Khalifa / Court Companion,Support
مولوی صاحب,Male,Religious Scholar,Minor
میاں امجد,Male,Relative,Support
بی اما من,Female,Midwife / Maid,Minor
مرزا صاحب,Male,Mirza,Minor
تمباکو والا,Male,Shopkeeper,Minor
چائے والا,Male,Shopkeeper,Minor
رجب کنجڑا,Male,Vegetable Seller,Minor
فیضو گندھی,Male,Shopkeeper,Minor
حسنہ,Female,Maid,Minor
مسعود,Male,Servant,Minor
فولاد,Male,Relative,Minor
حبشی نوکر,Male,Servant,Minor
چھوٹی انا,Female,Midwife,Support
مجد بخش,Male,Relative,Minor
خورشید,Female,Courtesan,Support
شیدی مقصود,Male,Servant,Minor
کرامت علی شاہ,Male,Faqir / Spiritual Healer,Antagonist
سبز قبا (پری),Female,Fairy,Support
بڑی بی (پری کے مکان والی),Female,Old Woman,Minor
سیاہ فام بزرگ,Male,Faqir,Minor
چھٹی نویس,Female,Scribe / Confidant,Support
انائی,Female,Maid,Minor
دیوان جی,Male,Prime Minister (Diwan),Support
داروغہ (نیا),Male,Police Inspector (Darogha),Support
بڑی انا,Female,Elder Relative,Support
عمدہ خانم,Female,Madam / Landlady,Support
مرزا قربان علی,Male,Mirza,Minor
میر کاظم علی,Male,Friend,Support
گھنام جوگی,Male,Yogi / Magician,Antagonist
عبد الحفر,Male,Officer / Clerk,Minor
نشو بیگم,Female,Madam,Minor
واجد,Male,Relative / Servant,Minor
منشی جی,Male,Clerk,Minor
میاں فقر,Male,Friend,Minor
چھٹن,Male,Friend / Servant,Minor
انسپکٹر صاحب,Male,Police Inspector,Support
چھوٹے خان گندھی,Male,Rich Man / Moneylender,Minor
فردو,Female,Maid,Minor
راجہ اندور,Male,King,Minor
تان سین,Male,Court Singer,Minor
مولف اوراق,Male,Author / Narrator,Narrator
مظہر,Male,Brother-in-law of Hakim,Minor
حوالدار,Male,Police Havildar,Minor
نریمانی,Male,Armed Guard,Minor
کرم خان,Male,Armed Guard,Minor
چیت سنگھ,Male,Soldier,Minor
تھانیدار صاحب,Male,Police Thana Officer,Support
حسن علی,Male,Witness / Man,Minor
شہزادہ صاحب,Male,Prince,Minor
کنیز,Female,Maidservant,Minor
زینت,Female,Nanny,Minor
خلیا ساس,Female,Maternal Aunt-in-Law,Minor
تعلقدار صاحب,Male,Estate Holder,Minor
سلطانہ,Female,Courtesan,Minor
جگن,Male,Servant,Minor
