Character,Gender,TitleOrClass,Role
ذی شان,Male,Sahib,Support
آزاد,Female,Begum,Support
آراد,Female,Unknown,Support
ماموں,Male,Uncle,Minor
عابدہ,Female,Unknown,Support
جمیلہ,Female,Unknown,Minor
خالہ سکینہ,Female,Khala,Support
زینب,Female,Aapa,Support
باجی,Female,Baji,Minor
تہمینہ,Female,Unknown,Support
یوسف بھائی,Male,Bhai,Minor
اعجاز,Male,Unknown,Minor
فواد,Male,Unknown,Minor
عائلہ,Female,Unknown,Support
زارا,Female,Unknown,Minor
عصمت,Female,Unknown,Minor
زبیر احمد,Male,Sahib,Minor
سعیدہ,Female,Unknown,Minor
زریں,Female,Unknown,Minor
شبانہ,Female,Unknown,Minor
مختار,Male,Unknown,Minor
مہر دین,Male,Servant,Minor
دمہ,Female,Unknown,Minor
آصفہ حیدری,Female,Unknown,Minor
ابراہیم,Male,Unknown,Minor
منا,Unknown,Child,Minor
دلہن,Female,Bride,Minor
بیوی,Female,Unknown,Minor
پولی,Female,Unknown,Minor
مقصود,Male,Unknown,Minor
راجو,Male,Unknown,Minor
بیگم صاحبہ,Female,Begum,Minor
نواب صاحب,Male,Nawab,Minor
نسیم بانو,Female,Bano,Minor
شکیلہ,Female,Unknown,Minor
رشیدہ بائی,Female,Bai,Support
سائیں,Male,Religious Figure,Minor
آپی,Female,Aapi,Minor
سگرٹ,Unknown,Unknown,Minor
نظریں,Female,Unknown,Minor
گورمکھی,Male,Unknown,Minor
سرجیت,Male,Unknown,Minor
فیروز,Male,Unknown,Minor
زرین,Female,Unknown,Minor
جالری,Unknown,Unknown,Minor
سیاہ زنگ,Unknown,Unknown,Minor
فراموش,Unknown,Unknown,Minor
شائستہ,Female,Unknown,Minor
لطیف صاحب,Male,Sahib,Minor
فائزہ,Female,Unknown,Minor
مرزا صاحب,Male,Sahib,Minor
فاراں سعید,Female,Saeed Family,Minor
قمر زبیری,Female,Unknown,Minor
حمیرا,Female,Unknown,Minor
سنتو جمعدارنی,Female,Servant,Minor
خورشید,Female,Unknown,Minor
نائیجل,Male,Foreigner,Minor
روزی,Female,Unknown,Minor
انیلا,Female,Unknown,Minor
گلاب دین,Male,Servant,Minor
پروفیسر فخر,Male,Professor,Support
صوفیہ,Female,Middle-Class,Protagonist
قیصر,Male,Upper-Middle-Class,Protagonist
یاسمین,Female,Unknown,Support
منی,Female,Child,Minor
جمالی ملک,Male,Sahib/Feudal,Minor
نیاز,Male,Unknown,Support
پیا,Female,Modern Girl,Antagonist
نعیم,Male,Child,Minor
آمنہ,Female,Matriarch,Support
ملک آصف,Male,Feudal Lord,Antagonist
گل رخ,Male,Feudal Heir,Support
پارو بہو,Female,Feudal Daughter-in-law,Support
شہتوت رنگی,Female,Unknown,Minor
گیتو,Female,Unknown,Minor
نور افشاں,Female,Grandmother/Matriarch,Support
ماجد,Male,Unknown,Minor
ملکانی,Female,Feudal Lady,Support
متنی,Female,Unknown,Minor
