Character,Gender,TitleOrClass,Role
سنان,Male,Tourist,Protagonist
پاسکل,Female,Western Girl,Protagonist
سکاٹ,Male,Drunken Traveler,Minor
سنان کا باپ,Male,Father,Minor
سنان کی ماں,Female,Mother,Minor
سنان کی بہنیں,Female,Sisters,Minor
فخر,Male,Friend,Minor
سعادت,Male,Friend,Minor
ظہور,Male,Friend,Minor
مصطفیٰ,Male,Friend,Minor
پاسکل کی خالہ,Female,Maternal Aunt,Support
پاسکل کے والد,Male,Father,Minor
تین راہبائیں,Female,Nuns,Minor
کپتان,Male,Captain,Minor
کاؤنٹر لڑکی,Female,Receptionist,Minor
فرانسیسی ٹریفک سپاہی,Male,Soldier,Minor
منیجر کیمپنگ گراؤنڈ,Male,Manager,Minor
ہپی لڑکا,Male,Hippie,Minor
سیاح لڑکیاں,Female,Tourist,Minor
میڈم ڈی,Female,Hotel Owner (female),Support
میڈم ڈی کی ماں,Female,Old Woman,Minor
طوطے والی طوطا,Unknown,Animal,Minor
پال,Male,Painter (male),Support
لوئیس,Female,Painter (female),Support
جینی,Female,Courtesan,Support
قہوہ خانہ پگال کا مالک,Male,Shopkeeper,Support
کہاری,Male,Painter,Support
تنویر,Male,Teacher,Minor
مالک مکان کی بیٹی,Female,Daughter,Minor
انڈونیشین مصور,Male,Painter,Minor
پال کی پہلی دوست لڑکی,Female,Female Friend,Minor
رڈیارڈ کپلنگ,Male,Author,Minor
پیری,Male,Tourist,Minor
ڈوکی,Unknown,Dog,Minor
نپولین,Male,Historical Figure,Minor
جوزفین,Female,Historical Figure,Minor
وکٹر ہیوگو,Male,Author,Minor
لارڈ بائرن,Male,Poet,Minor
آندرے ژید,Male,Author,Minor
سارتر,Male,Philosopher,Minor
زولا,Male,Author,Minor
موپساں,Male,Author,Minor
ہارڈی,Male,Author,Minor
ڈکنز,Male,Author,Minor
ملٹن,Male,Poet,Minor
مونا لیزا,Female,Symbolic Character,Minor
محمد بکر,Male,Coffeehouse Owner,Support
مچھلی پکڑنے کا سامان فروش بوڑھا,Male,Shopkeeper,Minor
الجزائری قالین فروش,Male,Carpet Seller,Minor
گھوڑے کے گوشت کا دکاندار,Male,Butcher,Minor
مجسمہ فروش بوڑھا,Male,Statue Seller,Minor
نیوزی لینڈ سفارت خانے کا افسر,Male,Officer,Minor
وینس دی میلو,Female,Goddess,Minor
اپالو,Male,God,Minor
زئیس,Male,God,Minor
ڈائنا,Female,Goddess,Minor
داؤد,Male,Statue,Minor
مریم,Female,Statue,Minor
عیسیٰ,Male,Statue,Minor
ویتنامی ویٹرس,Female,Waitress,Minor
فرانسوا,Female,Little Girl,Minor
فرانسوا کی دادی,Female,Grandmother,Minor
میلو کا سنگتراش,Male,Sculptor,Minor
شاہ یونان,Male,King,Minor
