Character,Gender,TitleOrClass,Role
اسد,Male,گوریلا مجاہد,Protagonist
اسد کا باپ,Male,والد,Support
اسد کی ماں,Female,ماں,Minor
اسد کا چاچا,Male,رشتہ دار مرد,Minor
اسد کی پھوپھی,Female,رشتہ دار عورت,Minor
حسین بی بی,Female,گھر کی بزرگ,Minor
بوڑھی خادمہ,Female,خادمہ,Minor
یاسمین,Female,دیہاتی لڑکی,Support
ولی,Male,چوکیدار,Support
گاؤں کا چوکیدار,Male,چوکیدار,Minor
میر حسن,Male,دیہاتی بزرگ,Support
احمد علی,Male,دیہاتی نوجوان,Support
نظام الدین,Male,دیہاتی نوجوان,Support
حکیم,Male,حکیم,Support
بیوہ,Female,بیوہ,Support
بیوہ کے بیٹے,Male,دیہاتی لڑکے,Minor
حمنہ,Female,لڑکی,Minor
شاہ رخ,Male,فارسٹر,Support
شاہ رخ کی منگیتر,Female,منگیتر,Minor
عالم شواری,Male,ریاستی افسر,Minor
ریاض,Male,طالب علم,Support
ریاض کی ماں,Female,ماں,Support
کسان مزدور لڑکی,Female,مزدور لڑکی,Minor
اساتذہ کالج,Unknown,اساتذہ,Minor
پرنسپل کالج,Male,پرنسپل,Minor
ڈاکٹر کالج,Male,ڈاکٹر,Minor
پیتھالوجسٹ,Male,ڈاکٹر,Minor
چاچا کا دوست,Male,دکاندار,Minor
مہمان لڑکی جنگل,Female,لڑکی,Minor
اسسٹنٹ ڈسٹرکٹ انسپکٹر سکولز,Male,تعلیمی افسر,Minor
ملائی بیگم,Female,بیگم,Minor
تھانیدار کلیم اللہ خان,Male,پولیس افسر,Antagonist
ہیڈ کانسٹیبل,Male,پولیس اہلکار,Minor
لال خاں,Male,سپاہی,Minor
سپاہی کرم دین,Male,سپاہی,Support
ولی محمد حسین دکاندار,Male,دکاندار,Minor
ذوالفقار,Male,ماسٹر وکیل,Support
کریم ملازم,Male,ملازم,Minor
روشن,Female,گھر کی عورت,Minor
بوڑھا خاکسار,Male,خاکسار کارکن,Minor
ڈاکٹر غوری,Male,ڈاکٹر,Minor
جان محمد,Male,مزدور,Minor
پھوپھا نواز,Male,رشتہ دار مرد,Minor
خوشی محمد,Male,جنگل مزدور,Support
جمیلہ,Female,دودھ والی,Minor
رحیم,Male,مزارع,Minor
مریم,Female,کسان عورت,Minor
ماسٹر پرائمری سکول,Male,ماسٹر,Minor
غلام,Male,مزدور ساتھی,Support
شیر,Unknown,درندہ,Antagonist
امیر خان,Male,سمگلر گائیڈ,Support
سلطان شاہ,Male,سردار,Support
