Character_A,Character_B,Weight,Pages
"احمد علی","اسد",5,"9 54 64 69 219"
"احمد علی","اسد کا چاچا",1,"219"
"احمد علی","حکیم",1,"9"
"احمد علی","خوشی محمد",1,"64"
"احمد علی","شاہ رخ",1,"219"
"احمد علی","عمر",1,"219"
"احمد علی","میر حسن",3,"9 54 219"
"احمد علی","نظام الدین",1,"9"
"احمد علی","ولی",2,"9 54"
"احمد علی","یاسمین",2,"64 219"
"اسد","اسد کا باپ",22,"11 14 15 17 18 23 34 63 85 91 94 119 138 178 184 185 186 187 198 213 214 343"
"اسد","اسد کا چاچا",31,"11 13 26 27 33 62 95 110 126 128 141 155 156 158 171 197 200 204 216 219 242 243 245 257 263 265 280 294 304 310 352"
"اسد","امیر خان",12,"222 223 224 226 227 228 229 232 240 251 254 256"
"اسد","بیوہ",2,"6 8"
"اسد","بیٹری والا فوجی",4,"311 313 314 315"
"اسد","تھانیدار کلیم اللہ خان",42,"85 86 89 90 92 100 101 102 103 107 108 109 110 111 113 115 116 117 118 119 120 126 127 128 129 131 133 135 136 137 138 141 142 144 145 147 148 155 156 157 184 186"
"اسد","جنگل کا مزدور",2,"228 312"
"اسد","جھنڈیاں کی عورت",4,"266 301 302 319"
"اسد","حوالدار گل شیر",3,"221 238 239"
"اسد","حکیم",50,"8 9 10 42 45 47 50 51 52 55 59 62 66 68 71 73 85 89 90 92 94 95 96 97 115 117 118 119 131 136 137 140 151 155 160 168 194 198 200 205 215 224 225 227 228 244 263 270 301 327"
"اسد","خوشی محمد",37,"27 31 64 151 161 168 169 183 185 186 192 194 200 202 208 214 215 218 228 229 249 261 262 263 266 267 272 279 287 288 289 302 304 309 336 337 342"
"اسد","دین",10,"122 123 130 136 138 184 186 267 269 293"
"اسد","ذوالفقار",40,"145 160 164 165 166 167 168 170 171 172 188 190 191 193 194 195 196 202 203 204 205 206 207 208 209 216 221 229 230 237 238 239 245 251 255 270 326 328 338 349"
"اسد","ریاض",60,"41 241 242 243 244 245 246 247 248 249 250 252 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 271 272 273 274 276 278 279 280 281 282 283 284 285 286 287 288 289 290 292 293 294 295 296 297 298 311 313 314 315 316 317 319"
"اسد","ریاض کی ماں",3,"241 248 271"
"اسد","سلطان شاہ",15,"240 242 243 251 253 254 255 256 257 264 265 267 269 280 294"
"اسد","سپاہی کرم دین",4,"122 123 130 138"
"اسد","شاہ رخ",23,"37 38 39 41 44 51 167 168 169 170 171 186 187 191 193 196 214 215 216 217 218 219 325"
"اسد","شاہ رخ کی منگیتر",1,"38"
"اسد","عمر",42,"3 11 12 20 26 34 45 52 67 70 93 99 104 107 108 112 121 159 187 197 200 204 217 219 226 243 247 248 249 253 272 279 280 289 290 293 297 298 339 348 349 352"
"اسد","غلام",10,"250 252 253 254 260 264 271 272 274 288"
"اسد","لنگری کا جبار",1,"293"
"اسد","میر حسن",34,"3 5 9 39 42 52 54 58 59 60 67 68 71 81 96 97 99 103 104 105 107 112 151 185 219 268 269 270 293 334 336 337 338 339"
"اسد","نظام الدین",4,"9 252 267 274"
"اسد","ولی",16,"3 4 5 6 8 9 10 21 54 60 66 71 85 96 142 171"
"اسد","گروپ لیڈر (عمر کے گروپ کا)",7,"280 281 283 285 297 298 299"
