Character_A,Character_B,Weight,Pages
"آصف (کیڈٹ ساتھی)","آصف شاہ (پارٹی امیدوار)",10,"287 291 293 294 310 321 322 367 398 577"
"آصف (کیڈٹ ساتھی)","احمد شاہ",2,"367 398"
"آصف (کیڈٹ ساتھی)","اشرف",6,"287 293 310 321 322 577"
"آصف (کیڈٹ ساتھی)","اعجاز اعوان",3,"287 367 398"
"آصف (کیڈٹ ساتھی)","ایوب اعوان",1,"310"
"آصف (کیڈٹ ساتھی)","برکت",5,"287 293 294 310 577"
"آصف (کیڈٹ ساتھی)","سلطان (پی۔او۔ڈبلیو ساتھی/دوست)",1,"577"
"آصف (کیڈٹ ساتھی)","سکینہ (اعجاز کی بیوی)",1,"287"
"آصف (کیڈٹ ساتھی)","شعیب",4,"287 321 322 577"
"آصف (کیڈٹ ساتھی)","شوکت",2,"287 293"
"آصف (کیڈٹ ساتھی)","ظفر چوہدری",1,"577"
"آصف (کیڈٹ ساتھی)","قائد (پارٹی بانی لیڈر)",1,"398"
"آصف (کیڈٹ ساتھی)","منظور (اعجاز کا ورکر)",2,"367 398"
"آصف (کیڈٹ ساتھی)","میجر/کیپٹن سرفراز اعوان",5,"287 310 321 322 577"
"آصف (کیڈٹ ساتھی)","نسیمہ (شعیب کی بہن)",1,"321"
"آصف (کیڈٹ ساتھی)","نصیر شیخ (پارٹی امیدوار)",2,"367 398"
"آصف (کیڈٹ ساتھی)","چاچا احمد خان راٹھور",1,"287"
"آصف (کیڈٹ ساتھی)","کیپٹن دلاور",2,"321 322"
"آصف شاہ (پارٹی امیدوار)","احمد شاہ",2,"367 398"
"آصف شاہ (پارٹی امیدوار)","اشرف",6,"287 293 310 321 322 577"
"آصف شاہ (پارٹی امیدوار)","اعجاز اعوان",3,"287 367 398"
"آصف شاہ (پارٹی امیدوار)","ایوب اعوان",1,"310"
"آصف شاہ (پارٹی امیدوار)","برکت",5,"287 293 294 310 577"
"آصف شاہ (پارٹی امیدوار)","سلطان (پی۔او۔ڈبلیو ساتھی/دوست)",1,"577"
"آصف شاہ (پارٹی امیدوار)","سکینہ (اعجاز کی بیوی)",1,"287"
"آصف شاہ (پارٹی امیدوار)","شعیب",4,"287 321 322 577"
"آصف شاہ (پارٹی امیدوار)","شوکت",2,"287 293"
"آصف شاہ (پارٹی امیدوار)","ظفر چوہدری",1,"577"
"آصف شاہ (پارٹی امیدوار)","قائد (پارٹی بانی لیڈر)",1,"398"
"آصف شاہ (پارٹی امیدوار)","منظور (اعجاز کا ورکر)",2,"367 398"
"آصف شاہ (پارٹی امیدوار)","میجر/کیپٹن سرفراز اعوان",5,"287 310 321 322 577"
"آصف شاہ (پارٹی امیدوار)","نسیمہ (شعیب کی بہن)",1,"321"
"آصف شاہ (پارٹی امیدوار)","نصیر شیخ (پارٹی امیدوار)",2,"367 398"
"آصف شاہ (پارٹی امیدوار)","چاچا احمد خان راٹھور",1,"287"
"آصف شاہ (پارٹی امیدوار)","کیپٹن دلاور",2,"321 322"
"احمد شاہ","ارشاد",1,"135"
"احمد شاہ","اشرف",1,"733"
"احمد شاہ","اعجاز اعوان",29,"135 136 231 234 264 329 366 367 381 386 387 398 399 401 402 413 415 417 418 419 442 454 455 458 484 630 635 638 733"
"احمد شاہ","اقبال (کنیز کا بچہ/سکول جانے والا)",1,"733"
"احمد شاہ","امداد علی شاہ (محرر)",2,"135 136"
"احمد شاہ","این سی او گل نواز",1,"513"
"احمد شاہ","ایوب اعوان",2,"136 733"
"احمد شاہ","باجوہ (تھرڈ ایئر والنٹیر)",1,"204"
"احمد شاہ","بدیع الزمان",8,"625 630 635 636 637 638 662 665"
"احمد شاہ","بی بی (گھر کی بزرگ عورت/لالے کی ساتھی)",2,"231 234"
"احمد شاہ","تھانیدار / اے ایس آئی",1,"136"
"احمد شاہ","جیرا (نانبائی کا لڑکا)",3,"206 207 209"
"احمد شاہ","حاجی ذوالفقار",1,"514"
"احمد شاہ","حاجی کریم بخش (چیئرمین ازمیر گھی انڈسٹریز)",1,"624"
"احمد شاہ","حسن (اعجاز/سکینہ کا بیٹا)",2,"329 733"
"احمد شاہ","حسین (اعجاز/سکینہ کا بیٹا)",19,"202 203 205 206 207 208 209 210 212 220 231 248 249 252 624 625 628 665 733"
"احمد شاہ","خواجہ معراج الدین",2,"635 638"
