Character_A,Character_B,Weight,Pages
"آفتاب عمر","احمد فیروز",1,"101"
"آفتاب عمر","اماں (آفتاب عمر کی ماں)",12,"101 160 161 163 164 172 178 179 191 197 214 244"
"آفتاب عمر","ایانہ بیگ",3,"214 221 244"
"آفتاب عمر","اینا ہیمبرگ",15,"162 164 165 166 170 174 181 182 183 184 191 193 194 196 244"
"آفتاب عمر","بزرگ ملازم (قصور حویلی)",2,"169 249"
"آفتاب عمر","بھانجی",3,"126 164 244"
"آفتاب عمر","بیدی",1,"163"
"آفتاب عمر","تانگے والے کا کسان",2,"148 149"
"آفتاب عمر","جوان لڑکا (قصور حویلی)",1,"249"
"آفتاب عمر","سعیدہ",2,"147 244"
"آفتاب عمر","شاہ جی حکیم پیر بخش",1,"249"
"آفتاب عمر","شیخ عمر درانہ",34,"101 126 145 147 148 149 150 160 161 162 163 164 165 169 170 172 173 174 175 176 177 178 179 182 183 184 185 191 193 195 197 199 214 244"
"آفتاب عمر","ظفر علی چوہان",4,"221 244 249 278"
"آفتاب عمر","فاروق",20,"126 147 148 165 166 169 170 174 175 178 182 183 185 186 191 193 195 197 198 278"
"آفتاب عمر","فقیر",1,"126"
"آفتاب عمر","قربان تانگے والا",2,"148 149"
"آفتاب عمر","مرد لیکچرار (کوثر کا مبینہ عاشق)",1,"221"
"آفتاب عمر","مزارع",1,"177"
"آفتاب عمر","میری",3,"101 162 278"
"آفتاب عمر","نواب شیر محمد خان",1,"249"
"آفتاب عمر","ٹنڈا کباب والا",3,"193 194 195"
"آفتاب عمر","چوہدری (ایانہ حصہ راوی)",3,"161 162 163"
"آفتاب عمر","چوہدری نذیر",3,"161 162 163"
"آفتاب عمر","کلرک",1,"149"
"آفتاب عمر","کوثر",4,"221 244 249 278"
"آفتاب عمر","کوثر کا بھائی (قیصر)",1,"244"
"آفتاب عمر","کوثر کا ماموں",1,"249"
"آفتاب عمر","کوثر کی ماں",1,"244"
"آفتاب عمر","ہسپتال کے ڈاکٹر",1,"185"
"آفتاب عمر","ہیڈ کلرک",1,"149"
"احمد فیروز","اماں (آفتاب عمر کی ماں)",3,"66 101 102"
"احمد فیروز","انیڈ سی گل",1,"62"
"احمد فیروز","اینا ہیمبرگ",1,"98"
"احمد فیروز","بھانجی",1,"102"
"احمد فیروز","شیخ عمر درانہ",2,"101 102"
"احمد فیروز","محترمہ سی گل",1,"66"
"احمد فیروز","میری",4,"62 66 101 102"
"ارشاد","اینا ہیمبرگ",10,"341 342 343 344 349 352 363 371 375 376"
"ارشاد","ثاقب",19,"342 343 346 347 348 349 350 352 360 361 363 371 373 374 376 377 378 379 390"
"ارشاد","حافظ آبادی مکین",3,"348 361 371"
"ارشاد","حسین شاہ",22,"341 342 343 344 345 346 347 348 349 350 352 360 361 371 373 374 375 376 377 378 379 390"
"ارشاد","حیدر شاہ",2,"346 360"
"ارشاد","شیخ عمر درانہ",1,"342"
"ارشاد","شیر باز",5,"343 344 347 361 375"
"ارشاد","علی محمد حافظ آبادی",1,"371"
"ارشاد","غلام محمد",6,"342 347 349 350 361 376"
"ارشاد","فاروق",6,"343 348 352 373 375 390"
"ارشاد","میری",22,"341 342 343 344 346 347 348 349 350 352 360 361 363 371 373 374 375 376 377 378 379 390"
"ارشاد","چین",1,"360"
"ازابلا","بائرن",1,"21"
"ازابلا","بلانکا",1,"24"
"ازابلا","بھانجی",1,"21"
"ازابلا","جین",1,"21"
"ازابلا","میری",2,"22 24"
"اظہر","اماں (آفتاب عمر کی ماں)",2,"203 291"
"اظہر","ایانہ بیگ",12,"203 204 205 229 233 265 266 267 268 281 291 293"
"اظہر","اینا ہیمبرگ",1,"268"
"اظہر","بزرگ ملازم (قصور حویلی)",1,"281"
"اظہر","خلیق",7,"265 267 268 269 281 291 293"
"اظہر","سعیدہ",2,"205 265"
"اظہر","شیخ عمر درانہ",3,"229 265 281"
"اظہر","شیخ مظہر الدین",1,"204"
"اظہر","فاروق",2,"291 293"
"اظہر","فیاض ایڈیٹر",6,"265 266 267 268 269 291"
"اظہر","مبشر",5,"265 267 268 269 293"
"اظہر","میری",9,"203 204 205 229 233 265 266 267 281"
"اظہر","نسیم",10,"205 229 233 266 267 268 269 281 291 293"
"اظہر","کلثوم (اظہر کی بیوی)",6,"265 266 267 269 291 293"
"اظہر","کمال (ایانہ حصّہ راوی کا بیٹا)",2,"203 204"
"اماں (آفتاب عمر کی ماں)","انیڈ سی گل",3,"69 70 104"
"اماں (آفتاب عمر کی ماں)","ایانہ بیگ",17,"192 201 202 203 208 214 215 219 222 223 242 243 244 245 262 263 291"
"اماں (آفتاب عمر کی ماں)","ایانہ کی ماں",2,"201 208"
"اماں (آفتاب عمر کی ماں)","اینا ہیمبرگ",18,"32 51 52 104 115 123 164 191 201 215 219 244 271 274 275 276 277 319"
"اماں (آفتاب عمر کی ماں)","بائرن",3,"29 30 47"
"اماں (آفتاب عمر کی ماں)","بزرگ ملازم (قصور حویلی)",1,"208"
"اماں (آفتاب عمر کی ماں)","بلانکا",3,"29 30 51"
"اماں (آفتاب عمر کی ماں)","بھانجی",10,"29 49 52 60 102 158 164 244 274 323"
"اماں (آفتاب عمر کی ماں)","بیدی",1,"163"
"اماں (آفتاب عمر کی ماں)","ثاقب",4,"319 323 338 381"
"اماں (آفتاب عمر کی ماں)","جمیکے جارج",1,"324"
"اماں (آفتاب عمر کی ماں)","جین",1,"30"
"اماں (آفتاب عمر کی ماں)","حافظ آبادی مکین",1,"340"
"اماں (آفتاب عمر کی ماں)","حسین شاہ",2,"323 340"
"اماں (آفتاب عمر کی ماں)","خلیق",1,"291"
"اماں (آفتاب عمر کی ماں)","رابرٹ",1,"52"
"اماں (آفتاب عمر کی ماں)","سعیدہ",6,"60 130 158 201 219 244"
"اماں (آفتاب عمر کی ماں)","سلطان حسین",4,"29 30 51 56"
"اماں (آفتاب عمر کی ماں)","سلطان حسین کے پروفیسر",1,"32"
"اماں (آفتاب عمر کی ماں)","سلمی",1,"219"
"اماں (آفتاب عمر کی ماں)","سمگلر ایجنٹ",1,"338"
"اماں (آفتاب عمر کی ماں)","شاہ جی حکیم پیر بخش",6,"245 252 262 274 275 277"
"اماں (آفتاب عمر کی ماں)","شیخ عمر درانہ",32,"47 48 49 50 52 56 60 101 102 123 130 136 141 158 160 161 163 164 172 178 179 191 197 208 214 215 244 319 323 324 338 388"
