Character_A,Character_B,Weight,Pages
"احمد شاہ","جاری",2,"23 26"
"احمد شاہ","رضیہ سلطانہ",4,"21 23 64 81"
"احمد شاہ","سلامت علی",3,"23 25 64"
"احمد شاہ","عطیہ جانی",2,"21 23"
"احمد شاہ","فیروز شاہ",3,"10 21 23"
"احمد شاہ","مولوی احمد اللہ",1,"62"
"احمد شاہ","چوہدری برکت علی",2,"10 25"
"احمد شاہ","کرامت علی",6,"10 23 25 26 62 64"
"جاری","رحمت علی",1,"29"
"جاری","رضیہ سلطانہ",3,"23 75 76"
"جاری","سائیں",3,"2 86 88"
"جاری","سلامت علی",6,"2 15 23 44 86 88"
"جاری","عطیہ جانی",6,"15 16 17 23 75 86"
"جاری","علی محمد",1,"43"
"جاری","فیروز شاہ",1,"23"
"جاری","نسرین",1,"44"
"جاری","چوہدری برکت علی",2,"24 53"
"جاری","کرامت علی",8,"2 23 24 26 29 43 53 86"
"رحمت علی","کرامت علی",3,"29 31 51"
"رضیہ سلطانہ","سلامت علی",2,"23 64"
"رضیہ سلطانہ","سلطان میر",1,"12"
"رضیہ سلطانہ","عطیہ جانی",4,"20 21 23 75"
"رضیہ سلطانہ","فیروز شاہ",11,"12 21 22 23 30 32 34 35 37 38 77"
"رضیہ سلطانہ","چوہدری برکت علی",4,"22 30 32 35"
"رضیہ سلطانہ","کرامت علی",12,"12 22 23 30 32 34 35 37 38 61 64 77"
"سائیں","سلامت علی",4,"2 19 86 88"
"سائیں","عطیہ جانی",3,"7 86 87"
"سائیں","چوہدری برکت علی",1,"7"
"سائیں","کرامت علی",4,"1 2 19 86"
"سلامت علی","عطیہ جانی",3,"15 23 86"
"سلامت علی","فیروز شاہ",1,"23"
"سلامت علی","نسرین",2,"44 45"
"سلامت علی","چوہدری برکت علی",1,"25"
"سلامت علی","کرامت علی",10,"2 19 23 25 45 58 64 71 86 89"
"سلطان میر","فیروز شاہ",1,"12"
"سلطان میر","کرامت علی",1,"12"
"عطیہ جانی","فیروز شاہ",2,"21 23"
"عطیہ جانی","چوہدری برکت علی",2,"7 9"
"عطیہ جانی","کرامت علی",4,"4 9 23 86"
"علی محمد","کرامت علی",1,"43"
"فیروز شاہ","چوہدری برکت علی",7,"10 22 30 32 33 35 36"
"فیروز شاہ","کرامت علی",14,"10 12 22 23 30 32 33 34 35 36 37 38 77 78"
"مولوی احمد اللہ","کرامت علی",1,"62"
"نسرین","کرامت علی",1,"45"
"چوہدری برکت علی","کرامت علی",11,"9 10 22 24 25 30 32 33 35 36 53"
