Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"احمد شاہ","جاری",19,"6 8 12 18 19 22 23 24 25 26 57 69 77 78 83","10:2 10:6 10:15 21:15 21:16 21:17 21:18 21:23 23:23 25:23 25:24 25:26 26:26 62:53 64:74 81:74 81:75 81:76 81:86"
"احمد شاہ","رحمت علی",4,"25 26 27","21:29 23:29 25:29 26:29"
"احمد شاہ","رضیہ سلطانہ",17,"11 16 20 21 22 23 24 27 28 61 63 64 78 79 81","10:12 21:12 21:20 21:21 23:21 23:22 23:23 25:23 25:30 26:30 62:61 62:64 64:64 81:75 81:76 81:77 81:81"
"احمد شاہ","سائیں",6,"5 6 8 14 20 83","10:1 10:2 10:7 10:19 21:19 81:86"
"احمد شاہ","سلامت علی",14,"6 12 18 20 22 23 24 25 60 63 64 76 83","10:2 10:15 21:15 21:19 21:23 23:23 25:23 25:25 26:25 62:58 62:64 64:64 81:71 81:86"
"احمد شاہ","سلطان میر",2,"11 16","10:12 21:12"
"احمد شاہ","عطیہ جانی",15,"7 8 9 12 18 19 20 21 22 23 24 57 78 83","10:4 10:7 10:9 10:15 21:15 21:16 21:17 21:20 21:21 23:21 23:23 25:23 62:52 81:75 81:86"
"احمد شاہ","علی محمد",4,"62 63 64 80","62:63 64:63 64:65 81:79"
"احمد شاہ","فیروز شاہ",11,"10 16 21 22 23 24 27 28 79","10:10 21:12 21:21 23:21 23:22 23:23 25:23 25:30 26:30 81:77 81:78"
"احمد شاہ","مولوی احمد اللہ",2,"62 63","62:62 64:62"
"احمد شاہ","چوہدری برکت علی",12,"8 9 10 21 22 23 24 25 28 57","10:7 10:8 10:9 10:10 21:22 23:22 23:24 25:24 25:25 26:25 26:30 62:53"
"احمد شاہ","کرامت علی",29,"5 6 7 9 10 16 20 21 22 23 24 25 26 57 58 59 60 61 62 63 64 76 79 83","10:1 10:2 10:3 10:4 10:9 10:10 21:12 21:19 21:22 23:22 23:23 25:23 25:24 25:25 26:25 26:26 62:53 62:54 62:55 62:56 62:58 62:61 62:62 64:62 64:64 81:71 81:77 81:78 81:85"
"جاری","رحمت علی",7,"26 27 29 47 52","23:29 24:29 26:29 29:29 43:51 44:51 53:51"
"جاری","رضیہ سلطانہ",33,"7 9 13 17 18 19 21 22 23 27 28 29 38 39 40 57 69 74 75 76 81 83 84 90 91 92 98","2:12 6:12 15:12 15:20 16:20 17:20 18:20 23:20 23:21 23:22 23:23 24:23 24:30 26:30 29:30 43:34 43:35 43:37 43:38 53:61 74:64 74:75 75:75 76:75 76:76 86:76 86:77 86:81 86:83 86:94 88:94 91:94 102:94"
"جاری","سائیں",16,"1 2 4 6 11 17 18 21 81 86 87 88 89","2:1 2:2 6:2 6:7 15:7 15:19 16:19 17:19 18:19 23:19 76:86 86:86 88:86 88:87 88:88 91:88"
"جاری","سلامت علی",35,"2 4 10 15 17 18 21 23 24 25 42 43 44 48 49 50 51 55 69 72 81 86 87 88 89 90 96 101 102","2:2 6:2 6:15 15:15 16:15 16:19 17:19 18:19 23:19 23:23 24:23 24:25 26:25 43:41 43:42 43:44 44:44 53:44 53:45 53:47 53:48 53:49 53:50 53:58 74:64 74:71 76:86 86:86 88:86 88:88 91:88 91:89 91:101 102:101 102:103"
"جاری","سلطان میر",3,"7 9 13","2:12 6:12 15:12"
"جاری","عطیہ جانی",26,"3 5 6 11 12 15 16 17 19 21 22 23 47 48 52 74 75 81 86 87","2:4 6:4 6:7 15:7 15:9 15:15 16:15 16:16 17:16 17:17 18:17 18:20 23:20 23:21 23:23 24:23 43:52 44:52 53:52 74:75 75:75 76:75 76:86 86:86 88:86 88:87"
