Character,Gender,TitleOrClass,Role
شوکت محمود,Male,Sahib,Protagonist
جمال افروز انصاری,Female,Housewife/Lower-Middle Class,Protagonist
گڈو,Male,Child,Support
ریاض احمد زبیری,Male,Sahib,Support
سلیم,Male,Worker Class,Support
جمیلہ,Female,Household Helper,Support
کریم بھائی,Male,Shopkeeper/Trader,Support
انور,Male,Unknown,Minor
پروفیسر شریف,Male,Professor,Support
اشرف,Male,Unknown,Minor
نعیم,Male,Sahib,Support
ثروت,Female,Begum,Support
محمود,Male,Unknown,Minor
جاوید,Male,Unknown,Minor
بلقیس,Female,Housewife,Support
نوکر,Male,Naukar,Minor
نو عمر لڑکا,Male,Unknown,Minor
ویٹر,Male,Service Worker,Minor
ڈرائیور,Male,Service Worker,Minor
قصائی,Male,Butcher,Minor
ابا,Male,Household Elder,Minor
امی,Female,Household Elder,Minor
ماموں,Male,Relative,Minor
بچپن کی لڑکی,Female,Unknown,Minor
ریاض کے والد,Male,Household Elder,Minor
گداگر عورت,Female,Beggar,Minor
گداگر بچے,Unknown,Beggar,Minor
پان والا,Male,Vendor,Minor
خواجہ صاحب,Male,Sahib,Minor
کرنل صاحب,Male,Army Officer,Minor
سپورٹس مین,Male,Unknown,Minor
ثروت کی ماں,Female,Household Elder,Minor
