Character_A,Character_B,Weight,Pages
"بلقیس","ثروت",1,"88"
"ثروت","جاوید",3,"83 84 90"
"ثروت","محمود",2,"91 92"
"ثروت","نعیم",4,"69 85 90 93"
"جاوید","نعیم",1,"90"
"جمال افروز انصاری","ریاض احمد زبیری",19,"9 10 30 35 36 37 38 48 49 52 59 61 62 63 64 73 77 78 79"
"جمال افروز انصاری","شوکت محمود",6,"36 38 52 58 59 64"
"جمال افروز انصاری","گڈو",7,"9 48 49 52 63 73 77"
"جمیلہ","ریاض احمد زبیری",3,"26 29 55"
"جمیلہ","سلیم",5,"21 22 24 25 26"
"جمیلہ","شوکت محمود",8,"21 22 24 25 26 27 29 55"
"جمیلہ","محمود",2,"21 29"
"جمیلہ","پروفیسر شریف",1,"55"
"جمیلہ","کریم بھائی",5,"21 22 24 25 26"
"ریاض احمد زبیری","سلیم",1,"26"
"ریاض احمد زبیری","شوکت محمود",16,"7 17 26 29 31 36 38 51 52 54 55 59 60 64 71 76"
"ریاض احمد زبیری","محمود",1,"29"
"ریاض احمد زبیری","پروفیسر شریف",3,"51 54 55"
"ریاض احمد زبیری","کریم بھائی",1,"26"
"ریاض احمد زبیری","گڈو",11,"8 9 20 48 49 52 60 63 71 73 77"
"سلیم","شوکت محمود",6,"21 22 23 24 25 26"
"سلیم","محمود",1,"21"
"سلیم","کریم بھائی",6,"21 22 23 24 25 26"
"شوکت محمود","محمود",2,"21 29"
"شوکت محمود","پروفیسر شریف",3,"51 54 55"
"شوکت محمود","کریم بھائی",6,"21 22 23 24 25 26"
"شوکت محمود","گڈو",5,"18 19 52 60 71"
"محمود","کریم بھائی",1,"21"
