Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"بلقیس","ثروت",4,"85 86 88","88:83 88:84 88:85 88:88"
"بلقیس","جاوید",3,"85 86 89","88:83 88:84 88:90"
"بلقیس","محمود",1,"89","88:91"
"بلقیس","نعیم",2,"86 89","88:85 88:90"
"ثروت","جاوید",9,"83 84 87 89 90","83:83 84:83 84:84 85:84 85:90 88:90 89:90 90:90 91:90"
"ثروت","جمال افروز انصاری",4,"66 71 80 81","69:64 69:73 83:78 83:79"
"ثروت","ریاض احمد زبیری",4,"66 70 80 81","69:64 69:71 83:78 83:79"
"ثروت","شوکت محمود",2,"66 70","69:64 69:71"
"ثروت","محمود",8,"70 89 90 91 92","69:72 88:91 89:91 90:91 91:91 92:91 92:92 93:92"
"ثروت","نعیم",12,"69 84 85 86 89 90 92 93","69:69 83:85 84:85 85:85 88:85 88:90 89:90 90:90 91:90 91:93 92:93 93:93"
"ثروت","گڈو",1,"70","69:71"
"جاوید","جمال افروز انصاری",2,"80 81","83:78 83:79"
"جاوید","ریاض احمد زبیری",2,"80 81","83:78 83:79"
"جاوید","محمود",1,"90","90:91"
"جاوید","نعیم",4,"84 87 90","83:85 84:85 90:85 90:90"
"جمال افروز انصاری","جمیلہ",6,"27 28 29 53 56","30:25 30:26 30:27 30:29 52:55 57:55"
"جمال افروز انصاری","ریاض احمد زبیری",58,"6 8 9 10 11 14 28 29 30 32 33 34 35 36 37 38 39 48 49 50 51 52 54 55 56 58 59 60 61 62 63 64 72 73 74 76 77 78 79","5:7 9:7 9:8 9:9 10:9 10:10 12:10 12:17 30:26 30:29 30:30 34:30 34:31 34:32 34:33 34:35 35:35 36:35 36:36 37:36 37:37 38:37 38:38 39:38 39:40 48:48 49:48 49:49 52:49 52:51 52:52 57:52 57:53 57:54 57:55 57:59 58:59 59:59 61:59 61:60 61:61 62:61 62:62 63:62 63:63 64:63 64:64 73:71 73:73 74:73 74:75 77:75 77:76 77:77 78:77 78:78 79:78 79:79"
"جمال افروز انصاری","سلیم",2,"27 28","30:25 30:26"
