Character_A,Character_B,Weight,Pages
"ادھیڑ عمر گاہک (کینٹین)","استاد فٹر (فیکٹری)",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","انجینئر مجید",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","بشن (ماری)",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","علی (نعیم کا بیٹا)",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","چیف انجینئر (فیکٹری)",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","گنجا علی بخش",1,"334"
"ادھیڑ عمر گاہک (کینٹین)","گنجا فورمین",1,"334"
"ارشد گریکسن","خاتون (کالی عینک والی)",1,"330"
"ارشد گریکسن","روشن آغا",2,"215 330"
"ارشد گریکسن","ریاض",1,"330"
"ارشد گریکسن","شیریں",3,"191 193 194"
"ارشد گریکسن","طلعت",2,"191 213"
"ارشد گریکسن","عذرا",6,"191 193 194 213 299 330"
"ارشد گریکسن","غیث",2,"172 191"
"ارشد گریکسن","فرحت",1,"330"
"ارشد گریکسن","لیلی (رقاصہ)",1,"330"
"ارشد گریکسن","نعیم",3,"213 215 299"
"ارشد گریکسن","پرویز",4,"172 191 213 215"
"استاد فٹر (فیکٹری)","انجینئر مجید",1,"334"
"استاد فٹر (فیکٹری)","بشن (ماری)",1,"334"
"استاد فٹر (فیکٹری)","جنرل فورمین (سیمنٹ فیکٹری)",1,"400"
"استاد فٹر (فیکٹری)","سلیم سپروائزر",1,"400"
"استاد فٹر (فیکٹری)","علی (نعیم کا بیٹا)",7,"331 333 334 338 386 392 400"
"استاد فٹر (فیکٹری)","مل کا مالک",1,"400"
"استاد فٹر (فیکٹری)","نعیم اور عذرا کی بیٹی",1,"392"
"استاد فٹر (فیکٹری)","چیف انجینئر (فیکٹری)",2,"334 400"
"استاد فٹر (فیکٹری)","کمال",1,"400"
"استاد فٹر (فیکٹری)","گنجا علی بخش",2,"334 338"
"استاد فٹر (فیکٹری)","گنجا فورمین",5,"334 338 386 392 400"
"اقبال (گوریلا گروہ)","انگریز نرس (روشن محل)",1,"274"
"اقبال (گوریلا گروہ)","بشن (ماری)",2,"150 164"
"اقبال (گوریلا گروہ)","بنرجی",3,"143 144 145"
"اقبال (گوریلا گروہ)","بڑھا دکان والا",5,"144 145 163 164 178"
"اقبال (گوریلا گروہ)","حسین (روشن آغا کا ملازم)",1,"283"
"اقبال (گوریلا گروہ)","خاتون (کالی عینک والی)",1,"274"
"اقبال (گوریلا گروہ)","راجہ صاحب کرم آباد",1,"274"
"اقبال (گوریلا گروہ)","روشن آغا",1,"274"
"اقبال (گوریلا گروہ)","سرخ داڑھی والا گوریلا",1,"178"
"اقبال (گوریلا گروہ)","سلیم سپروائزر",1,"161"
"اقبال (گوریلا گروہ)","شیلا رانی",6,"143 144 146 164 171 175"
"اقبال (گوریلا گروہ)","علی (نعیم کا بیٹا)",1,"283"
"اقبال (گوریلا گروہ)","مادھوکر",3,"145 146 147"
"اقبال (گوریلا گروہ)","محمد علی جناح",1,"283"
"اقبال (گوریلا گروہ)","مدن رائے",9,"143 144 146 149 150 161 163 178 179"
"اقبال (گوریلا گروہ)","مولانا حسین احمد مدنی",1,"283"
"اقبال (گوریلا گروہ)","مولانا شبیر احمد عثمانی",1,"283"
"اقبال (گوریلا گروہ)","مولانا شوکت علی",1,"283"
"اقبال (گوریلا گروہ)","مولانا محمد علی",1,"283"
"اقبال (گوریلا گروہ)","نعیم",15,"143 144 145 146 147 150 152 161 163 164 171 175 178 179 283"
"اقبال (گوریلا گروہ)","پروفیسر اقبال سنگھ",1,"274"
"اقبال (گوریلا گروہ)","ڈاکٹر امبید کر",1,"274"
"اقبال (گوریلا گروہ)","ڈاکٹر محمد اقبال",1,"283"
"اقبال (گوریلا گروہ)","گورنر بنگال",2,"161 163"
"انجینئر مجید","بشن (ماری)",1,"334"
"انجینئر مجید","حسین (روشن آغا کا ملازم)",1,"492"
"انجینئر مجید","روشن آغا",1,"492"
"انجینئر مجید","عذرا",1,"492"
"انجینئر مجید","علی (نعیم کا بیٹا)",1,"334"
"انجینئر مجید","پرویز",1,"492"
"انجینئر مجید","چیف انجینئر (فیکٹری)",1,"334"
"انجینئر مجید","گنجا علی بخش",1,"334"
"انجینئر مجید","گنجا فورمین",1,"334"
"اندھا جیب کترا","بڑھا دکان والا",3,"210 259 311"
"اندھا جیب کترا","بڑی ماں (نعیم کی ماں)",1,"259"
"اندھا جیب کترا","بھارت سنگھ",1,"303"
"اندھا جیب کترا","بیگم پرویز",1,"265"
"اندھا جیب کترا","راول (گاؤں کا لڑکا)",1,"259"
"اندھا جیب کترا","روشن آغا",1,"265"
"اندھا جیب کترا","عائشہ (علی کی سہیلی → بعد میں بیوی)",1,"259"
"اندھا جیب کترا","عائشہ کی ماں (علی کی خالہ)",1,"259"
"اندھا جیب کترا","عذرا",2,"263 265"
"اندھا جیب کترا","علی (نعیم کا بیٹا)",1,"259"
"اندھا جیب کترا","لال (ٹائم کیپر)",2,"263 311"
"اندھا جیب کترا","مادھوکر",1,"148"
"اندھا جیب کترا","مدن رائے",1,"148"
"اندھا جیب کترا","مہندر (جیل اوورسیئر نمبر 19)",2,"263 265"
"اندھا جیب کترا","نعیم",11,"28 41 102 113 148 225 263 265 279 303 311"
"اندھا جیب کترا","وزیر خان",1,"303"
"اندھا جیب کترا","پرویز",1,"265"
"اندھا جیب کترا","کیپٹن وڈ",1,"302"
"اندھا جیب کترا","گدھے والا کمین",1,"41"
"انگریز نرس (روشن محل)","خاتون (کالی عینک والی)",1,"274"
"انگریز نرس (روشن محل)","راجہ صاحب کرم آباد",1,"274"
"انگریز نرس (روشن محل)","روشن آغا",2,"221 274"
"انگریز نرس (روشن محل)","پروفیسر اقبال سنگھ",1,"274"
"انگریز نرس (روشن محل)","ڈاکٹر امبید کر",1,"274"
"انگریز نرس (روشن محل)","ڈاکٹر انصاری",1,"221"
"انیس الرحمان","بخت (کوٹھی کا رکھوالا)",2,"401 451"
"انیس الرحمان","بلقیس",3,"405 408 419"
"انیس الرحمان","سر لارنس",1,"401"
"انیس الرحمان","سلیم سپروائزر",1,"407"
"انیس الرحمان","عذرا",2,"415 453"
"انیس الرحمان","علی (نعیم کا بیٹا)",2,"453 454"
"انیس الرحمان","فہمیدہ (نجمی/مجھی)",1,"453"
"انیس الرحمان","محمد علی جناح",1,"454"
"انیس الرحمان","نعیم",15,"401 402 403 405 407 408 409 410 415 419 431 451 453 454 455"
"انیس الرحمان","کانگریس سیکرٹری (نام نہیں دیا گیا)",4,"415 419 453 455"
"انیس الرحمان","گورنر بنگال",1,"453"
"بالمکند","بڑھا دکان والا",1,"154"
"بالمکند","شیلا رانی",1,"157"
"بالمکند","عذرا",1,"154"
"بالمکند","نعیم",3,"154 156 157"
"بالمکند","کانگریس سیکرٹری (نام نہیں دیا گیا)",2,"154 156"
"بالمکند","ہری چند",1,"154"
"بانو","بشن (ماری)",1,"390"
"بانو","شیلا رانی",2,"390 488"
"بانو","عائشہ (علی کی سہیلی → بعد میں بیوی)",1,"390"
"بانو","علی (نعیم کا بیٹا)",6,"390 468 469 487 488 489"
"بانو","لال (ٹائم کیپر)",1,"488"
"بانو","نور دین",4,"468 469 487 489"
"بانو","کمال",3,"468 487 488"
"بانو","یونین پریزیڈنٹ",1,"390"
"بخت (کوٹھی کا رکھوالا)","سر لارنس",1,"401"
"بخت (کوٹھی کا رکھوالا)","عذرا",2,"240 395"
"بخت (کوٹھی کا رکھوالا)","علی (نعیم کا بیٹا)",1,"190"
"بخت (کوٹھی کا رکھوالا)","نعیم",5,"84 240 395 401 451"
"بخت (کوٹھی کا رکھوالا)","پرنس آف ویلز",1,"240"
"بخت (کوٹھی کا رکھوالا)","پرویز",1,"395"
"بخت (کوٹھی کا رکھوالا)","گورنر بنگال",1,"240"
"بریگیڈیئر جنرل ڈائر","عذرا",1,"239"
"بریگیڈیئر جنرل ڈائر","نعیم",1,"239"
"بشن (ماری)","بڑھا دکان والا",1,"164"
"بشن (ماری)","حسین (روشن آغا کا ملازم)",1,"385"
"بشن (ماری)","روشن آغا",1,"132"
"بشن (ماری)","روشن پور کے بلوائی",1,"380"
"بشن (ماری)","سلیم سپروائزر",1,"380"
"بشن (ماری)","سپاہی گروہ (بازار چھاپہ)",1,"65"
"بشن (ماری)","شیلا رانی",2,"164 390"
"بشن (ماری)","عائشہ (علی کی سہیلی → بعد میں بیوی)",1,"390"
"بشن (ماری)","علی (نعیم کا بیٹا)",4,"65 334 385 390"
"بشن (ماری)","مدن رائے",1,"150"
"بشن (ماری)","منشی (لگان والا)",1,"132"
"بشن (ماری)","مہندر (جیل اوورسیئر نمبر 19)",1,"52"
"بشن (ماری)","نعیم",8,"23 52 65 72 129 132 150 164"
