Character_A,Character_B,Weight,Pages
"آدمی (دیوا کی کہانی)","امیر خاتون (دیوا کی کہانی)",1,"90"
"آدمی (دیوا کی کہانی)","دکاندار (دیوا کی کہانی)",1,"90"
"آدمی (دیوا کی کہانی)","راوی (میں)",3,"32 64 90"
"آدمی (دیوا کی کہانی)","نوکرانی (دیوا کی کہانی)",1,"90"
"ابو بکر","ابو طالب",1,"99"
"ابو بکر","ابوجہل",1,"99"
"ابو بکر","بادشاہ (کہانی)",1,"1"
"ابو بکر","حضرت علیؓ",1,"99"
"ابو بکر","راوی (میں)",3,"1 56 99"
"ابو بکر","صحابی",2,"1 56"
"ابو بکر","عبداللہ ابن جدعان",1,"99"
"ابو بکر","عبدالمطلب",1,"99"
"ابو بکر","محمد ﷺ",3,"1 56 99"
"ابو طالب","ابوجہل",1,"99"
"ابو طالب","حضرت علیؓ",1,"99"
"ابو طالب","راوی (میں)",1,"99"
"ابو طالب","عبداللہ ابن جدعان",1,"99"
"ابو طالب","عبدالمطلب",1,"99"
"ابو طالب","محمد ﷺ",1,"99"
"ابوجہل","حضرت علیؓ",1,"99"
"ابوجہل","راوی (میں)",1,"99"
"ابوجہل","عبداللہ ابن جدعان",1,"99"
"ابوجہل","عبدالمطلب",1,"99"
"ابوجہل","محمد ﷺ",1,"99"
"امیر خاتون (دیوا کی کہانی)","دکاندار (دیوا کی کہانی)",1,"90"
"امیر خاتون (دیوا کی کہانی)","راوی (میں)",1,"90"
"امیر خاتون (دیوا کی کہانی)","نوکرانی (دیوا کی کہانی)",1,"90"
"اکرام علی خاں","دیوان (اکرام علی خاں کی کہانی)",1,"92"
"اکرام علی خاں","راوی (میں)",1,"92"
"اکرام علی خاں","سید صاحب",1,"92"
"اکرام علی خاں","قاضی صاحب",1,"92"
"اکرام علی خاں","نواب (سید صاحب کی کہانی)",1,"92"
"اکرام علی خاں","والی",1,"92"
"بادشاہ (کہانی)","حکیم (بادشاہ کی کہانی)",1,"58"
"بادشاہ (کہانی)","راوی (میں)",2,"1 58"
"بادشاہ (کہانی)","شاہی طبیب",1,"58"
"بادشاہ (کہانی)","صحابی",1,"1"
"بادشاہ (کہانی)","محمد ﷺ",1,"1"
"بادشاہ (کہانی)","ملکہ",1,"58"
"بادشاہ (کہانی)","نوجوان (بادشاہ کی کہانی)",1,"58"
"بزرگ","راوی (میں)",1,"3"
"جوہر","راوی (میں)",4,"24 46 84 93"
"جوہر","شیخ (استاد جوہر)",1,"46"
"جوہر","محمد علی جوہر",1,"84"
