Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"آدمی (دیوا کی کہانی)","ابو بکر",2,"60 94","64:56 90:99"
"آدمی (دیوا کی کہانی)","ابو طالب",1,"94","90:99"
"آدمی (دیوا کی کہانی)","ابوجہل",1,"94","90:99"
"آدمی (دیوا کی کہانی)","امیر خاتون (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","اکرام علی خاں",1,"91","90:92"
"آدمی (دیوا کی کہانی)","بادشاہ (کہانی)",1,"61","64:58"
"آدمی (دیوا کی کہانی)","جوہر",3,"28 87 91","32:24 90:84 90:93"
"آدمی (دیوا کی کہانی)","حالی",1,"33","32:35"
"آدمی (دیوا کی کہانی)","حامد الدین فراہی",1,"28","32:25"
"آدمی (دیوا کی کہانی)","حضرت خلیفة المسیح الخامس",1,"31","32:31"
"آدمی (دیوا کی کہانی)","حضرت سلمان فارسی",1,"93","90:96"
"آدمی (دیوا کی کہانی)","حضرت علیؓ",2,"35 94","32:38 90:99"
"آدمی (دیوا کی کہانی)","حضرت مسیح موعود علیہ السلام",1,"31","32:31"
"آدمی (دیوا کی کہانی)","حکیم (بادشاہ کی کہانی)",2,"28 61","32:25 64:58"
"آدمی (دیوا کی کہانی)","حکیم صاحب",1,"28","32:25"
"آدمی (دیوا کی کہانی)","خواجہ نظام",1,"66","64:68"
"آدمی (دیوا کی کہانی)","دکاندار (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","دیوان (اکرام علی خاں کی کہانی)",1,"91","90:92"
"آدمی (دیوا کی کہانی)","راوی (میں)",32,"27 28 29 30 31 32 59 60 61 62 63 64 85 86 87 88 89 90","32:22 32:23 32:24 32:25 32:26 32:27 32:28 32:29 32:30 32:31 32:32 64:54 64:55 64:56 64:57 64:58 64:59 64:60 64:61 64:62 64:63 64:64 90:80 90:81 90:82 90:83 90:84 90:85 90:86 90:87 90:89 90:90"
"آدمی (دیوا کی کہانی)","سلطان علاؤ الدین",1,"66","64:68"
"آدمی (دیوا کی کہانی)","سید احمد گیلانی",1,"27","32:22"
"آدمی (دیوا کی کہانی)","سید صاحب",2,"36 91","32:40 90:92"
"آدمی (دیوا کی کہانی)","سید محمد طاہر شاہد",1,"31","32:31"
"آدمی (دیوا کی کہانی)","شاہی طبیب",2,"61 63","64:58 64:63"
"آدمی (دیوا کی کہانی)","شیخ (استاد جوہر)",1,"61","64:59"
"آدمی (دیوا کی کہانی)","شیخ بدیع الدین سرہندی",1,"61","64:59"
"آدمی (دیوا کی کہانی)","صحابی",1,"60","64:56"
"آدمی (دیوا کی کہانی)","عبداللہ ابن جدعان",1,"94","90:99"
"آدمی (دیوا کی کہانی)","عبدالمطلب",1,"94","90:99"
"آدمی (دیوا کی کہانی)","غلام محمد بلور",1,"67","64:71"
"آدمی (دیوا کی کہانی)","فتح الدین",1,"85","90:81"
"آدمی (دیوا کی کہانی)","قاضی صاحب",1,"91","90:92"
"آدمی (دیوا کی کہانی)","مجدد الزمان",1,"61","64:59"
"آدمی (دیوا کی کہانی)","محسن",1,"32","32:33"
"آدمی (دیوا کی کہانی)","محمد علی جوہر",1,"87","90:84"
"آدمی (دیوا کی کہانی)","محمد ﷺ",7,"31 36 60 65 87 89 92","32:31 32:40 64:56 64:66 90:84 90:89 90:95"
"آدمی (دیوا کی کہانی)","مصباحی",1,"28","32:25"
"آدمی (دیوا کی کہانی)","ملا محمود جا",1,"66","64:68"
"آدمی (دیوا کی کہانی)","ملکہ",1,"61","64:58"
"آدمی (دیوا کی کہانی)","مولانا آزاد",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا حسرت موہانی",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا روم",1,"85","90:80"
"آدمی (دیوا کی کہانی)","مولانا شبلی نعمانی",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا ظفر علی خاں",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولانا عبد الحکیم سیالکوٹی",1,"61","64:59"
"آدمی (دیوا کی کہانی)","مولانا عبدالقادر",1,"36","32:40"
"آدمی (دیوا کی کہانی)","مولانا غلام یحیی",1,"36","32:40"
"آدمی (دیوا کی کہانی)","مولانا قاضی محمود",1,"36","32:40"
"آدمی (دیوا کی کہانی)","مولانا محمد اسماعیل شہید",1,"36","32:40"
"آدمی (دیوا کی کہانی)","مولانا مظہر علی",1,"36","32:40"
"آدمی (دیوا کی کہانی)","مولوی اسمعیل",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولوی ثناء اللہ",1,"34","32:37"
"آدمی (دیوا کی کہانی)","مولوی روح اللہ صاحب",1,"63","64:62"
"آدمی (دیوا کی کہانی)","مولوی عزیز مرزا",1,"34","32:37"
"آدمی (دیوا کی کہانی)","نواب (سید صاحب کی کہانی)",1,"91","90:92"
"آدمی (دیوا کی کہانی)","نوجوان (بادشاہ کی کہانی)",1,"61","64:58"
"آدمی (دیوا کی کہانی)","نوکرانی (دیوا کی کہانی)",1,"90","90:90"
"آدمی (دیوا کی کہانی)","نپولین اعظم",1,"27","32:23"
"آدمی (دیوا کی کہانی)","والی",3,"33 66 91","32:34 64:68 90:92"
"ابو بکر","ابو طالب",1,"99","99:99"
"ابو بکر","ابوجہل",1,"99","99:99"
"ابو بکر","امیر خاتون (دیوا کی کہانی)",1,"94","99:90"
"ابو بکر","اکرام علی خاں",1,"95","99:92"
"ابو بکر","بادشاہ (کہانی)",2,"1 57","1:1 56:58"
"ابو بکر","بزرگ",1,"2","1:3"
"ابو بکر","جوہر",2,"51 96","56:46 99:93"
"ابو بکر","حضرت سلمان فارسی",1,"97","99:96"
"ابو بکر","حضرت علیؓ",2,"51 99","56:47 99:99"
"ابو بکر","حکیم (بادشاہ کی کہانی)",1,"57","56:58"
"ابو بکر","دکاندار (دیوا کی کہانی)",1,"94","99:90"
"ابو بکر","دیوان (اکرام علی خاں کی کہانی)",1,"95","99:92"
"ابو بکر","راوی (میں)",23,"1 51 52 53 54 55 56 94 95 96 97 98 99","1:1 56:46 56:47 56:48 56:49 56:50 56:51 56:52 56:53 56:54 56:55 56:56 99:89 99:90 99:91 99:92 99:93 99:94 99:95 99:96 99:97 99:98 99:99"
"ابو بکر","سید حسن علی بلگرامی",1,"53","56:50"
"ابو بکر","سید صاحب",1,"95","99:92"
"ابو بکر","شاہی طبیب",1,"57","56:58"
"ابو بکر","شیخ (استاد جوہر)",2,"51 57","56:46 56:59"
"ابو بکر","شیخ بدیع الدین سرہندی",1,"57","56:59"
"ابو بکر","صحابی",2,"1 56","1:1 56:56"
"ابو بکر","عبداللہ ابن جدعان",1,"99","99:99"
"ابو بکر","عبدالمطلب",1,"99","99:99"
"ابو بکر","قاضی صاحب",1,"95","99:92"
"ابو بکر","مجدد الزمان",1,"57","56:59"
"ابو بکر","محمد ﷺ",7,"1 51 56 94 97 99","1:1 56:47 56:56 99:89 99:95 99:96 99:99"
"ابو بکر","ملا جی",1,"53","56:51"
"ابو بکر","ملکہ",1,"57","56:58"
"ابو بکر","مولانا عبد الحکیم سیالکوٹی",1,"57","56:59"
"ابو بکر","مولوی روح اللہ صاحب",1,"59","56:62"
"ابو بکر","نواب (سید صاحب کی کہانی)",1,"95","99:92"
"ابو بکر","نوجوان (بادشاہ کی کہانی)",3,"51 54 57","56:46 56:52 56:58"
"ابو بکر","نوکرانی (دیوا کی کہانی)",1,"94","99:90"
"ابو بکر","والی",3,"3 54 95","1:5 56:53 99:92"
"ابو طالب","ابوجہل",1,"99","99:99"
"ابو طالب","امیر خاتون (دیوا کی کہانی)",1,"94","99:90"
"ابو طالب","اکرام علی خاں",1,"95","99:92"
"ابو طالب","جوہر",1,"96","99:93"
"ابو طالب","حضرت سلمان فارسی",1,"97","99:96"
"ابو طالب","حضرت علیؓ",1,"99","99:99"
"ابو طالب","دکاندار (دیوا کی کہانی)",1,"94","99:90"
"ابو طالب","دیوان (اکرام علی خاں کی کہانی)",1,"95","99:92"
"ابو طالب","راوی (میں)",11,"94 95 96 97 98 99","99:89 99:90 99:91 99:92 99:93 99:94 99:95 99:96 99:97 99:98 99:99"
"ابو طالب","سید صاحب",1,"95","99:92"
"ابو طالب","عبداللہ ابن جدعان",1,"99","99:99"
"ابو طالب","عبدالمطلب",1,"99","99:99"
"ابو طالب","قاضی صاحب",1,"95","99:92"
"ابو طالب","محمد ﷺ",4,"94 97 99","99:89 99:95 99:96 99:99"
"ابو طالب","نواب (سید صاحب کی کہانی)",1,"95","99:92"
"ابو طالب","نوکرانی (دیوا کی کہانی)",1,"94","99:90"
"ابو طالب","والی",1,"95","99:92"
"ابوجہل","امیر خاتون (دیوا کی کہانی)",1,"94","99:90"
"ابوجہل","اکرام علی خاں",1,"95","99:92"
"ابوجہل","جوہر",1,"96","99:93"
"ابوجہل","حضرت سلمان فارسی",1,"97","99:96"
"ابوجہل","حضرت علیؓ",1,"99","99:99"
"ابوجہل","دکاندار (دیوا کی کہانی)",1,"94","99:90"
"ابوجہل","دیوان (اکرام علی خاں کی کہانی)",1,"95","99:92"
"ابوجہل","راوی (میں)",11,"94 95 96 97 98 99","99:89 99:90 99:91 99:92 99:93 99:94 99:95 99:96 99:97 99:98 99:99"
"ابوجہل","سید صاحب",1,"95","99:92"
"ابوجہل","عبداللہ ابن جدعان",1,"99","99:99"
"ابوجہل","عبدالمطلب",1,"99","99:99"
"ابوجہل","قاضی صاحب",1,"95","99:92"
"ابوجہل","محمد ﷺ",4,"94 97 99","99:89 99:95 99:96 99:99"
"ابوجہل","نواب (سید صاحب کی کہانی)",1,"95","99:92"
"ابوجہل","نوکرانی (دیوا کی کہانی)",1,"94","99:90"
"ابوجہل","والی",1,"95","99:92"
"امیر خاتون (دیوا کی کہانی)","اکرام علی خاں",1,"91","90:92"
"امیر خاتون (دیوا کی کہانی)","جوہر",2,"87 91","90:84 90:93"
"امیر خاتون (دیوا کی کہانی)","حضرت سلمان فارسی",1,"93","90:96"
"امیر خاتون (دیوا کی کہانی)","حضرت علیؓ",1,"94","90:99"
"امیر خاتون (دیوا کی کہانی)","دکاندار (دیوا کی کہانی)",1,"90","90:90"
"امیر خاتون (دیوا کی کہانی)","دیوان (اکرام علی خاں کی کہانی)",1,"91","90:92"
"امیر خاتون (دیوا کی کہانی)","راوی (میں)",10,"85 86 87 88 89 90","90:80 90:81 90:82 90:83 90:84 90:85 90:86 90:87 90:89 90:90"
"امیر خاتون (دیوا کی کہانی)","سید صاحب",1,"91","90:92"
"امیر خاتون (دیوا کی کہانی)","عبداللہ ابن جدعان",1,"94","90:99"
"امیر خاتون (دیوا کی کہانی)","عبدالمطلب",1,"94","90:99"
"امیر خاتون (دیوا کی کہانی)","فتح الدین",1,"85","90:81"
"امیر خاتون (دیوا کی کہانی)","قاضی صاحب",1,"91","90:92"
