Character,Gender,TitleOrClass,Role
راوی,Male,Narrator,Narrator
غلام علی,Male,Friend / Overseas Worker,Support
حضرت صاحب,Male,Peer / Sufi Saint,Support
صاحب زادہ نصیر الدین شاہ,Male,Sahibzada,Support
سید کرم شاہ,Male,Syed Landowner / Horse Owner,Support
گاموں مراثی,Male,Mirasi (Village Bard),Support
کرملی,Male,Stable Hand / Servant,Support
کرنل صاحب,Male,British Colonel / Sahib,Support
صوبیدار,Male,Army Subedar,Minor
سٹین فورڈ (گھوڑا),Male,Animal (Horse),Support
بچھیری (گھوڑی),Female,Animal (Mare),Support
ٹو (نر گھوڑا),Male,Animal (Stallion),Minor
یاسین پیواری,Male,Peasant / Villager,Minor
ٹھمکی,Female,Performer / Acrobat,Protagonist
موجو,Male,Showman / Bear Trainer,Support
کالا بدل (ریچھ),Male,Animal (Bear),Support
منڈا (حضرت صاحب کا خادم),Male,Servant / Disciple,Minor
مستری نبی بخش,Male,Mason / Artisan,Minor
اسلامت علی,Male,Servant,Minor
چوہدری جلال,Male,Chaudhry / Landowner,Antagonist
گاما,Male,Peasant / Father of سلامتے,Support
سلامتے,Female,Village Girl,Protagonist
صفیہ,Female,Educated Village Girl,Protagonist
صفیہ کی ماں,Female,Household Elder,Support
صفیہ کا ابا,Male,Peasant Farmer,Support
نوراں,Female,Friend (Village Girl),Support
ابراہیم,Male,Peasant Youth / Brother,Support
رشیدہ,Female,Friend (City Girl),Support
بابا سلیمان,Male,Old Coachman,Minor
مولو تیلی,Male,Oilman (TiIi),Protagonist
نبو میراثی,Male,Mirasi (Village Musician),Support
بدل (مولو کا بیل),Male,Animal (Bullock),Support
سردار,Male,Wealthy Landowner,Support
سردار کی بیوی (شہری),Female,Urban Wife,Support
سکیراں,Female,Headstrong Village Girl,Protagonist
دھاموں,Female,Friend of سکیراں,Support
منہا یبل,Male,Wrestler / Village Youth,Support
باگو خوشیا,Male,Wrestler / Village Youth,Support
ملّا گھیچری,Male,Refugee Villager,Support
شادو,Female,Village Girl,Minor
مندی,Male,Singer / Storyteller,Support
چاچا حنفیا,Male,Farmer / Milk Seller,Support
گاگو,Unknown,Villager,Minor
گازی,Unknown,Wrestler / Strongman,Minor
پھلا,Unknown,Villager,Minor
بمبو,Unknown,Villager,Minor
بلونگڑا,Unknown,Wrestler / Strongman,Minor
سفید پوش,Male,Respectable Notable,Minor
جاگیردار,Male,Feudal Landlord,Antagonist
سجن ہالی,Male,Sharecropper,Minor
سیدوارے شاہ,Male,Syed / Small Saint,Minor
ضابطے خاں,Male,Ex-Soldier / Village Tough,Support
کپتان صاحب,Male,Army Captain,Minor
متاب ٹیڑی,Male,Refugee Peasant,Support
ملک سمندر خاں,Male,Big Landlord (Malik),Antagonist
متاب کی بیوی,Female,Refugee Woman,Support
شدین,Male,Refugee Villager,Minor
گھینا,Male,Refugee Villager,Minor
چدی,Unknown,Refugee Villager,Minor
ادو,Unknown,Refugee Villager,Minor
شاداں,Female,Refugee Woman,Minor
گومی,Female,Refugee Woman,Minor
بنی,Unknown,Refugee Child / Villager,Minor
نائین,Female,Barber’s Wife / Birth Attendant,Minor
بھینڈی مراثی,Male,Mirasi,Minor
رحمے کسائی,Male,Butcher,Minor
کالو جھڑوس,Male,Village Loafer,Minor
تائی,Female,Senior Aunt,Support
عبدو (موچی کا لڑکا),Male,Cobbler’s Son,Support
عبدو کا باپ,Male,Cobbler,Minor
عبدو کا چاچا,Male,Cobbler’s Brother,Minor
نمبردار,Male,Headman / Numberdar,Minor
محمد دین درزی,Male,Tailor,Minor
بھاتاں,Unknown,Wedding Specialist / Cook,Minor
لالو,Male,Village Boy,Support
سکندر,Male,Village Boy,Support
پھتی,Female,Village Girl,Support
ٹھیکیدار,Male,Contractor,Minor
کماں,Female,Village Woman,Support
ملا اسماعیل,Male,Cleric / Imam,Support
دارے لوہار,Male,Blacksmith,Support
بیبو,Female,Dara’s Wife,Support
ملک (دارا کی کہانی),Male,Local Landlord,Support
ابدو (چک لہندا کا سردار),Male,Village Chief,Support
سیکھئے عملی,Male,Preacher / Religious Reformer,Minor
حیدر مراثی,Male,Mirasi,Minor
کئی رانی (گھوڑی),Female,Animal (Mare),Support
ڈبو (کتا),Unknown,Animal (Dog),Minor
میر صاحب,Male,Landowner / Notable,Minor
چوہدری تغیرے,Male,Chaudhry / Landowner,Support
حیدری,Male,Mystic / Devotee,Support
نوری کاٹو,Female,Butcher Woman,Support
شوقاں (گھوڑی),Female,Animal (Mare),Support
گلو (مراثی کا منڈا),Male,Mirasi Boy,Support
خان شمیر,Male,Pathan Landowner,Minor
صاحباں (خان شمیر کی بہن),Female,Landowner’s Sister,Minor
پھمن,Female,Village Girl / First-Person Voice,Protagonist
نور و ماچھی,Male,Fisherman / Father of پھمن,Support
عمری بھرین,Female,Mother of پھمن,Support
پھمن کی نانی,Female,Grandmother,Support
نور بخشا,Male,Boatman / Fisherman,Minor
وڈی چوہدرانی,Female,Big Chaudhrani,Antagonist
چوہدری کی وڈی کڑی,Female,Chaudhry’s Elder Daughter,Support
ماسٹر حشمت علی,Male,Schoolteacher,Support
کر پو,Unknown,Refugee Servant / Helper,Minor
واہگورو بابا,Male,Sikh Deity / Invocation,Minor
موہلاں انھی,Female,Blind Old Woman,Minor
سردار گور دیال سنگھ,Male,Sikh Sardar / Landlord,Antagonist
سردار گور دیال سنگھ کی کنجری صندلاں,Female,Tawaif / Kept Woman,Support
