Character_A,Character_B,Weight,Pages
"ابدو (چک لہندا کا سردار)","بیبو",2,"65 66"
"ابدو (چک لہندا کا سردار)","دارو",1,"66"
"ابدو (چک لہندا کا سردار)","دارے لوہار",3,"65 66 68"
"ابدو (چک لہندا کا سردار)","دھاموں",2,"66 68"
"ابدو (چک لہندا کا سردار)","راوی",3,"65 66 68"
"ابدو (چک لہندا کا سردار)","سردار",1,"65"
"ابدو (چک لہندا کا سردار)","ملک (دارا کی کہانی)",3,"65 66 68"
"ادو","جاگیردار",1,"60"
"ادو","راوی",1,"60"
"ادو","شدین",1,"60"
"ادو","چدی",1,"60"
"ادو","گھینا",1,"60"
"باگو خوشیا","دھاموں",1,"28"
"باگو خوشیا","راوی",3,"28 29 51"
"باگو خوشیا","سکیراں",3,"28 29 51"
"باگو خوشیا","ملا اسماعیل",1,"29"
"باگو خوشیا","ملّا گھیچری",2,"29 51"
"باگو خوشیا","مندی",2,"29 51"
"باگو خوشیا","منہا یبل",1,"29"
"باگو خوشیا","چاچا حنفیا",1,"28"
"بلونگڑا","بمبو",2,"41 59"
"بلونگڑا","بچھیری (گھوڑی)",2,"41 59"
"بلونگڑا","راوی",2,"41 59"
"بلونگڑا","پھلا",2,"41 59"
"بلونگڑا","گاگو",2,"41 59"
"بمبو","بنی",2,"58 91"
"بمبو","بچھیری (گھوڑی)",5,"41 56 58 59 91"
"بمبو","جاگیردار",1,"58"
"بمبو","حضرت صاحب",1,"56"
"بمبو","راوی",5,"41 56 58 59 91"
"بمبو","سفید پوش",1,"56"
"بمبو","شوقاں (گھوڑی)",1,"91"
"بمبو","پھلا",4,"41 56 58 59"
"بمبو","کالا بدل (ریچھ)",1,"58"
"بمبو","گازی",2,"56 58"
"بمبو","گاگو",4,"41 56 58 59"
"بنی","بچھیری (گھوڑی)",2,"58 91"
"بنی","جاگیردار",2,"49 58"
"بنی","راوی",6,"48 49 58 73 91 99"
"بنی","رسولاں",1,"99"
"بنی","سردار",1,"73"
"بنی","سلیمان (کسان)",2,"92 99"
"بنی","شدین",2,"49 73"
"بنی","شوقاں (گھوڑی)",1,"91"
"بنی","ضابطے خاں",1,"48"
"بنی","متاب ٹیڑی",1,"48"
