Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"ابدو (چک لہندا کا سردار)","ادو",1,"62","65:60"
"ابدو (چک لہندا کا سردار)","بنی",1,"70","68:73"
"ابدو (چک لہندا کا سردار)","بچھیری (گھوڑی)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","بیبو",6,"64 65 66 67","65:63 65:65 66:65 66:66 68:66 68:67"
"ابدو (چک لہندا کا سردار)","تائی",2,"63","65:61 65:62"
"ابدو (چک لہندا کا سردار)","جاگیردار",1,"62","65:60"
"ابدو (چک لہندا کا سردار)","حیدری",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","دارو",3,"65 66 67","65:66 66:66 68:66"
"ابدو (چک لہندا کا سردار)","دارے لوہار",7,"64 65 66 67 68","65:63 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","دھاموں",5,"65 66 67 68","65:66 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","راوی",10,"62 63 64 65 66 67 68","65:60 65:61 65:62 65:63 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","سردار",4,"65 68 69","65:65 66:65 66:71 68:71"
"ابدو (چک لہندا کا سردار)","سلامتے",1,"70","68:72"
"ابدو (چک لہندا کا سردار)","سلیمان (کسان)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","شدین",3,"62 68 69","65:60 66:71 68:71"
"ابدو (چک لہندا کا سردار)","شوقاں (گھوڑی)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","ملا اسماعیل",1,"63","65:61"
"ابدو (چک لہندا کا سردار)","ملک (دارا کی کہانی)",8,"64 65 66 67 68","65:63 65:64 65:65 66:65 66:66 68:66 68:67 68:68"
"ابدو (چک لہندا کا سردار)","نوری کاٹو",1,"70","68:72"
"ابدو (چک لہندا کا سردار)","چدی",3,"62 68 69","65:60 66:71 68:71"
"ابدو (چک لہندا کا سردار)","چوہدری تغیرے",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","کئی رانی (گھوڑی)",3,"66 67","65:67 66:67 68:67"
"ابدو (چک لہندا کا سردار)","کماں",1,"63","65:61"
"ابدو (چک لہندا کا سردار)","گلو (مراثی کا منڈا)",3,"67 68 69","65:70 66:70 68:70"
"ابدو (چک لہندا کا سردار)","گھینا",3,"62 68 69","65:60 66:71 68:71"
"ادو","بلونگڑا",1,"59","60:59"
"ادو","بمبو",3,"58 59","60:56 60:58 60:59"
"ادو","بنی",1,"59","60:58"
"ادو","بچھیری (گھوڑی)",5,"57 58 59","60:55 60:56 60:57 60:58 60:59"
"ادو","بیبو",1,"61","60:63"
"ادو","تائی",1,"60","60:61"
"ادو","جاگیردار",4,"57 58 59 60","60:55 60:57 60:58 60:60"
"ادو","حضرت صاحب",2,"58","60:56 60:57"
"ادو","دارے لوہار",1,"61","60:63"
"ادو","راوی",6,"57 58 59 60","60:55 60:56 60:57 60:58 60:59 60:60"
"ادو","سردار",1,"62","60:65"
"ادو","سفید پوش",2,"58","60:56 60:57"
"ادو","شدین",1,"60","60:60"
"ادو","ملا اسماعیل",1,"60","60:61"
"ادو","ملک (دارا کی کہانی)",1,"61","60:63"
"ادو","ٹو (نر گھوڑا)",1,"58","60:57"
"ادو","پھلا",3,"58 59","60:56 60:58 60:59"
"ادو","چدی",1,"60","60:60"
"ادو","کالا بدل (ریچھ)",1,"59","60:58"
"ادو","کماں",1,"60","60:61"
"ادو","گازی",2,"58 59","60:56 60:58"
"ادو","گاگو",4,"58 59","60:56 60:57 60:58 60:59"
"ادو","گھینا",1,"60","60:60"
"باگو خوشیا","بمبو",1,"53","51:56"
"باگو خوشیا","بنی",2,"49 50","51:48 51:49"
"باگو خوشیا","بچھیری (گھوڑی)",1,"52","51:54"
"باگو خوشیا","جاگیردار",2,"50 51","51:49 51:52"
"باگو خوشیا","حضرت صاحب",3,"29 30 53","28:31 29:31 51:56"
"باگو خوشیا","دھاموں",3,"28 29","28:28 29:28 29:30"
"باگو خوشیا","راوی",14,"25 26 27 28 29 48 49 50 51","28:23 28:24 28:25 28:26 28:27 28:28 29:28 29:29 51:46 51:47 51:48 51:49 51:50 51:51"
"باگو خوشیا","سردار",3,"26 27","28:24 28:26 28:27"
"باگو خوشیا","سفید پوش",1,"52","51:54"
"باگو خوشیا","سلامتے",2,"29 30","28:31 29:31"
"باگو خوشیا","سکیراں",4,"28 29 51","28:28 29:28 29:29 51:51"
"باگو خوشیا","شاداں",1,"51","51:52"
"باگو خوشیا","شدین",3,"50 51","51:49 51:50 51:52"
"باگو خوشیا","ضابطے خاں",3,"48 49","51:46 51:47 51:48"
"باگو خوشیا","متاب ٹیڑی",3,"48 49","51:46 51:47 51:48"
"باگو خوشیا","متاب کی بیوی",1,"49","51:48"
"باگو خوشیا","ملا اسماعیل",2,"28 29","28:29 29:29"
"باگو خوشیا","ملّا گھیچری",3,"28 29 51","28:29 29:29 51:51"
"باگو خوشیا","مندی",3,"28 29 51","28:29 29:29 51:51"
"باگو خوشیا","منہا یبل",2,"28 29","28:29 29:29"
"باگو خوشیا","مولو تیلی",4,"26 27","28:24 28:25 28:26 28:27"
"باگو خوشیا","نبو میراثی",4,"26 27","28:24 28:25 28:26 28:27"
"باگو خوشیا","ٹو (نر گھوڑا)",2,"29","28:30 29:30"
"باگو خوشیا","پھلا",1,"52","51:54"
"باگو خوشیا","چاچا حنفیا",4,"28 29 52","28:28 29:28 29:30 51:53"
"باگو خوشیا","چوہدری جلال",2,"29 30","28:31 29:31"
"باگو خوشیا","گازی",1,"53","51:56"
"باگو خوشیا","گاموں مراثی",2,"29 30","28:31 29:31"
"باگو خوشیا","گاگو",1,"52","51:54"
"باگو خوشیا","گلو (مراثی کا منڈا)",1,"31","29:34"
"باگو خوشیا","گومی",1,"51","51:52"
"بلونگڑا","بمبو",4,"41 57 58 59","41:41 59:56 59:58 59:59"
"بلونگڑا","بنی",1,"58","59:58"
"بلونگڑا","بچھیری (گھوڑی)",7,"41 56 57 58 59","41:41 59:54 59:55 59:56 59:57 59:58 59:59"
"بلونگڑا","بیبو",1,"61","59:63"
"بلونگڑا","تائی",1,"60","59:61"
"بلونگڑا","جاگیردار",5,"56 57 58 59","59:54 59:55 59:57 59:58 59:60"
"بلونگڑا","حضرت صاحب",2,"57 58","59:56 59:57"
"بلونگڑا","دارے لوہار",1,"61","59:63"
"بلونگڑا","راوی",12,"38 39 40 41 56 57 58 59","41:36 41:37 41:38 41:39 41:40 41:41 59:54 59:55 59:56 59:57 59:58 59:59"
"بلونگڑا","رشیدہ",1,"40","41:39"
"بلونگڑا","سفید پوش",3,"56 57 58","59:54 59:56 59:57"
"بلونگڑا","سکیراں",1,"40","41:40"
"بلونگڑا","شدین",1,"59","59:60"
"بلونگڑا","ضابطے خاں",1,"41","41:42"
"بلونگڑا","متاب ٹیڑی",1,"41","41:42"
"بلونگڑا","متاب کی بیوی",1,"42","41:43"
"بلونگڑا","ملا اسماعیل",2,"41 60","41:42 59:61"
"بلونگڑا","ملک (دارا کی کہانی)",2,"42 61","41:44 59:63"
"بلونگڑا","ملک سمندر خاں",1,"42","41:44"
"بلونگڑا","مندی",1,"40","41:40"
"بلونگڑا","منہا یبل",1,"40","41:40"
"بلونگڑا","ٹو (نر گھوڑا)",1,"58","59:57"
"بلونگڑا","پھلا",5,"41 56 57 58 59","41:41 59:54 59:56 59:58 59:59"
"بلونگڑا","چاچا حنفیا",1,"40","41:40"
"بلونگڑا","چدی",1,"59","59:60"
"بلونگڑا","کالا بدل (ریچھ)",2,"40 58","41:39 59:58"
"بلونگڑا","کماں",1,"60","59:61"
"بلونگڑا","گازی",2,"57 58","59:56 59:58"
"بلونگڑا","گاگو",6,"41 56 57 58 59","41:41 59:54 59:56 59:57 59:58 59:59"
"بلونگڑا","گھینا",1,"59","59:60"
"بمبو","بنی",4,"57 58 91","56:58 58:58 59:58 91:91"
"بمبو","بچھیری (گھوڑی)",10,"41 55 56 57 58 59 91","41:41 56:54 56:55 56:56 58:56 58:57 58:58 59:58 59:59 91:91"
"بمبو","بیبو",2,"60 61","58:63 59:63"
"بمبو","تائی",3,"58 59 60","56:61 58:61 59:61"
"بمبو","جاگیردار",8,"54 55 56 57 58 59","56:52 56:54 56:55 56:57 58:57 58:58 59:58 59:60"
"بمبو","حضرت صاحب",3,"56 57","56:56 58:56 58:57"
"بمبو","حیدری",1,"92","91:93"
"بمبو","دارے لوہار",2,"60 61","58:63 59:63"
"بمبو","راوی",23,"38 39 40 41 53 54 55 56 57 58 59 88 89 90 91","41:36 41:37 41:38 41:39 41:40 41:41 56:51 56:52 56:53 56:54 56:55 56:56 58:56 58:57 58:58 59:58 59:59 91:86 91:87 91:88 91:89 91:90 91:91"
"بمبو","رسولاں",1,"93","91:95"
"بمبو","رشیدہ",1,"40","41:39"
"بمبو","رضیہ",1,"93","91:95"
"بمبو","سردار",2,"89 90","91:87 91:90"
"بمبو","سردار گور دیال سنگھ",2,"89 90","91:87 91:90"
"بمبو","سردار گور دیال سنگھ کی کنجری صندلاں",1,"89","91:87"
"بمبو","سفید پوش",4,"55 56 57","56:54 56:56 58:56 58:57"
"بمبو","سلیمان (کسان)",1,"91","91:92"
"بمبو","سکیراں",3,"40 53 54","41:40 56:51 56:53"
"بمبو","شاداں",1,"54","56:52"
"بمبو","شبیر",1,"93","91:95"
"بمبو","شدین",4,"54 58 59","56:52 56:60 58:60 59:60"
"بمبو","شوقاں (گھوڑی)",1,"91","91:91"
"بمبو","ضابطے خاں",1,"41","41:42"
"بمبو","متاب ٹیڑی",1,"41","41:42"
"بمبو","متاب کی بیوی",1,"42","41:43"
"بمبو","ملا اسماعیل",4,"41 58 59 60","41:42 56:61 58:61 59:61"
"بمبو","ملّا گھیچری",1,"53","56:51"
"بمبو","ملک (دارا کی کہانی)",3,"42 60 61","41:44 58:63 59:63"
"بمبو","ملک سمندر خاں",1,"42","41:44"
"بمبو","مندی",3,"40 53 54","41:40 56:51 56:53"
"بمبو","منہا یبل",1,"40","41:40"
"بمبو","ٹو (نر گھوڑا)",2,"56 57","56:57 58:57"
"بمبو","پھلا",7,"41 55 56 57 58 59","41:41 56:54 56:56 58:56 58:58 59:58 59:59"
"بمبو","پھمن",2,"89","91:87 91:88"
"بمبو","پھمن کی نانی",2,"88 89","91:86 91:88"
"بمبو","چاچا حنفیا",2,"40 54","41:40 56:53"
"بمبو","چدی",3,"58 59","56:60 58:60 59:60"
"بمبو","چوہدری تغیرے",1,"92","91:93"
"بمبو","کالا بدل (ریچھ)",5,"40 57 58 90","41:39 56:58 58:58 59:58 91:90"
"بمبو","کرنل صاحب",1,"90","91:90"
"بمبو","کماں",3,"58 59 60","56:61 58:61 59:61"
"بمبو","گازی",4,"56 57 58","56:56 58:56 58:58 59:58"
"بمبو","گاگو",8,"41 55 56 57 58 59","41:41 56:54 56:56 58:56 58:57 58:58 59:58 59:59"
"بمبو","گومی",1,"54","56:52"
"بمبو","گھینا",3,"58 59","56:60 58:60 59:60"
"بنی","بچھیری (گھوڑی)",12,"51 56 57 58 71 72 91 93 96","49:54 58:54 58:55 58:56 58:57 58:58 73:70 73:72 91:91 92:91 92:94 99:94"
"بنی","بیبو",1,"60","58:63"
"بنی","تائی",2,"59 73","58:61 73:74"
"بنی","جاگیردار",6,"48 49 56 57 58","48:49 49:49 58:54 58:55 58:57 58:58"
"بنی","حضرت صاحب",3,"57 100","58:56 58:57 99:101"
"بنی","حیدری",4,"71 72 92","73:70 73:72 91:93 92:93"
"بنی","دارے لوہار",3,"60 70 71","58:63 73:68 73:69"
"بنی","دھاموں",2,"70 71","73:68 73:69"
"بنی","راوی",34,"45 46 47 48 49 55 56 57 58 70 71 72 73 88 89 90 91 92 96 97 98 99","48:43 48:44 48:45 48:46 48:47 48:48 49:48 49:49 58:53 58:54 58:55 58:56 58:57 58:58 73:68 73:69 73:70 73:71 73:72 73:73 91:86 91:87 91:88 91:89 91:90 91:91 92:91 92:93 99:94 99:95 99:96 99:97 99:98 99:99"
"بنی","رسولاں",7,"93 97 98 99","91:95 92:95 99:95 99:96 99:97 99:98 99:99"
"بنی","رضیہ",6,"93 97 98","91:95 92:95 99:95 99:96 99:97 99:98"
"بنی","سردار",4,"72 73 89 90","73:71 73:73 91:87 91:90"
"بنی","سردار گور دیال سنگھ",2,"89 90","91:87 91:90"
"بنی","سردار گور دیال سنگھ کی کنجری صندلاں",1,"89","91:87"
"بنی","سفید پوش",4,"51 56 57","49:54 58:54 58:56 58:57"
"بنی","سلامتے",1,"72","73:72"
"بنی","سلیمان (کسان)",8,"71 91 92 97 98 99","73:70 91:92 92:92 99:95 99:96 99:97 99:98 99:99"
"بنی","سکندر",1,"74","73:76"
"بنی","سکیراں",3,"49 50 55","48:51 49:51 58:53"
"بنی","شاداں",2,"50","48:52 49:52"
"بنی","شبیر",6,"93 97 98","91:95 92:95 99:95 99:96 99:97 99:98"
"بنی","شدین",5,"48 49 59 72 73","48:49 49:49 58:60 73:71 73:73"
"بنی","شوقاں (گھوڑی)",5,"71 72 91 92","73:70 73:72 91:91 92:91 92:93"
"بنی","ضابطے خاں",7,"45 46 47 48","48:43 48:44 48:45 48:46 48:47 48:48 49:48"
"بنی","عمری بھرین",1,"100","99:102"
"بنی","لالو",1,"75","73:77"
"بنی","متاب ٹیڑی",6,"45 46 47 48","48:43 48:45 48:46 48:47 48:48 49:48"
"بنی","متاب کی بیوی",3,"45 48","48:43 48:48 49:48"
"بنی","ملا اسماعیل",2,"59 74","58:61 73:76"
"بنی","ملّا گھیچری",2,"49 50","48:51 49:51"
"بنی","ملک (دارا کی کہانی)",6,"46 60 70 71 75","48:44 48:45 58:63 73:68 73:69 73:78"
"بنی","ملک سمندر خاں",1,"46","48:44"
"بنی","مندی",3,"49 50 55","48:51 49:51 58:53"
"بنی","نور و ماچھی",1,"100","99:102"
"بنی","نوری کاٹو",1,"72","73:72"
"بنی","ٹو (نر گھوڑا)",1,"57","58:57"
"بنی","پھتی",1,"74","73:76"
"بنی","پھلا",4,"51 56 57 58","49:54 58:54 58:56 58:58"
"بنی","پھمن",3,"89 100","91:87 91:88 99:101"
"بنی","پھمن کی نانی",3,"88 89 101","91:86 91:88 99:104"
"بنی","چاچا حنفیا",3,"50 51 55","48:53 49:53 58:53"
"بنی","چدی",2,"59 72","58:60 73:71"
"بنی","چوہدری تغیرے",4,"71 92 96","73:70 91:93 92:93 99:94"
"بنی","کالا بدل (ریچھ)",2,"58 90","58:58 91:90"
"بنی","کرنل صاحب",1,"90","91:90"
"بنی","کماں",2,"59 75","58:61 73:77"
"بنی","گازی",2,"57 58","58:56 58:58"
"بنی","گاگو",5,"51 56 57 58","49:54 58:54 58:56 58:57 58:58"
"بنی","گلو (مراثی کا منڈا)",2,"71 72","73:70 73:72"
"بنی","گومی",2,"50","48:52 49:52"
"بنی","گھینا",2,"59 72","58:60 73:71"
"بچھیری (گھوڑی)","بیبو",5,"60 61 67 68","58:63 59:63 70:65 70:66 70:67"
"بچھیری (گھوڑی)","تائی",11,"58 59 60 72 73 77 78 79","56:61 57:61 58:61 59:61 70:74 72:74 80:75 80:76 80:77 80:78 80:79"
"بچھیری (گھوڑی)","جاگیردار",12,"51 53 54 55 56 57 58 59","54:49 54:52 54:54 55:54 55:55 56:55 56:57 57:57 58:57 58:58 59:58 59:60"
"بچھیری (گھوڑی)","حضرت صاحب",15,"2 3 4 5 15 16 18 55 56 57","2:3 3:3 5:3 5:4 5:5 18:13 18:14 18:15 18:18 54:56 55:56 56:56 57:56 57:57 58:57"
"بچھیری (گھوڑی)","حیدری",6,"70 71 72 80 92 93","70:70 72:70 72:72 80:80 91:93 94:93"
"بچھیری (گھوڑی)","دارو",1,"68","70:66"
"بچھیری (گھوڑی)","دارے لوہار",7,"60 61 67 68 69","58:63 59:63 70:65 70:66 70:67 70:68 70:69"
"بچھیری (گھوڑی)","دھاموں",4,"68 69","70:66 70:67 70:68 70:69"
"بچھیری (گھوڑی)","راوی",58,"1 2 3 4 5 15 16 17 18 38 39 40 41 51 52 53 54 55 56 57 58 59 67 68 69 70 71 72 78 79 80 88 89 90 91 92 93 94","2:1 2:2 3:2 3:3 5:3 5:4 5:5 18:13 18:14 18:15 18:16 18:17 18:18 41:36 41:37 41:38 41:39 41:40 41:41 54:49 54:50 54:51 54:52 54:53 54:54 55:54 55:55 56:55 56:56 57:56 57:57 58:57 58:58 59:58 59:59 70:65 70:66 70:67 70:68 70:69 70:70 72:70 72:71 72:72 80:76 80:77 80:78 80:79 80:80 91:86 91:87 91:88 91:89 91:90 91:91 94:91 94:93 94:94"
"بچھیری (گھوڑی)","رسولاں",2,"93 94","91:95 94:95"
"بچھیری (گھوڑی)","رشیدہ",2,"20 40","18:22 41:39"
"بچھیری (گھوڑی)","رضیہ",2,"93 94","91:95 94:95"
"بچھیری (گھوڑی)","سردار",7,"67 70 71 72 82 89 90","70:65 70:71 72:71 72:73 80:84 91:87 91:90"
"بچھیری (گھوڑی)","سردار گور دیال سنگھ",3,"82 89 90","80:84 91:87 91:90"
"بچھیری (گھوڑی)","سردار گور دیال سنگھ کی کنجری صندلاں",1,"89","91:87"
"بچھیری (گھوڑی)","سفید پوش",7,"54 55 56 57","54:54 55:54 55:56 56:56 57:56 57:57 58:57"
"بچھیری (گھوڑی)","سلامتے",4,"19 71 72 80","18:20 70:72 72:72 80:80"
"بچھیری (گھوڑی)","سلیمان (کسان)",6,"20 70 71 91 93 94","18:22 70:70 72:70 91:92 94:92 94:95"
"بچھیری (گھوڑی)","سٹین فورڈ (گھوڑا)",5,"1 2 3 4","2:1 2:2 3:2 3:4 5:4"
"بچھیری (گھوڑی)","سکندر",3,"74 78","72:76 80:76 80:77"
"بچھیری (گھوڑی)","سکیراں",3,"40 52 53","41:40 54:51 54:53"
"بچھیری (گھوڑی)","سید کرم شاہ",6,"1 3 4 5 18","2:1 2:4 3:4 5:4 5:5 18:18"
"بچھیری (گھوڑی)","شاداں",1,"53","54:52"
"بچھیری (گھوڑی)","شبیر",2,"93 94","91:95 94:95"
"بچھیری (گھوڑی)","شدین",11,"51 52 53 57 58 59 70 71 72","54:49 54:50 54:52 55:60 56:60 57:60 58:60 59:60 70:71 72:71 72:73"
"بچھیری (گھوڑی)","شوقاں (گھوڑی)",7,"70 71 72 80 91 92 93","70:70 72:70 72:72 80:80 91:91 94:91 94:93"
"بچھیری (گھوڑی)","صاحب زادہ نصیر الدین شاہ",2,"16 17","18:14 18:16"
"بچھیری (گھوڑی)","صفیہ",1,"19","18:21"
