Character,Gender,TitleOrClass,Role
اشفاق احمد,Male,ادیب,Narrator
عماد,Male,انجینئر,Support
عمر,Male,دوست,Support
مسعود,Male,دوست,Support
اعظمی,Male,دوست,Support
مفتی,Male,مذہبی عالم,Support
شیر باز,Male,ڈرائیور,Support
لیڈر,Male,لیڈر,Support
کوہستانی,Male,حمال,Support
سوئس لڑکی,Female,سیاح,Minor
سوئس بابا کتب فروش,Male,کتب فروش,Minor
سوئس فٹبالر شوہر,Male,فٹبالر,Minor
سوئس اسٹیشن ماسٹر,Male,اسٹیشن ماسٹر,Minor
ہوٹل کا لڑکا (ناران),Male,ہوٹل ملازم,Minor
ٹراؤٹ فارم کا خان,Male,ٹراؤٹ فارم نگران,Minor
باپ اور لڑکا (رسی والے پل پر),Male,باپ بیٹا,Minor
مرغی والا لڑکا,Male,بچہ,Minor
بکریاں چرانے والا بچہ,Male,چرواہا بچہ,Minor
سوئس ٹرین والی لڑکی,Female,سیاح,Minor
بابا سوکس,Male,کتاب خریدار,Minor
عمر کی محبوبہ (خیالی),Female,خیالی محبوبہ,Minor
حضرت خضر,Male,روحانی ہستی,Minor
حضرت امیر المومنین سید احمد شہید,Male,مجاہد,Minor
رحیم بخش بنارسی,Male,جانثار,Minor
میاں لکی,Male,مجاہد,Minor
اللہ بخش بابتی,Male,جانثار,Minor
رسول خاں حلالہ والا,Male,جانثار,Minor
خان بابا,Male,ہوٹل مالک,Minor
خان بابا کا گونگا ملازم,Male,ملازم,Minor
نوجوان گجر,Male,گوجر چرواہا,Minor
نوجوان گجر کا بھائی,Male,گوجر بچہ,Minor
عالم بی بی,Female,استانی,Minor
احمد بشیر,Male,ادیب,Minor
بانو قدسیہ,Female,ادیبہ,Minor
رفیق حسین,Male,ادیب,Minor
آفتاب احمد,Male,بھائی,Minor
بڑی آپا,Female,گھر کی بزرگ,Minor
سلمیٰ,Female,باجی,Minor
اناں صوباں,Female,گھریلو خاتون,Minor
اباجی,Male,والد,Minor
