Character_A,Character_B,Weight,Pages
"اشفاق احمد","اعظمی",80,"1 2 3 6 10 17 21 41 42 55 56 57 61 62 65 68 69 74 75 77 78 79 80 84 86 90 91 99 114 115 116 118 128 129 146 147 148 149 150 151 152 153 160 161 171 172 173 174 175 179 186 187 190 200 201 202 203 204 205 206 207 212 213 216 217 218 219 220 221 222 223 228 237 239 243 246 247 248 249 253"
"اشفاق احمد","شیر باز",12,"2 3 4 5 8 9 10 17 18 19 20 21"
"اشفاق احمد","عماد",85,"1 2 3 4 8 9 10 17 20 21 23 43 51 55 56 57 58 60 61 62 65 68 69 73 74 75 76 77 80 90 91 99 100 111 113 114 115 116 118 128 129 147 149 150 152 153 161 168 171 172 173 174 175 178 179 186 190 200 201 202 203 206 207 211 216 218 219 220 221 222 223 224 228 231 236 238 239 240 243 246 247 248 249 251 253"
"اشفاق احمد","عمر",76,"1 2 3 4 5 6 8 12 16 17 19 20 21 22 23 41 42 43 45 49 50 51 52 60 62 65 68 69 71 72 74 75 76 78 82 91 98 99 101 102 104 108 111 115 116 117 118 119 120 130 132 139 141 143 144 145 148 151 153 155 159 160 168 171 176 182 210 212 215 223 228 238 243 244 250 251"
"اشفاق احمد","لیڈر",76,"3 19 42 52 55 56 58 60 61 68 69 71 72 73 74 78 80 83 84 85 90 91 98 99 114 115 116 118 128 139 146 147 149 150 152 153 160 161 162 168 171 172 173 174 178 179 186 187 188 190 193 194 202 204 206 207 209 211 213 215 216 218 219 220 221 224 231 236 238 239 243 246 247 248 252 253"
"اشفاق احمد","مسعود",104,"2 3 4 6 8 9 10 17 19 20 21 23 43 51 53 54 55 56 57 58 60 62 65 66 68 69 72 73 74 75 76 77 78 79 80 83 84 85 86 91 93 98 111 113 114 115 116 117 118 125 126 127 128 129 132 146 147 149 151 152 153 154 155 156 160 171 172 174 176 178 179 185 186 188 190 194 200 201 203 205 206 207 212 213 215 216 217 218 220 221 223 228 236 237 238 240 243 246 247 248 249 251 252 253"
"اشفاق احمد","مفتی",120,"2 3 4 8 9 16 17 19 20 22 23 41 42 47 51 55 56 57 58 59 60 61 62 65 66 68 69 74 75 77 78 80 82 83 84 85 86 87 90 91 99 100 114 115 116 117 118 119 126 127 128 129 130 132 139 140 146 147 148 149 152 153 160 163 171 172 173 174 175 176 178 179 186 187 189 190 191 200 201 202 203 204 205 206 207 209 211 212 213 215 216 217 218 219 220 221 222 223 224 228 231 235 236 237 238 239 240 241 242 243 244 245 246 247 248 250 251 252 253 254"
"اشفاق احمد","کوہستانی",27,"84 85 86 90 100 114 115 116 147 148 149 160 185 188 190 205 206 207 217 220 236 238 239 240 245 247 249"
"اعظمی","شیر باز",5,"2 3 10 17 21"
"اعظمی","عماد",62,"1 2 3 10 17 21 55 56 57 61 62 65 68 69 74 75 77 80 90 91 99 114 115 116 118 128 129 147 149 150 152 153 161 171 172 173 174 175 179 186 190 200 201 202 203 206 207 216 218 219 220 221 222 223 228 239 243 246 247 248 249 253"
"اعظمی","عمر",29,"1 2 3 6 17 21 41 42 62 65 68 69 74 75 78 91 99 115 116 118 148 151 153 160 171 212 223 228 243"
"اعظمی","لیڈر",51,"3 42 55 56 61 68 69 74 78 80 84 90 91 99 114 115 116 118 128 146 147 149 150 152 153 160 161 171 172 173 174 179 186 187 190 202 204 206 207 213 216 218 219 220 221 239 243 246 247 248 253"
"اعظمی","مسعود",63,"2 3 6 10 17 21 55 56 57 62 65 68 69 74 75 77 78 79 80 84 86 91 114 115 116 118 128 129 146 147 149 151 152 153 160 171 172 174 179 186 190 200 201 203 205 206 207 212 213 216 217 218 220 221 223 228 237 243 246 247 248 249 253"
"اعظمی","مفتی",71,"2 3 17 41 42 55 56 57 61 62 65 68 69 74 75 77 78 80 84 86 90 91 99 114 115 116 118 128 129 146 147 148 149 152 153 160 171 172 173 174 175 179 186 187 190 200 201 202 203 204 205 206 207 212 213 216 217 218 219 220 221 222 223 228 237 239 243 246 247 248 253"
"اعظمی","کوہستانی",19,"84 86 90 114 115 116 147 148 149 160 190 205 206 207 217 220 239 247 249"
"شیر باز","عماد",9,"2 3 4 8 9 10 17 20 21"
"شیر باز","عمر",9,"2 3 4 5 8 17 19 20 21"
"شیر باز","لیڈر",2,"3 19"
"شیر باز","مسعود",10,"2 3 4 8 9 10 17 19 20 21"
"شیر باز","مفتی",8,"2 3 4 8 9 17 19 20"
"عماد","عمر",33,"1 2 3 4 8 17 20 21 23 43 51 60 62 65 68 69 74 75 76 91 99 111 115 116 118 153 168 171 223 228 238 243 251"
"عماد","لیڈر",53,"3 55 56 58 60 61 68 69 73 74 80 90 91 99 114 115 116 118 128 147 149 150 152 153 161 168 171 172 173 174 178 179 186 190 202 206 207 211 216 218 219 220 221 224 231 236 238 239 243 246 247 248 253"
"عماد","مسعود",68,"2 3 4 8 9 10 17 20 21 23 43 51 55 56 57 58 60 62 65 68 69 73 74 75 76 77 80 91 111 113 114 115 116 118 128 129 147 149 152 153 171 172 174 178 179 186 190 200 201 203 206 207 216 218 220 221 223 228 236 238 240 243 246 247 248 249 251 253"
"عماد","مفتی",73,"2 3 4 8 9 17 20 23 51 55 56 57 58 60 61 62 65 68 69 74 75 77 80 90 91 99 100 114 115 116 118 128 129 147 149 152 153 171 172 173 174 175 178 179 186 190 200 201 202 203 206 207 211 216 218 219 220 221 222 223 224 228 231 236 238 239 240 243 246 247 248 251 253"
"عماد","کوہستانی",17,"90 100 114 115 116 147 149 190 206 207 220 236 238 239 240 247 249"
"عمر","لیڈر",25,"3 19 42 52 60 68 69 71 72 74 78 91 98 99 115 116 118 139 153 160 168 171 215 238 243"
"عمر","مسعود",43,"2 3 4 6 8 17 19 20 21 23 43 51 60 62 65 68 69 72 74 75 76 78 91 98 111 115 116 117 118 132 151 153 155 160 171 176 212 215 223 228 238 243 251"
"عمر","مفتی",46,"2 3 4 8 16 17 19 20 22 23 41 42 51 60 62 65 68 69 74 75 78 82 91 99 115 116 117 118 119 130 132 139 148 153 160 171 176 212 215 223 228 238 243 244 250 251"
"عمر","کوہستانی",5,"115 116 148 160 238"
"لیڈر","مسعود",54,"3 19 55 56 58 60 68 69 72 73 74 78 80 83 84 85 91 98 114 115 116 118 128 146 147 149 152 153 160 171 172 174 178 179 186 188 190 194 206 207 213 215 216 218 220 221 236 238 243 246 247 248 252 253"
"لیڈر","مفتی",64,"3 19 42 55 56 58 60 61 68 69 74 78 80 83 84 85 90 91 99 114 115 116 118 128 139 146 147 149 152 153 160 171 172 173 174 178 179 186 187 190 202 204 206 207 209 211 213 215 216 218 219 220 221 224 231 236 238 239 243 246 247 248 252 253"
"لیڈر","کوہستانی",18,"84 85 90 114 115 116 147 149 160 188 190 206 207 220 236 238 239 247"
"مسعود","مفتی",81,"2 3 4 8 9 17 19 20 23 51 55 56 57 58 60 62 65 66 68 69 74 75 77 78 80 83 84 85 86 91 114 115 116 117 118 126 127 128 129 132 146 147 149 152 153 160 171 172 174 176 178 179 186 190 200 201 203 205 206 207 212 213 215 216 217 218 220 221 223 228 236 237 238 240 243 246 247 248 251 252 253"
"مسعود","کوہستانی",22,"84 85 86 114 115 116 147 149 160 185 188 190 205 206 207 217 220 236 238 240 247 249"
"مفتی","کوہستانی",24,"84 85 86 90 100 114 115 116 147 148 149 160 190 205 206 207 217 220 236 238 239 240 245 247"
