Character,Gender,TitleOrClass,Role
سابو,Male,Driver,Protagonist
دینو,Male,Driver,Protagonist
گولا,Male,Companion,Support
داریا,Male,Companion,Support
بردا,Male,Gunman,Support
غلام غوث,Male,Household Elder,Minor
کرم داد,Male,Relative,Minor
سجن سنگھ,Male,Sikh Villager,Minor
کرتار سنگھ,Male,Folk Hero,Support
کرتار کی ماں,Female,Mother,Minor
منورہا,Female,Vaid Daughter,Minor
گورنام,Male,Friend,Minor
مشکی نٹنی,Unknown,Horse,Minor
لینڈ روور,Unknown,Car,Support
ڈی آئی جی صاحب,Male,Police Officer,Support
منشی شیر دل,Male,Police Clerk,Support
مکینک,Male,Mechanic,Minor
دانیال,Male,Traveller,Protagonist
ملک الموت,Male,Supernatural Elder,Support
بادشاہ وقت,Male,King,Minor
پروفیسر ساعتی,Male,Professor,Protagonist
پروفیسر شفیق,Male,Professor,Support
پروفیسر جواد,Male,Professor,Support
ملک التجار شمس الدین,Male,Merchant,Minor
ملک التجار حسن دین,Male,Merchant,Minor
بختیار,Male,Businessman,Protagonist
نجستہ,Female,Wife,Support
سونی,Unknown,VCR,Protagonist
فراری,Unknown,Car,Minor
مسعود,Male,Lover,Antagonist
ندیمہ,Female,Friend,Minor
رضا,Female,Friend,Minor
ورلڈ بنک کا امریکی نمائندہ,Male,International Official,Minor
ورلڈ بنک کا انگلستانی نمائندہ,Male,International Official,Minor
ورلڈ بنک کا بلجیئن نمائندہ,Male,International Official,Minor
وزیر خزانہ,Male,Minister,Support
وزیر تعلیم,Male,Minister,Minor
سعید احمد,Male,Student,Protagonist
مولوی نور محمد,Male,Religious Scholar,Support
سعید کی ماں,Female,Mother,Minor
محمد الیاس,Male,Relative,Minor
سعید جونیئر,Male,Child,Minor
مرجینا,Female,Folk Character,Minor
علی بابا,Male,Folk Character,Minor
پیتھوجینک خان,Male,Dictator,Antagonist
جنرل مائیکروب,Male,Army General,Antagonist
راحیلہ,Female,Young Woman,Protagonist
راحیلہ کی امی,Female,Mother,Minor
راحیلہ کا منگیتر,Male,Fiance,Minor
اشفاق احمد,Male,Writer,Narrator
ضابطے خان,Male,Patwari,Minor
باقر علی عرضی نویس,Male,Petition Writer,Minor
ٹیکسی ڈرائیور,Male,Driver,Minor
بابا دودھ دہی والا,Male,Shopkeeper,Minor
کیرولین,Female,Foreign Friend,Support
جوزف نیٹ,Male,Foreign Friend,Support
باب رابن,Male,Anthropologist,Minor
ایدا تولی,Female,Anthropologist,Minor
بابا مودن,Male,Elder,Minor
روتھ بینے ڈکٹ,Female,Scholar,Minor
مارگرٹ میڈ,Female,Scholar,Minor
شہزاد,Male,Young Man,Protagonist
رعنا,Female,Lover,Support
پروفیسر ندیم,Male,Professor,Support
گورو مہراخ,Male,Guru,Minor
اماں بلوچن,Female,Old Woman,Minor
علم ریمیا والا موچی,Male,Cobbler,Minor
بلجیئم عورت,Female,Foreign Woman,Minor
پراپرٹی ڈیلر کی لڑکی,Female,Property Dealer Daughter,Minor
ستارہ قلارے,Unknown,Astrological Star,Minor
رضیہ,Female,Young Woman,Protagonist
صدیق,Male,Husband,Support
مامے غفور,Male,Maternal Uncle,Minor
رضیہ کی مامی,Female,Maternal Aunt,Minor
مالی (رضیہ),Male,Gardener,Minor
بابا بھلے والا,Male,Snack Vendor,Minor
کریم دفتری,Male,Office Clerk,Minor
زبیدہ,Female,Clerk Daughter,Minor
تھانے دار منگورہ,Male,Police Officer,Minor
ہیڈ کانسٹیبل,Male,Police Officer,Minor
جمیل,Male,Villager,Minor
گل زمان,Male,Villager,Minor
حسن خان,Male,Villager,Minor
زرینہ,Female,Village Woman,Minor
پشمینہ,Female,Village Woman,Minor
ڈی ایس پی کرم داد خان,Male,Police Officer,Minor
یوسف ظفر,Male,Poet,Support
مختار صدیقی,Male,Office Clerk,Support
ممتاز مفتی,Male,Writer,Minor
محمود نظامی,Male,Writer,Minor
مبشر,Male,Friend,Minor
کرنل مارک,Male,Army Officer,Minor
لیڈی مارک,Female,Lady,Minor
کیپٹن ڈیوڈ,Male,Captain Vet,Minor
گورنر پنجاب,Male,Governor,Minor
ڈپٹی کمشنر راولپنڈی,Male,Bureaucrat,Minor
ہو رو بندر,Male,Monkey,Protagonist
چارلس ڈارون,Male,Scientist,Minor
ارسمس ڈارون,Male,Scientist,Minor
رضوان,Male,Engineer,Protagonist
سلیمان,Male,Friend,Support
شاداں,Female,Wife,Support
شہلا,Female,Young Woman,Minor
شہلا کا ماموں زاد,Male,Cousin,Minor
نور احمد,Male,Watchman,Minor
گلاب پٹواری,Male,Patwari,Minor
حیاتو,Male,Villager,Minor
اماں چراگو,Female,Old Woman,Minor
بھڑ بھو نجن,Female,Local Character,Minor
حاجی برکت اللہ,Male,Haji Elder,Protagonist
رحمتے,Female,Village Woman,Support
دارے پانڈی,Male,Villager,Minor
دارے کا پوتا,Male,Child,Minor
دارے کا ڈھلچو کتا,Unknown,Dog,Minor
اہی رکھی کی بہو,Female,Daughter in Law,Minor
اماں نینا,Female,Old Woman,Minor
ماسٹر کریم بخش تیلی,Male,Headmaster,Protagonist
ماسٹر منظور,Male,Teacher,Support
ماسٹر اشتیاق,Male,Teacher,Support
ماسٹر خرم مسیح,Male,Drawing Teacher,Support
چکی مستری روالیاں,Male,Miller Mechanic,Minor
بڑا خرادیہ,Male,Lathe Worker,Minor
ہوٹل کا اتھلیٹ,Male,Hotel Worker,Minor
محمد امین نمبردار,Male,Numberdar,Protagonist
نمبردارنی,Female,Numberdar Wife,Support
گامے لوہار,Male,Blacksmith,Minor
اماں صوباں,Female,Old Woman,Minor
بے بے نذیراں,Female,Old Woman,Minor
یونس,Male,Young Man,Minor
شرفو ڈرائیور,Male,Driver,Minor
امریکی سفیر,Male,Ambassador,Minor
سیکرٹری آف سٹیٹ,Male,Diplomat,Minor
جاپانی انجینئر,Male,Engineer,Minor
انگریز وفد,Unknown,Foreign Delegation,Minor
جرمن سائنس دان,Unknown,Scientist,Minor
کینیڈین سائنس دان,Unknown,Scientist,Minor
ڈاکٹر موسیٰ,Male,Doctor Potter,Protagonist
جیا کمہار,Male,Potter,Support
دونو کمہار,Male,Potter,Minor
موہنی کمہارن,Female,Potter Woman,Support
سوہنی,Female,Lover Figure,Minor
موئی کی پڑتانی,Female,Wife,Minor
ڈی ایچ لارنس,Male,Writer,Minor
کو رنتھ لانگ لاج,Unknown,Lodge,Minor
