Character_A,Character_B,Weight,Pages
"اشفاق احمد","مختار صدیقی",1,"112"
"اشفاق احمد","منشی شیر دل",1,"112"
"اشفاق احمد","یوسف ظفر",1,"112"
"بختیار","رضا",1,"25"
"بختیار","سونی",7,"21 23 24 25 26 27 36"
"بختیار","مسعود",2,"25 26"
"بختیار","نجستہ",11,"21 22 23 24 25 26 27 36 37 38 39"
"بختیار","ندیمہ",1,"25"
"بردا","دینو",2,"11 13"
"بردا","سابو",2,"11 13"
"جنرل مائیکروب","داریا",2,"77 78"
"جنرل مائیکروب","راحیلہ",4,"60 76 77 78"
"جنرل مائیکروب","پیتھوجینک خان",4,"60 76 77 78"
"جوزف نیٹ","کیرولین",5,"67 68 80 91 93"
"حاجی برکت اللہ","داریا",1,"155"
"حاجی برکت اللہ","دینو",1,"10"
"حاجی برکت اللہ","رضوان",1,"156"
"حاجی برکت اللہ","سابو",2,"9 10"
"حاجی برکت اللہ","سلیمان",2,"155 156"
"حاجی برکت اللہ","شاداں",2,"155 156"
"داریا","دانیال",2,"3 34"
"داریا","دینو",1,"8"
"داریا","راحیلہ",5,"71 74 75 77 78"
"داریا","رضوان",7,"142 143 144 147 157 158 174"
"داریا","رضیہ",4,"114 117 118 147"
"داریا","رعنا",1,"95"
"داریا","سابو",1,"8"
"داریا","سعید احمد",4,"42 44 49 52"
"داریا","سعید جونیئر",2,"49 52"
"داریا","سلیمان",1,"155"
"داریا","شاداں",2,"143 155"
"داریا","شہزاد",1,"95"
"داریا","صدیق",3,"114 117 118"
"داریا","ماسٹر کریم بخش تیلی",1,"147"
"داریا","محمد امین نمبردار",2,"147 174"
"داریا","مختار صدیقی",2,"110 124"
"داریا","ملک الموت",1,"34"
"داریا","وزیر خزانہ",1,"58"
"داریا","پیتھوجینک خان",5,"71 74 75 77 78"
"داریا","ڈاکٹر موسیٰ",1,"174"
"داریا","گولا",1,"8"
"داریا","ہو رو بندر",1,"124"
"داریا","یوسف ظفر",2,"110 124"
"دانیال","ملک الموت",8,"2 6 7 16 31 33 34 35"
"دینو","سابو",5,"8 10 11 12 13"
"دینو","گولا",1,"8"
"راحیلہ","پیتھوجینک خان",7,"60 71 74 75 76 77 78"
"رضا","سونی",1,"25"
"رضا","مسعود",1,"25"
"رضا","نجستہ",1,"25"
"رضا","ندیمہ",1,"25"
"رضوان","رضیہ",1,"147"
"رضوان","سلیمان",5,"126 151 153 154 156"
"رضوان","شاداں",6,"126 143 151 153 154 156"
"رضوان","ماسٹر اشتیاق",4,"148 162 164 166"
"رضوان","ماسٹر خرم مسیح",2,"148 164"
"رضوان","ماسٹر منظور",5,"148 162 164 166 167"
"رضوان","ماسٹر کریم بخش تیلی",4,"147 148 149 152"
"رضوان","محمد امین نمبردار",2,"147 174"
"رضوان","ڈاکٹر موسیٰ",4,"161 162 174 175"
"رضیہ","صدیق",12,"92 100 101 102 111 113 114 115 116 117 118 119"
"رضیہ","ماسٹر کریم بخش تیلی",1,"147"
"رضیہ","محمد امین نمبردار",1,"147"
"رعنا","شہزاد",12,"83 84 85 86 87 88 89 95 96 97 98 99"
"رعنا","پروفیسر ساعتی",3,"86 97 98"
"رعنا","پروفیسر ندیم",9,"83 84 85 86 87 88 96 97 98"
"سابو","گولا",1,"8"
"سعید احمد","سعید جونیئر",8,"41 45 46 47 48 49 50 52"
"سلیمان","شاداں",6,"126 151 153 154 155 156"
"سونی","مسعود",2,"25 26"
"سونی","نجستہ",7,"21 23 24 25 26 27 36"
"سونی","ندیمہ",1,"25"
"شہزاد","پروفیسر ساعتی",3,"86 97 98"
"شہزاد","پروفیسر ندیم",9,"83 84 85 86 87 88 96 97 98"
"ماسٹر اشتیاق","ماسٹر خرم مسیح",4,"148 163 164 165"
"ماسٹر اشتیاق","ماسٹر منظور",6,"148 162 163 164 165 166"
"ماسٹر اشتیاق","ماسٹر کریم بخش تیلی",1,"148"
"ماسٹر اشتیاق","ڈاکٹر موسیٰ",2,"162 163"
"ماسٹر خرم مسیح","ماسٹر منظور",4,"148 163 164 165"
"ماسٹر خرم مسیح","ماسٹر کریم بخش تیلی",1,"148"
"ماسٹر خرم مسیح","ڈاکٹر موسیٰ",1,"163"
"ماسٹر منظور","ماسٹر کریم بخش تیلی",1,"148"
"ماسٹر منظور","ڈاکٹر موسیٰ",2,"162 163"
"ماسٹر کریم بخش تیلی","محمد امین نمبردار",1,"147"
"محمد امین نمبردار","ڈاکٹر موسیٰ",1,"174"
"مختار صدیقی","منشی شیر دل",6,"1 103 105 107 108 112"
"مختار صدیقی","ڈی آئی جی صاحب",1,"1"
"مختار صدیقی","ہو رو بندر",7,"103 120 121 122 123 124 125"
"مختار صدیقی","یوسف ظفر",13,"103 104 106 107 108 110 112 120 121 122 123 124 125"
"مسعود","نجستہ",2,"25 26"
"مسعود","ندیمہ",1,"25"
"منشی شیر دل","ڈی آئی جی صاحب",1,"1"
"منشی شیر دل","ہو رو بندر",1,"103"
"منشی شیر دل","یوسف ظفر",4,"103 107 108 112"
"نجستہ","ندیمہ",1,"25"
"وزیر خزانہ","پروفیسر ساعتی",3,"55 56 57"
"پروفیسر جواد","پروفیسر ساعتی",1,"32"
"پروفیسر جواد","پروفیسر شفیق",1,"32"
"پروفیسر ساعتی","پروفیسر شفیق",1,"32"
"پروفیسر ساعتی","پروفیسر ندیم",3,"86 97 98"
"ہو رو بندر","یوسف ظفر",7,"103 120 121 122 123 124 125"
