Character,Gender,TitleOrClass,Role
خجستہ,Female,Commoner,Protagonist
میمون,Male,Merchant,Support
طوطا,Male,Talking Animal Narrator,Narrator
شہزادہ,Male,Royal,Support
مینا,Female,Bird,Minor
کٹنی,Female,Matchmaker/Old Woman,Minor
خالص,Male,Court Servant,Minor
مخلص,Male,Court Servant,Minor
رائے بابل,Male,Royal,Minor
رائے بابل کی بیٹی,Female,Royal,Minor
بادشاہ چین,Male,Royal,Minor
بادشاہ روم,Male,Royal,Minor
شہزادی روم,Female,Royal,Minor
سوداگر,Male,Merchant,Minor
زہرا,Female,Merchant’s Daughter,Minor
سپاہی,Male,Soldier,Minor
سپاہی کی جورو,Female,Commoner,Minor
سنار,Male,Artisan,Minor
کمہار,Male,Artisan,Minor
برہمن,Male,Religious Figure,Minor
عبدالعزیز,Male,Ruler,Minor
شاہ پور,Male,Animal Character (Frog Chief),Minor
بشیر,Male,Commoner/Lover,Minor
چندو,Female,Commoner/Lover,Minor
اعرابی,Male,Nomad,Minor
زید,Male,Weaver,Minor
شیر,Male,Animal Character,Minor
شیرنی,Female,Animal Character,Minor
سیاہ گوش,Male,Animal Character,Minor
بندر,Male,Animal Character,Minor
نائی,Male,Barber,Minor
قاضی,Male,Judge,Minor
