Character,Gender,TitleOrClass,Role
ابا جی,Male,Father,Support
احمد شاہ (برقنداز),Male,Unknown,Minor
احمد شاہ مسعود,Male,Unknown,Minor
اشرف چشتی,Unknown,Unknown,Minor
اعجاز بٹالوی,Male,Critic / Writer,Minor
اعظم (برقنداز),Male,Unknown,Minor
اماں,Female,Mother,Support
امی چند,Unknown,Unknown,Minor
امیر خان (حمد خواں),Male,Hamd Singer,Minor
ایس پی صاحب,Male,Unknown,Minor
ایس ڈی او صاحب (قرآن چور),Male,Government Officer,Antagonist
ایگزیکٹو انجینئر صاحب,Unknown,Unknown,Minor
با پوجی (کلدیپ کے والد),Unknown,Unknown,Minor
بابا سنگل شاہ,Male,Sufi Saint / Pir,Support
بابا فرید,Male,Sufi Saint,Minor
باشم خان,Male,Unknown,Minor
بچتر سنگھ,Unknown,Unknown,Minor
بدرلیپ سنگھ,Unknown,Unknown,Minor
بانو,Female,Spouse / Household,Support
باچا خان (عبدالغفار خان),Male,Political Leader,Minor
بیگم گور دیال سنگھ,Female,Unknown,Minor
بے بے جی (کلدیپ کی ماں),Female,Unknown,Minor
پاکستان (ذوالفقار علی بھٹو),Male,Political Leader,Minor
تاج انور,Unknown,Unknown,Minor
تھانیدار حسن ابدال,Male,Unknown,Minor
جل پری,Unknown,Unknown,Minor
جلال یار,Male,Unknown,Minor
جسا,Unknown,Unknown,Minor
جوالا سنگھ,Male,Unknown,Minor
جوالا سنگھ کا تایا,Male,Unknown,Minor
جوناگڑھی ڈرائیور,Unknown,Unknown,Minor
جیجان بنت عمری بھرائن,Unknown,Unknown,Minor
چو این لائی,Male,Political Leader,Minor
حسن ابدال کا تھانیدار,Male,Unknown,Minor
حضرت ابلیس,Male,Mythic / Religious Figure,Antagonist
حضرت داتا گنج بخش,Male,Sufi Saint,Minor
حضرت ریان بن جابر,Male,Unknown,Minor
خوشی محمد,Male,Amil / Occult Practitioner,Support
درگا ماں,Female,Unknown,Minor
داؤ چنت رام,Unknown,Unknown,Minor
راجہ جاگیردار شاہ وریام,Male,Unknown,Minor
رجنی,Female,Young Woman,Support
رجنی کا شوہر,Male,Unknown,Minor
رومیل,Male,Historical Figure,Minor
زمرّد,Female,Artist / Performer,Minor
زیگمنڈ فرائیڈ,Male,Thinker / Philosopher,Minor
ساٹھ (سیشن جج میرٹھ),Unknown,Unknown,Minor
سبھاش چندر بوس,Male,Historical Figure,Minor
سردار جاگیردار شاہ وریام,Male,Unknown,Minor
سردار سوبھا سنگھ,Male,Unknown,Minor
سردار گور دیال سنگھ,Male,Unknown,Minor
سردار گور مکھ سنگھ,Male,Unknown,Minor
سردار گور لکھ سنگھ,Male,Unknown,Minor
سردار زادہ (جل پری والا),Male,Unknown,Minor
سلطان,Unknown,Unknown,Minor
سفارش کنکشن والا,Unknown,Unknown,Minor
سیشن جج (میرٹھ),Unknown,Unknown,Minor
شاہ وریام,Male,Unknown,Minor
شفا,Male,Narrator,Narrator
شریف الدین,Unknown,Unknown,Minor
شری بھگوان,Unknown,Unknown,Minor
طالوت خان,Male,Mujahid / Fighter,Support
عامر خان (حمد خواں),Male,Hamd Singer,Minor
عبدالغفار خان (باچا خان),Male,Political Leader,Minor
عظیم (برقنداز),Male,Unknown,Minor
عنایت اللہ درزی,Unknown,Unknown,Minor
عننتی,Unknown,Unknown,Minor
غلام نبی (مجاہد),Male,Unknown,Minor
فرید الدین گنج شکر (بابا فرید),Male,Sufi Saint,Minor
قلندر صاحب,Unknown,Unknown,Minor
قمر زمان (گل زمان),Male,Unknown,Minor
کارل مارکس,Male,Thinker / Philosopher,Minor
لالہ رام چند,Male,Lala / Shopkeeper,Minor
لالو جمھوری,Unknown,Unknown,Minor
لہری (یو لوہاری),Unknown,Unknown,Minor
ماں,Female,Mother,Support
ماسٹر اقبال (ماسٹر بالی),Male,Ustad / Musician / Teacher,Protagonist
ماسٹر بالی,Male,Ustad / Musician / Teacher,Protagonist
ماسٹر نند کشور اگر وال,Unknown,Unknown,Minor
محمد حسین (ریڈیو ملازم),Male,Radio Staff,Minor
محمد حسین تاج نور,Male,Naat / Hamd Singer,Minor
ممتاز مفتی,Male,Writer,Minor
ممتاز ملک,Unknown,Unknown,Minor
میاں بشیر,Unknown,Unknown,Minor
میاں میر,Male,Sufi Saint,Minor
میڈم نور جہاں,Female,Singer / Public Figure,Minor
مول اچنت رام (داؤ چنت رام),Unknown,Unknown,Minor
مولانا ورود القادر انصاری,Male,Unknown,Minor
مولوی امیر علی,Male,Unknown,Minor
مولوی ربیع الدین احمد,Male,Unknown,Minor
مولوی صاحب مسجد والے,Male,Cleric / Molvi,Minor
مودن پانڈی,Unknown,Unknown,Minor
نرائن داس,Unknown,Unknown,Minor
نظام الدین اولیاء,Male,Sufi Saint,Minor
نظامی صاحب,Male,Railway Employee,Minor
نذر حسین,Male,Driver / Machine Operator,Support
نو نہال سنگھ,Male,Unknown,Minor
ہار دت سنگھ,Male,Unknown,Minor
ہر بھجن کور,Unknown,Unknown,Minor
ہر دئی,Female,Village Woman,Support
ہر دت سنگھ,Male,Unknown,Minor
ہرنام سنگھ سوڈھی,Male,Sardar / Landlord,Minor
ہیو لوہار,Unknown,Unknown,Minor
یوسف ظفر,Male,Writer / Poet,Minor
یو لوہاری,Unknown,Unknown,Minor
گجانند,Unknown,Unknown,Minor
گل زمان,Male,Unknown,Minor
گل فراز,Male,Unknown,Minor
گوراں دتا,Unknown,Unknown,Minor
گورو نانک دیو جی,Male,Sikh Guru,Minor
