Character_A,Character_B,Weight,Pages
"ابا جی","اماں",1,"44"
"ابا جی","بابا سنگل شاہ",1,"189"
"ابا جی","بڑا بھائی",1,"44"
"ابا جی","رجنی",1,"6"
"ابا جی","ماسٹر بالی",1,"6"
"ابا جی","منجھلا بھائی",1,"43"
"ابا جی","پنڈت شکر داس",1,"6"
"اعجاز بٹالوی","ماسٹر بالی",1,"49"
"اعجاز بٹالوی","محمد حسین (ریڈیو ملازم)",1,"49"
"اعجاز بٹالوی","ممتاز مفتی",1,"49"
"اعجاز بٹالوی","یوسف ظفر",1,"49"
"اماں","بابا سنگل شاہ",4,"52 66 77 78"
"اماں","بانو",5,"24 83 93 160 171"
"اماں","بغدادی بی بی",1,"24"
"اماں","بڑا بھائی",2,"44 77"
"اماں","بھائی کر پال سنگھ",2,"88 92"
"اماں","خوشی محمد",1,"120"
"اماں","رجنی",6,"10 21 27 29 39 74"
"اماں","زمرد",2,"63 66"
"اماں","شفا",3,"53 134 171"
"اماں","طفیل خان",1,"24"
"اماں","عمر",4,"24 39 52 66"
"اماں","عملی",1,"24"
"اماں","لچھو بساطی",1,"74"
"اماں","ماسٹر بالی",17,"10 17 21 24 29 39 40 50 53 66 74 79 83 87 93 134 160"
"اماں","مستری دان سنگھ",3,"3 24 40"
"اماں","مسعود (میوزک انچارج)",1,"63"
"اماں","نظامی صاحب",3,"52 63 66"
"اماں","پنڈت شکر داس",1,"29"
"اماں","ہر دئی",1,"3"
"اماں","یوسف ظفر",1,"63"
"ایس ڈی او صاحب (قرآن چور)","بھائی گوربخش سنگھ",1,"48"
"ایس ڈی او صاحب (قرآن چور)","ماسٹر بالی",1,"47"
"بابا سنگل شاہ","بانو",1,"187"
"بابا سنگل شاہ","بڑا بھائی",1,"77"
"بابا سنگل شاہ","رجنی",1,"184"
"بابا سنگل شاہ","زمرد",1,"66"
"بابا سنگل شاہ","عمر",3,"52 60 66"
"بابا سنگل شاہ","عملی",1,"132"
"بابا سنگل شاہ","ماسٹر بالی",5,"66 82 175 184 188"
"بابا سنگل شاہ","نظامی صاحب",2,"52 66"
"بانو","بغدادی بی بی",2,"24 25"
"بانو","بڑا بھائی",1,"94"
"بانو","بھائی کر پال سنگھ",2,"89 111"
"بانو","رجنی",2,"4 111"
"بانو","زمرد",1,"67"
"بانو","شفا",3,"91 143 171"
"بانو","طفیل خان",1,"24"
"بانو","عمر",5,"24 67 143 162 169"
"بانو","عملی",2,"24 25"
"بانو","لچھو بساطی",1,"91"
"بانو","ماسٹر بالی",16,"4 24 25 31 68 83 91 93 94 111 143 145 160 162 168 169"
"بانو","محمد حسین (ریڈیو ملازم)",1,"67"
"بانو","مستری دان سنگھ",3,"2 24 68"
"بانو","پنڈت شکر داس",1,"4"
