Character_A,Character_B,Weight,Pages
"انور","حبیب مرزا",2,"36 51"
"انور","زرقا",8,"24 25 28 40 41 56 96 101"
"انور","شیریں",1,"41"
"انور","لیلی",2,"36 41"
"انور","معظم",19,"21 24 25 26 28 29 30 32 36 38 39 40 41 44 51 53 54 55 56"
"حبیب مرزا","زرقا",7,"3 8 20 34 52 61 62"
"حبیب مرزا","شیریں",9,"3 8 20 33 34 37 61 62 67"
"حبیب مرزا","لیلی",8,"3 20 33 34 36 61 62 67"
"حبیب مرزا","معظم",9,"3 14 15 20 36 37 51 52 67"
"زرقا","شیریں",32,"1 2 3 8 9 10 12 16 17 19 20 34 41 50 58 60 61 62 63 64 68 69 71 72 74 75 77 78 79 88 89 90"
"زرقا","لیلی",32,"1 2 3 9 10 12 17 19 20 31 34 41 58 60 61 62 68 69 70 71 72 74 77 78 79 80 87 88 89 92 95 100"
"زرقا","معظم",30,"1 2 3 10 11 12 13 16 17 18 19 20 24 25 28 31 40 41 52 56 57 58 63 74 75 78 80 88 92 95"
"شیریں","لیلی",32,"1 2 3 4 9 10 12 17 19 20 33 34 35 41 58 60 61 62 65 67 68 69 71 72 73 74 77 78 79 85 88 89"
"شیریں","معظم",20,"1 2 3 4 10 12 16 17 19 20 37 41 58 63 67 73 74 75 78 88"
"لیلی","معظم",23,"1 2 3 4 10 12 17 19 20 31 36 41 42 58 66 67 73 74 78 80 88 92 95"
