Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"انور","حبیب مرزا",25,"17 18 20 28 29 30 31 32 34 35 36 37 46 47 51 52 57 58","21:14 21:15 21:20 24:33 25:33 26:33 27:33 28:33 29:33 30:33 32:33 36:33 36:34 36:36 38:36 38:37 41:51 44:51 51:51 53:51 53:52 53:61 54:61 55:61 56:61"
"انور","زرقا",51,"16 17 18 19 20 22 24 25 27 28 30 31 33 35 38 39 40 41 42 44 48 50 51 52 54 55 56 91 92 93 94 95 96 98 100 101","21:11 21:12 21:13 21:16 21:17 21:18 21:19 21:20 21:24 24:24 25:24 25:25 26:25 26:28 27:28 28:28 29:28 29:31 30:31 32:31 32:34 36:34 36:40 38:40 39:40 40:40 41:40 41:41 44:41 44:45 51:45 51:46 51:50 51:52 53:52 53:56 54:56 55:56 56:56 96:87 96:88 96:89 96:90 96:91 96:92 96:94 96:95 96:96 101:96 101:100 101:101"
"انور","شیریں",34,"16 18 19 20 28 29 30 31 32 34 35 36 37 39 40 41 42 43 47 50 54 55 56 57 92 93","21:12 21:16 21:17 21:19 21:20 24:33 25:33 26:33 27:33 28:33 29:33 30:33 32:33 36:33 36:34 36:35 36:37 38:37 38:41 39:41 40:41 41:41 44:41 44:43 44:50 51:50 51:58 53:58 54:58 55:58 56:58 96:88 96:89 96:90"
"انور","لیلی",39,"16 19 20 26 27 28 29 30 31 32 34 35 36 37 39 40 41 42 43 54 55 56 57 91 92 94 95 96 99 100","21:12 21:17 21:19 21:20 21:31 24:31 25:31 26:31 27:31 28:31 29:31 30:31 32:31 32:33 36:33 36:34 36:35 36:36 38:36 38:41 39:41 40:41 41:41 44:41 44:42 51:58 53:58 54:58 55:58 56:58 96:86 96:87 96:88 96:89 96:92 96:95 96:97 101:97 101:100"
"انور","معظم",59,"16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 41 42 43 44 47 50 51 52 53 54 55 56 92 94 95","21:11 21:12 21:13 21:14 21:15 21:16 21:17 21:18 21:19 21:20 21:21 24:21 24:22 24:23 24:24 25:24 25:25 26:25 26:26 27:26 27:28 28:28 29:28 29:29 30:29 30:30 32:30 32:31 32:32 36:32 36:36 38:36 38:37 38:38 39:38 39:39 40:39 40:40 41:40 41:41 44:41 44:42 44:44 51:44 51:49 51:51 53:51 53:52 53:53 54:53 54:54 55:54 55:55 56:55 56:56 96:88 96:92 96:93 96:95"
"حبیب مرزا","زرقا",46,"2 3 5 8 11 12 13 15 18 19 20 28 29 30 32 33 34 35 38 46 48 50 51 52 56 58 59 60 61 62 64 65 67","3:1 3:2 3:3 8:3 8:8 14:8 14:9 14:10 14:11 14:12 14:13 14:16 15:16 20:16 20:17 20:18 20:19 20:20 33:24 33:25 33:28 33:31 33:34 34:34 36:34 36:40 37:40 51:41 51:45 51:46 51:50 51:52 52:52 61:52 61:56 61:57 61:58 61:59 61:60 61:61 62:61 62:62 67:62 67:63 67:64 67:68"
"حبیب مرزا","شیریں",38,"2 3 5 6 8 11 12 13 15 18 19 20 33 34 35 36 37 46 47 50 54 55 59 60 61 62 64 65 66 67","3:1 3:2 3:3 8:3 8:4 8:8 14:8 14:9 14:10 14:12 14:16 15:16 20:16 20:17 20:19 20:20 33:33 34:33 34:34 36:34 36:35 36:37 37:37 51:41 51:43 51:50 51:58 52:58 61:58 61:60 61:61 62:61 62:62 67:62 67:63 67:64 67:65 67:67"
"حبیب مرزا","لیلی",36,"2 3 5 6 8 11 12 13 15 16 18 19 20 32 33 34 35 36 39 46 54 55 59 60 61 62 64 66 67","3:1 3:2 3:3 8:3 8:4 8:9 14:9 14:10 14:12 14:17 15:17 20:17 20:19 20:20 33:31 33:33 34:33 34:34 36:34 36:35 36:36 37:36 37:41 51:41 51:42 51:58 52:58 61:58 61:60 61:61 62:61 62:62 67:62 67:65 67:66 67:67"
"حبیب مرزا","معظم",52,"2 3 5 6 9 12 13 14 15 17 18 19 20 28 29 30 31 32 34 35 36 37 46 47 50 51 52 56 57 58 59 62 65 66 67","3:1 3:2 3:3 8:3 8:4 8:10 14:10 14:11 14:12 14:13 14:14 15:14 15:15 20:15 20:16 20:17 20:18 20:19 20:20 33:23 33:24 33:25 33:26 33:28 33:29 33:30 33:31 33:32 33:36 34:36 36:36 37:36 37:37 51:41 51:42 51:44 51:49 51:51 52:51 52:52 61:52 61:53 61:54 61:55 61:56 61:57 61:58 61:63 62:63 67:63 67:66 67:67"
"زرقا","شیریں",92,"1 2 3 5 6 8 9 10 11 12 14 16 17 18 19 20 22 28 29 30 32 33 34 37 38 40 41 43 44 47 48 50 51 55 57 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 74 75 76 77 78 79 82 84 86 87 88 89 90","1:1 2:1 2:2 3:2 3:3 8:3 8:4 8:8 9:8 9:9 10:9 10:10 11:10 11:12 12:12 13:12 13:16 16:16 17:16 17:17 18:17 18:19 19:19 20:19 20:20 24:20 24:33 25:33 28:33 31:33 34:33 34:34 40:34 40:35 40:37 40:41 41:41 45:41 45:43 45:50 46:50 50:50 52:50 52:58 56:58 57:58 58:58 59:58 59:60 60:60 61:60 61:61 62:61 62:62 63:62 63:63 64:63 64:64 68:64 68:65 68:67 68:68 69:68 69:69 70:69 70:71 71:71 72:71 72:72 74:72 74:73 74:74 75:74 75:75 76:75 76:77 77:77 78:77 78:78 79:78 79:79 80:79 80:85 84:85 87:85 87:88 88:88 89:88 89:89 90:89 90:90 91:90"
"زرقا","لیلی",99,"1 2 3 5 6 8 9 10 11 12 15 16 17 18 19 20 22 27 28 29 31 32 33 34 37 38 40 41 43 54 55 57 58 59 60 61 62 64 66 67 68 69 70 71 72 73 74 76 77 78 79 80 82 84 86 87 88 89 91 92 93 94 95 96 98 100","1:1 2:1 2:2 3:2 3:3 8:3 8:4 8:9 9:9 10:9 10:10 11:10 11:12 12:12 13:12 13:17 16:17 17:17 18:17 18:19 19:19 20:19 20:20 24:20 24:31 25:31 28:31 31:31 34:31 34:33 34:34 40:34 40:35 40:36 40:41 41:41 45:41 45:42 50:58 52:58 56:58 57:58 58:58 59:58 59:60 60:60 61:60 61:61 62:61 62:62 63:62 63:65 64:65 68:65 68:66 68:67 68:68 69:68 69:69 70:69 70:70 71:70 71:71 72:71 72:72 74:72 74:73 74:74 75:74 75:77 76:77 77:77 78:77 78:78 79:78 79:79 80:79 80:80 84:80 84:85 87:85 87:86 87:87 88:87 88:88 89:88 89:89 90:89 90:92 91:92 92:92 94:92 94:95 95:95 96:95 96:97 100:97 100:100 101:100"
