Character_A,Character_B,Weight,Pages
"ایوب","تاجے",1,"30"
"ایوب","شریفاں",3,"28 29 30"
"تاجے","شریفاں",8,"22 24 26 30 32 33 34 39"
"تاجے","منا",1,"32"
"تاجے","گلزار",2,"34 39"
"ریحان","سارا",1,"137"
"ریحان","مینا",5,"133 136 137 138 139"
"زری","سارا",5,"201 203 215 226 227"
"زری","مہ رخ",4,"190 205 226 227"
"زری","مینا",2,"131 200"
"زمبا","زیبا",4,"8 9 10 11"
"زمبا","سارا",2,"2 7"
"زمبا","عطیہ",15,"1 2 3 6 7 8 9 10 11 12 13 17 20 31 234"
"زمبا","منا",7,"1 7 8 9 10 12 19"
"زمبا","گلو",1,"9"
"زیبا","عطیہ",5,"8 9 10 11 18"
"زیبا","منا",3,"8 9 10"
"زیبا","گلو",1,"9"
"سارا","سلیمہ",1,"106"
"سارا","شریفاں",1,"25"
"سارا","عبدالکریم",1,"126"
"سارا","عطیہ",2,"2 7"
"سارا","فرخ",1,"106"
"سارا","منا",1,"7"
"سارا","مہ رخ",2,"226 227"
"سارا","مینا",7,"25 109 110 112 120 134 137"
"سارا","نذیر",3,"130 151 153"
"سارا","ٹونی",1,"95"
"سارا","کرنیل کور",1,"54"
"سارا","گلزار",5,"36 130 132 151 153"
"سارا","گلو",6,"67 69 81 94 95 109"
"سارا","ہر بیل سنگھ",1,"52"
"سلیمہ","فاطمہ",3,"104 105 108"
"سلیمہ","فرخ",3,"104 106 108"
"شریفاں","منا",1,"32"
"شریفاں","مینا",1,"25"
"شریفاں","گلزار",3,"34 35 39"
"ظفر","مہ رخ",3,"209 212 220"
"عطیہ","فاطمہ",1,"4"
"عطیہ","منا",6,"1 7 8 9 10 12"
"عطیہ","گلو",1,"9"
"فاطمہ","فرخ",9,"101 102 103 104 107 108 115 116 117"
"فاطمہ","ٹونی",1,"101"
"فرخ","ٹونی",1,"101"
"منا","گلو",1,"9"
"مینا","گلو",1,"109"
"نذیر","گلزار",4,"130 140 151 153"
"ٹونی","گلو",1,"95"
"کرنیل کور","ہر بیل سنگھ",5,"59 60 74 75 76"
