Character,Gender,TitleOrClass,Role
ہمایوں,Male,Sahib,Narrator
ارجمند,Female,None,Support
بلال,Male,None,Support
جمشید,Male,None,Minor
قیصر,Male,None,Minor
اقبال,Female,None,Support
شاہد بھائی,Male,None,Minor
چاچا صمد,Male,Naukar/Servant,Minor
اصغری,Female,Household Woman,Support
جہانگیر,Male,None,Support
شاہدہ,Female,None,Support
بلال و ارجمند,Unknown,None,Minor
غلام نبی,Male,Naukar,Minor
عائشہ,Female,None,Minor
انکل ریمس,Male,None,Minor
شجاع بھائی,Male,None,Minor
رفعت,Female,Household Elder,Support
عبد گل,Male,Afghan/Worker,Minor
شمار,Male,Sahib,Support
نثار احمد صدیقی,Male,Poet/Compere,Minor
