Character_A,Character_B,Weight,Pages
"ارجمند","اصغری",18,"42 49 50 58 72 80 81 85 91 102 110 123 127 134 136 184 279 283"
"ارجمند","اقبال",36,"42 43 49 50 52 56 57 58 60 68 71 72 81 83 90 102 103 104 123 136 184 268 269 270 271 273 279 281 283 285 289 293 296 297 300 301"
"ارجمند","انکل ریمس",1,"172"
"ارجمند","بلال",36,"18 25 34 35 40 50 51 53 54 68 71 80 83 102 116 141 192 200 211 215 244 267 268 269 270 277 278 279 283 285 289 290 293 296 300 301"
"ارجمند","جمشید",20,"15 18 40 50 51 53 68 141 211 215 268 275 276 278 279 289 290 293 300 301"
"ارجمند","جہانگیر",22,"72 80 81 83 85 90 91 99 102 110 123 126 127 129 134 136 184 192 200 273 281 297"
"ارجمند","رفعت",3,"102 279 297"
"ارجمند","شاہدہ",12,"80 83 99 102 123 126 129 136 192 200 271 273"
"ارجمند","شمار",21,"17 21 42 56 57 58 60 81 103 104 190 268 269 270 277 279 281 283 285 293 296"
"ارجمند","قیصر",21,"15 16 18 40 50 51 53 68 99 141 211 215 268 276 278 279 289 290 293 300 301"
"ارجمند","نثار احمد صدیقی",1,"296"
"ارجمند","چندے شاہ ذی جاہ",5,"55 99 134 273 295"
"ارجمند","ہمایوں",5,"42 127 283 296 297"
"اصغری","اقبال",19,"42 49 50 58 72 79 81 84 94 102 123 124 136 183 184 185 188 279 283"
"اصغری","بلال",5,"50 80 102 279 283"
"اصغری","جمشید",2,"50 279"
"اصغری","جہانگیر",21,"72 80 81 84 85 91 93 102 108 109 110 112 123 124 125 127 128 131 134 136 184"
"اصغری","رفعت",3,"84 102 279"
"اصغری","شاہدہ",10,"80 84 102 108 109 112 123 125 128 136"
"اصغری","شمار",5,"42 58 81 279 283"
"اصغری","عبد گل",1,"249"
"اصغری","قیصر",2,"50 279"
"اصغری","چندے شاہ ذی جاہ",1,"134"
"اصغری","ہمایوں",4,"42 109 127 283"
"اقبال","بلال",16,"50 68 71 83 102 268 269 270 279 283 285 289 293 296 300 301"
"اقبال","جمشید",11,"50 68 78 101 216 268 279 289 293 300 301"
"اقبال","جہانگیر",13,"72 81 83 84 90 102 123 124 136 184 273 281 297"
"اقبال","رفعت",23,"46 47 48 77 84 102 216 217 218 223 224 225 226 227 228 261 262 263 279 284 294 297 299"
"اقبال","شاہدہ",8,"83 84 102 123 130 136 271 273"
"اقبال","شمار",25,"42 56 57 58 60 81 103 104 228 264 268 269 270 279 281 282 283 284 285 291 293 294 296 298 299"
"اقبال","قیصر",11,"50 68 78 101 216 268 279 289 293 300 301"
"اقبال","نثار احمد صدیقی",1,"296"
"اقبال","چندے شاہ ذی جاہ",1,"273"
"اقبال","ہمایوں",9,"42 225 282 283 284 294 296 297 299"
"بلال","جمشید",17,"18 40 50 51 53 68 141 211 215 268 278 279 289 290 293 300 301"
"بلال","جہانگیر",5,"80 83 102 192 200"
"بلال","رفعت",2,"102 279"
"بلال","شاہدہ",5,"80 83 102 192 200"
"بلال","شمار",9,"268 269 270 277 279 283 285 293 296"
"بلال","قیصر",17,"18 40 50 51 53 68 141 211 215 268 278 279 289 290 293 300 301"
"بلال","نثار احمد صدیقی",1,"296"
"بلال","ہمایوں",2,"283 296"
"جمشید","جہانگیر",1,"70"
"جمشید","رفعت",2,"216 279"
"جمشید","شمار",3,"268 279 293"
"جمشید","قیصر",25,"15 18 30 40 50 51 53 68 69 78 101 141 211 215 216 268 274 276 278 279 289 290 293 300 301"
"جہانگیر","رفعت",3,"84 102 297"
"جہانگیر","شاہدہ",26,"80 82 83 84 99 102 108 109 112 120 122 123 125 126 128 129 132 133 135 136 139 140 156 192 200 273"
"جہانگیر","شمار",3,"81 82 281"
"جہانگیر","قیصر",1,"99"
"جہانگیر","چندے شاہ ذی جاہ",3,"99 134 273"
"جہانگیر","ہمایوں",3,"109 127 297"
"رفعت","شاہدہ",2,"84 102"
"رفعت","شمار",5,"228 279 284 294 299"
"رفعت","قیصر",2,"216 279"
"رفعت","ہمایوں",6,"196 225 284 294 297 299"
"شاہدہ","شمار",1,"82"
"شاہدہ","قیصر",1,"99"
"شاہدہ","چندے شاہ ذی جاہ",2,"99 273"
"شاہدہ","ہمایوں",1,"109"
"شمار","قیصر",3,"268 279 293"
"شمار","نثار احمد صدیقی",1,"296"
"شمار","ہمایوں",7,"42 282 283 284 294 296 299"
"قیصر","چندے شاہ ذی جاہ",1,"99"
"نثار احمد صدیقی","ہمایوں",1,"296"
"چندے شاہ ذی جاہ","ہمایوں",1,"201"
