Character_A,Character_B,Weight,Pages
"اثیر","اشفاق",6,"117 121 125 139 140 148"
"اثیر","انشاء",1,"123"
"اثیر","انیق",3,"69 126 146"
"اثیر","ثاقب",2,"121 148"
"اثیر","شہاب",12,"68 69 117 121 124 125 126 128 139 140 142 146"
"اثیر","عکسی",1,"148"
"اثیر","ممتاز مفتی",2,"117 148"
"اثیر","یوگی",2,"121 148"
"اشفاق","انشاء",2,"46 96"
"اشفاق","انیق",8,"8 11 32 41 59 91 100 127"
"اشفاق","بانو",9,"25 27 41 46 55 64 74 97 116"
"اشفاق","ثاقب",12,"8 28 88 95 96 97 100 111 116 121 147 148"
"اشفاق","شہاب",55,"2 4 6 8 11 13 17 18 19 20 26 27 28 29 32 35 36 40 41 43 44 45 46 50 51 54 55 56 58 59 64 65 70 74 83 84 85 88 91 95 96 97 98 100 106 111 116 117 121 125 127 130 139 140 147"
"اشفاق","عفت",15,"11 18 19 20 32 51 55 70 88 91 95 96 97 98 111"
"اشفاق","عکسی",7,"5 25 26 36 130 147 148"
"اشفاق","قدسیہ",12,"2 4 5 6 8 13 28 40 44 46 64 116"
"اشفاق","محمودہ",2,"88 100"
"اشفاق","محمودہ جی",1,"100"
"اشفاق","ممتاز مفتی",23,"2 4 5 6 8 19 20 26 27 28 29 35 36 46 50 65 83 98 116 117 130 147 148"
"اشفاق","یوگی",5,"83 85 121 147 148"
"انشاء","بانو",1,"46"
"انشاء","ثاقب",1,"96"
"انشاء","شہاب",4,"21 23 46 96"
"انشاء","عفت",1,"96"
"انشاء","عکسی",2,"21 23"
"انشاء","قدسیہ",1,"46"
"انشاء","ممتاز مفتی",2,"21 46"
"انیق","بانو",1,"41"
"انیق","ثاقب",4,"8 9 100 113"
"انیق","شہاب",20,"8 9 11 32 41 42 59 69 91 93 100 104 112 113 120 126 127 133 143 146"
"انیق","عفت",5,"9 11 32 91 113"
"انیق","قدسیہ",2,"8 9"
"انیق","محمودہ",1,"100"
"انیق","محمودہ جی",1,"100"
"انیق","ممتاز مفتی",1,"8"
"بانو","ثاقب",4,"52 57 97 116"
"بانو","شہاب",18,"24 27 31 41 46 47 48 52 55 57 63 64 74 76 77 97 103 116"
"بانو","عفت",3,"52 55 97"
"بانو","عکسی",2,"24 25"
"بانو","قدسیہ",12,"31 46 47 48 52 57 63 64 75 76 77 116"
"بانو","ممتاز مفتی",9,"24 27 31 46 47 48 52 77 116"
"ثاقب","شہاب",21,"8 9 28 52 57 81 88 90 94 95 96 97 99 100 102 111 113 114 116 121 147"
"ثاقب","عفت",12,"9 52 88 94 95 96 97 99 102 111 113 114"
"ثاقب","عکسی",2,"147 148"
"ثاقب","قدسیہ",8,"8 9 28 52 57 81 82 116"
"ثاقب","محمودہ",5,"88 90 99 100 102"
"ثاقب","محمودہ جی",3,"90 100 102"
"ثاقب","ممتاز مفتی",7,"8 28 52 102 116 147 148"
"ثاقب","یوگی",3,"121 147 148"
"شہاب","عفت",27,"9 11 12 18 19 20 32 39 51 52 55 70 80 86 88 91 94 95 96 97 98 99 102 111 113 114 119"
"شہاب","عکسی",9,"21 22 23 24 26 36 39 130 147"
"شہاب","قدسیہ",22,"2 3 4 6 8 9 13 28 31 40 44 46 47 48 52 57 63 64 76 77 81 116"
"شہاب","محمودہ",5,"88 90 99 100 102"
"شہاب","محمودہ جی",3,"90 100 102"
"شہاب","ممتاز مفتی",38,"2 3 4 6 8 19 20 21 22 24 26 27 28 29 31 34 35 36 39 46 47 48 50 52 53 62 65 66 77 83 98 102 116 117 119 130 134 147"
"شہاب","یوگی",5,"83 85 86 121 147"
"عفت","عکسی",1,"39"
"عفت","قدسیہ",2,"9 52"
"عفت","محمودہ",3,"88 99 102"
"عفت","محمودہ جی",1,"102"
"عفت","ممتاز مفتی",7,"19 20 39 52 98 102 119"
"عفت","یوگی",1,"86"
"عکسی","قدسیہ",1,"5"
"عکسی","ممتاز مفتی",11,"5 7 21 22 24 26 36 39 130 147 148"
"عکسی","یوگی",2,"147 148"
"قدسیہ","ممتاز مفتی",14,"2 3 4 5 6 8 28 31 46 47 48 52 77 116"
"محمودہ","محمودہ جی",3,"90 100 102"
"محمودہ","ممتاز مفتی",1,"102"
"محمودہ جی","ممتاز مفتی",1,"102"
"ممتاز مفتی","یوگی",3,"83 147 148"
