Character_A,Character_B,Weight,Pages
"آغا جی","آپا فرحت",4,"244 449 452 471"
"آغا جی","آپا فرخندہ",4,"244 449 452 471"
"آغا جی","اثیر",1,"244"
"آغا جی","اثیر احمد",1,"244"
"آغا جی","اشفاق احمد",5,"243 244 449 452 471"
"آغا جی","اقبال",1,"452"
"آغا جی","اقبال احمد خاں",1,"452"
"آغا جی","الحق بھائی",1,"244"
"آغا جی","انیس",1,"244"
"آغا جی","انیس خاں",1,"244"
"آغا جی","انیق",1,"244"
"آغا جی","انیق احمد",1,"244"
"آغا جی","انیق خان",1,"244"
"آغا جی","بابا جی",1,"449"
"آغا جی","بابا جی محمد خاں",1,"449"
"آغا جی","بابا نور والے",1,"449"
"آغا جی","بانو قدسیہ",5,"243 244 449 452 471"
"آغا جی","دوست محمد خاں",1,"449"
"آغا جی","ذکیہ",1,"244"
"آغا جی","روحی",1,"244"
"آغا جی","ریاض محمود",1,"471"
"آغا جی","شفقت",1,"449"
"آغا جی","شمس",1,"244"
"آغا جی","صادق",1,"471"
"آغا جی","صوفی صاحب",3,"243 244 452"
"آغا جی","صوفی غلام مصطفیٰ تبسم",1,"243"
"آغا جی","محمد خاں",1,"449"
"آغا جی","نور الحسن",2,"243 471"
"آغا جی","پرویز چٹھہ",1,"244"
"آغا جی","ڈاکٹر صاحب (راشد لطیف ہسپتال)",1,"449"
"آغا جی","ڈاکٹر عاطف گوہیر",1,"449"
"آغا جی","ڈاکٹر فیصل آبادی",1,"449"
"آفتاب (بھائی نینی)","آفتاب احمد",5,"22 75 250 280 591"
"آفتاب (بھائی نینی)","آفتاب بھائی",24,"1 6 22 31 33 37 68 75 115 121 163 226 232 250 280 286 290 321 570 591 611 613 621 653"
"آفتاب (بھائی نینی)","آپا فرحت",8,"1 31 33 37 163 280 570 611"
"آفتاب (بھائی نینی)","آپا فرخندہ",7,"1 31 33 37 280 570 611"
"آفتاب (بھائی نینی)","آپی منیر",4,"33 226 570 591"
"آفتاب (بھائی نینی)","اثر صاحب",1,"75"
"آفتاب (بھائی نینی)","اثیر",1,"613"
"آفتاب (بھائی نینی)","اثیر احمد",1,"613"
"آفتاب (بھائی نینی)","احمد خاں",3,"22 31 33"
"آفتاب (بھائی نینی)","احمد خاں (بیٹا)",3,"22 31 33"
"آفتاب (بھائی نینی)","اشتیاق",4,"22 33 226 653"
"آفتاب (بھائی نینی)","اشتیاق احمد خاں",5,"22 33 37 226 653"
"آفتاب (بھائی نینی)","اشفاق احمد",19,"1 6 22 31 33 37 68 75 115 163 226 232 250 280 286 290 570 591 611"
"آفتاب (بھائی نینی)","افتخار",3,"1 22 33"
"آفتاب (بھائی نینی)","افتخار بھائی",3,"1 22 33"
"آفتاب (بھائی نینی)","اقبال",5,"1 22 33 37 321"
"آفتاب (بھائی نینی)","اقبال احمد خاں",5,"1 22 33 37 321"
"آفتاب (بھائی نینی)","اقبال ملک",1,"33"
"آفتاب (بھائی نینی)","الحق بھائی",1,"1"
"آفتاب (بھائی نینی)","امجد",1,"613"
"آفتاب (بھائی نینی)","امیر خان",4,"286 290 611 613"
"آفتاب (بھائی نینی)","انور ملک",1,"250"
"آفتاب (بھائی نینی)","انیس",4,"22 163 286 290"
"آفتاب (بھائی نینی)","انیس خاں",4,"22 163 286 290"
"آفتاب (بھائی نینی)","انیق",3,"286 290 613"
"آفتاب (بھائی نینی)","انیق احمد",3,"286 290 613"
"آفتاب (بھائی نینی)","انیق خان",3,"286 290 613"
"آفتاب (بھائی نینی)","بابا جی",4,"1 37 286 290"
"آفتاب (بھائی نینی)","بابا جی محمد خاں",4,"1 37 286 290"
"آفتاب (بھائی نینی)","بابا فضل شاہ",1,"6"
"آفتاب (بھائی نینی)","بابا نور والے",4,"1 37 286 290"
"آفتاب (بھائی نینی)","بانو قدسیہ",23,"1 6 22 31 33 37 68 75 115 121 163 226 232 250 280 286 290 321 570 591 611 613 621"
"آفتاب (بھائی نینی)","بیگم ذاکر چٹھہ",4,"22 33 75 121"
"آفتاب (بھائی نینی)","تاج صاحب",1,"226"
"آفتاب (بھائی نینی)","تانیہ",1,"613"
"آفتاب (بھائی نینی)","تویلہ",1,"22"
"آفتاب (بھائی نینی)","ثنیہ",2,"611 613"
"آفتاب (بھائی نینی)","جاوید",4,"22 31 163 226"
"آفتاب (بھائی نینی)","جاوید طارق",4,"22 31 163 226"
"آفتاب (بھائی نینی)","جمیلہ اختر",1,"226"
"آفتاب (بھائی نینی)","جمیلہ ظفر",2,"226 250"
"آفتاب (بھائی نینی)","جمیلہ ملک",2,"226 250"
