Character_A,Character_B,Weight,Pages
"آفتاب بٹ","ابا",13,"22 32 49 67 89 91 92 100 139 167 278 366 402"
"آفتاب بٹ","افتخار",1,"390"
"آفتاب بٹ","اماں",12,"9 22 29 49 54 67 71 91 167 202 278 366"
"آفتاب بٹ","امجد",15,"22 30 32 40 44 47 52 53 60 61 63 74 78 79 83"
"آفتاب بٹ","انجیلا",4,"18 22 39 53"
"آفتاب بٹ","بڑا بھائی مختار",5,"84 86 111 134 135"
"آفتاب بٹ","بھا بھی صولت",3,"84 135 325"
"آفتاب بٹ","جمال",8,"22 24 44 47 52 61 79 82"
"آفتاب بٹ","روشن",5,"39 105 114 157 390"
"آفتاب بٹ","زیبا",20,"52 60 67 69 71 74 77 79 91 92 93 101 104 108 119 123 129 157 159 167"
"آفتاب بٹ","سائیں جی",3,"366 390 400"
"آفتاب بٹ","ستارہ",1,"278"
"آفتاب بٹ","سیمی شاہ",73,"2 9 16 19 21 22 24 26 27 28 32 39 40 43 44 46 48 49 52 53 54 60 63 65 66 68 69 71 73 74 77 78 82 83 86 88 93 96 100 101 102 103 104 105 108 110 111 112 116 117 118 121 122 123 124 130 132 134 135 136 137 139 140 142 158 159 167 325 366 370 372 390 402"
"آفتاب بٹ","طیبہ",7,"21 22 27 28 30 39 40"
"آفتاب بٹ","عابدہ",1,"167"
"آفتاب بٹ","فرزانہ",6,"18 21 22 28 39 40"
"آفتاب بٹ","قیوم",42,"46 47 48 49 50 52 54 66 67 68 69 74 76 77 78 79 87 96 100 101 103 104 105 108 110 111 117 118 119 121 122 123 124 137 139 142 157 158 159 325 401 402"
"آفتاب بٹ","پروفیسر سہیل",15,"1 9 14 15 16 18 19 40 61 74 77 96 202 325 370"
"آفتاب بٹ","کوثر",11,"18 21 22 24 28 39 40 44 47 48 202"
"ابا","افتخار",2,"384 388"
"ابا","اماں",32,"22 41 42 49 58 59 67 91 126 146 148 149 150 152 160 167 171 176 178 183 184 199 228 278 286 327 357 365 366 373 384 388"
"ابا","امجد",3,"22 32 51"
"ابا","انجیلا",2,"22 51"
"ابا","بڑا بھائی مختار",10,"126 146 149 150 152 199 228 327 328 329"
