Character_A,Character_B,Weight,Pages
"ابا جان رشیدہ","امی رشیدہ",6,"46 89 94 100 187 303"
"ابا جان رشیدہ","انتظار",1,"199"
"ابا جان رشیدہ","انوری",3,"97 98 171"
"ابا جان رشیدہ","بڑی خالہ",1,"184"
"ابا جان رشیدہ","بی بی جی",1,"100"
"ابا جان رشیدہ","تنویر",1,"171"
"ابا جان رشیدہ","جبروت",1,"114"
"ابا جان رشیدہ","جنید غازی",5,"89 92 100 114 272"
"ابا جان رشیدہ","حافظ بہنیں",1,"89"
"ابا جان رشیدہ","خالہ فیروزہ",2,"98 171"
"ابا جان رشیدہ","رشیدہ میر",12,"46 86 93 94 97 98 161 171 188 206 238 306"
"ابا جان رشیدہ","رمضان",1,"171"
"ابا جان رشیدہ","سجیلا",1,"192"
"ابا جان رشیدہ","سعیدہ",1,"187"
"ابا جان رشیدہ","ظفر احمد",12,"67 68 72 86 89 161 190 199 272 303 305 307"
"ابا جان رشیدہ","عذرا",1,"67"
"ابا جان رشیدہ","عرفان صاحب",3,"190 192 200"
"ابا جان رشیدہ","ملک صاحب",8,"114 161 206 256 272 305 306 307"
"ابا جان رشیدہ","ملکہ صاحبہ",2,"190 303"
"ابا جان رشیدہ","منی",2,"67 200"
"ابا جان رشیدہ","مہ پارہ",1,"192"
"ابا جان رشیدہ","نانی اماں",1,"46"
"ابا جان رشیدہ","نذیراں",1,"114"
"ابا جان رشیدہ","نظر",8,"67 68 86 97 192 206 256 303"
"ابا جان رشیدہ","نمازی",1,"100"
"ابا جان رشیدہ","ومیلا",1,"192"
"ابا جان رشیدہ","چاچا کرم داد",1,"92"
"ابا جان رشیدہ","چودھری نیاز محمد",3,"92 100 114"
"ابا جان رشیدہ","ڈمپل",2,"206 238"
"ابا جان رشیدہ","ڈیوڈ",1,"171"
"ابا جان رشیدہ","گلنار",3,"89 92 272"
"افتخار","امی رشیدہ",1,"27"
"افتخار","انتظار",1,"237"
"افتخار","جنید غازی",8,"25 27 28 29 30 32 155 156"
"افتخار","حیران",2,"28 237"
"افتخار","رشید",5,"25 26 28 30 32"
"افتخار","رشیدہ میر",3,"29 32 237"
"افتخار","زاہدہ",2,"236 237"
"افتخار","زاہدہ کے والد",1,"236"
"افتخار","ظفر احمد",6,"25 26 27 28 29 156"
"افتخار","ملک صاحب",1,"236"
"افتخار","نظر",3,"27 28 29"
"افتخار","نمازی",3,"26 28 155"
"افتخار","ڈاکٹر اعجاز حسین",1,"27"
"امتی","امی رشیدہ",1,"42"
"امتی","انوری",2,"42 145"
"امتی","خالد",1,"42"
"امتی","راشدہ",1,"42"
"امتی","رشیدہ میر",1,"42"
"امتی","ریاض",1,"42"
"امتی","ظفر احمد",2,"145 285"
"امتی","ملک صاحب",1,"285"
"امتی","نانی اماں",1,"42"
"امتی","نظر",2,"42 285"
"امی رشیدہ","انتظار",1,"269"
"امی رشیدہ","انوری",1,"42"
"امی رشیدہ","بتول آپا",1,"142"
"امی رشیدہ","بی بی جی",1,"100"
"امی رشیدہ","تختی میراثن",1,"45"
"امی رشیدہ","تنویر",2,"4 49"
"امی رشیدہ","جنید غازی",5,"27 89 100 103 269"
"امی رشیدہ","حافظ بہنیں",1,"89"
"امی رشیدہ","خالد",2,"4 42"
"امی رشیدہ","خالہ حمیرا",1,"62"
"امی رشیدہ","خالہ فیروزہ",3,"1 15 95"
"امی رشیدہ","راشدہ",3,"4 42 299"
"امی رشیدہ","رشید",2,"1 35"
"امی رشیدہ","رشیدہ میر",19,"1 4 15 19 20 34 35 42 46 49 94 95 103 182 210 265 269 282 299"
"امی رشیدہ","رمضان",1,"4"
"امی رشیدہ","ریاض",1,"42"
"امی رشیدہ","زاہدہ",1,"234"
"امی رشیدہ","زاہدہ کے والد",1,"234"
"امی رشیدہ","زری",1,"4"
"امی رشیدہ","سعیدہ",1,"187"
"امی رشیدہ","سیم صاحبہ",1,"211"
"امی رشیدہ","طلعت",1,"142"
"امی رشیدہ","طیبہ",2,"103 265"
"امی رشیدہ","ظفر احمد",13,"20 27 62 89 103 142 158 182 210 230 269 303 329"
"امی رشیدہ","ماسی جیونی",3,"43 44 45"
"امی رشیدہ","ملک صاحب",6,"35 95 210 265 269 282"
"امی رشیدہ","ملکہ صاحبہ",1,"303"
"امی رشیدہ","منظر",2,"62 265"
"امی رشیدہ","منی",2,"167 211"
"امی رشیدہ","مہ پارہ",1,"211"
"امی رشیدہ","مہران",1,"45"
"امی رشیدہ","نانی اماں",5,"42 43 44 45 46"
"امی رشیدہ","نظر",6,"1 27 42 44 182 303"
"امی رشیدہ","نمازی",1,"100"
"امی رشیدہ","پاپا",1,"211"
"امی رشیدہ","چاچا دارا",1,"43"
"امی رشیدہ","چودھری نیاز محمد",1,"100"
"امی رشیدہ","ڈاکٹر اعجاز حسین",3,"27 95 213"
"امی رشیدہ","ڈمپل",5,"211 213 265 269 282"
"امی رشیدہ","گلنار",3,"89 103 265"
"انتظار","انوری",1,"10"
"انتظار","جنید غازی",2,"144 269"
"انتظار","حیران",2,"10 237"
"انتظار","خالد",1,"63"
"انتظار","خالہ فیروزہ",1,"229"
"انتظار","رشید",2,"181 189"
"انتظار","رشیدہ میر",6,"10 13 144 172 237 269"
"انتظار","ریاض",1,"172"
"انتظار","زاہدہ",1,"237"
"انتظار","ظفر احمد",8,"63 144 172 178 181 199 254 269"
"انتظار","ملک صاحب",5,"181 189 229 254 269"
"انتظار","نانی اماں",1,"13"
"انتظار","نظر",2,"10 13"
"انتظار","ڈاکٹر اعجاز حسین",2,"10 178"
"انتظار","ڈمپل",2,"172 269"
"انوری","تنویر",4,"3 47 96 171"
"انوری","جمال اظہر بخاری",4,"40 56 58 96"
"انوری","جنید غازی",1,"40"
"انوری","حیران",2,"9 10"
"انوری","خالد",6,"2 5 6 42 56 185"
"انوری","خالہ فیروزہ",7,"3 6 40 56 98 99 171"
"انوری","راشدہ",3,"2 42 185"
"انوری","رشیدہ میر",20,"2 5 7 9 10 40 41 42 56 58 81 96 97 98 99 148 149 152 171 185"
"انوری","رمضان",10,"2 3 5 6 41 47 58 81 160 171"
"انوری","ریاض",1,"42"
"انوری","زبیر خان",1,"56"
"انوری","زری",1,"2"
"انوری","ساجھا",1,"152"
"انوری","سعیدہ",1,"185"
"انوری","طاہرہ",1,"2"
"انوری","ظفر احمد",3,"40 145 148"
"انوری","غلام رسول",1,"191"
"انوری","ملک صاحب",1,"228"
"انوری","نانی اماں",1,"42"
"انوری","نظر",10,"2 6 10 42 47 96 97 152 160 185"
"انوری","نمازی",1,"3"
"انوری","ڈاکٹر اعجاز حسین",1,"10"
"انوری","ڈمپل",2,"40 148"
"انوری","ڈیوڈ",2,"171 191"
"انوری","کیزو",1,"96"
"اکبری","خالہ فیروزہ",1,"173"
"اکبری","رشیدہ میر",1,"173"
"اکبری","رمضان",1,"173"
"اکبری","ریاض",1,"173"
"اکبری","غلام رسول",1,"173"
"بتول آپا","جنید غازی",1,"143"
