Character_A,Character_B,Weight,Pages
"آراد","آزاد",3,"1 3 14"
"آراد","ذی شان",5,"1 2 3 14 15"
"آزاد","ذی شان",5,"1 3 14 16 18"
"آزاد","فائزہ",1,"176"
"آزاد","نائیجل",1,"176"
"آزاد","پیا",1,"176"
"آمنہ","شہتوت رنگی",1,"241"
"آمنہ","ماجد",1,"241"
"آمنہ","ملک آصف",7,"221 223 224 231 234 238 243"
"آمنہ","ملکانی",7,"224 234 236 238 239 241 243"
"آمنہ","منی",1,"239"
"آمنہ","نور افشاں",2,"239 243"
"آمنہ","پارو بہو",2,"241 243"
"آمنہ","گل رخ",6,"224 234 236 239 241 243"
"آمنہ","گیتو",2,"239 241"
"انیلا","بیگم صاحبہ",1,"146"
"انیلا","روزی",4,"144 145 146 153"
"انیلا","زینب",1,"146"
"انیلا","شائستہ",3,"144 146 153"
"انیلا","لطیف صاحب",4,"144 146 153 156"
"انیلا","منی",1,"153"
"باجی","تہمینہ",4,"12 20 31 33"
"باجی","جمیلہ",1,"5"
"باجی","خالہ سکینہ",1,"20"
"باجی","زینب",5,"9 10 12 33 34"
"باجی","عابدہ",1,"5"
"باجی","قیصر",1,"204"
"باجی","پیا",1,"204"
"باجی","یوسف بھائی",5,"12 20 31 33 34"
"بیگم صاحبہ","خالہ سکینہ",1,"105"
"بیگم صاحبہ","روزی",1,"146"
"بیگم صاحبہ","زینب",2,"115 146"
"بیگم صاحبہ","شائستہ",1,"146"
"بیگم صاحبہ","لطیف صاحب",1,"146"
"بیگم صاحبہ","نسیم بانو",1,"115"
"بیگم صاحبہ","نواب صاحب",5,"101 107 113 116 117"
"بیگم صاحبہ","نیاز",1,"117"
"تہمینہ","خالہ سکینہ",1,"20"
"تہمینہ","زینب",2,"12 33"
"تہمینہ","یوسف بھائی",4,"12 20 31 33"
"جمالی ملک","خورشید",2,"183 184"
"جمیلہ","حمیرا",1,"173"
"جمیلہ","خالہ سکینہ",4,"6 8 173 174"
"جمیلہ","عابدہ",3,"5 6 8"
"جمیلہ","فائزہ",2,"173 174"
"جمیلہ","نائیجل",2,"173 174"
"جمیلہ","پولی",2,"109 110"
"حمیرا","خالہ سکینہ",1,"173"
"حمیرا","زبیر احمد",1,"149"
"حمیرا","فائزہ",4,"149 150 171 173"
"حمیرا","نائیجل",2,"171 173"
"حمیرا","گلاب دین",3,"149 150 171"
"خالہ سکینہ","شائستہ",1,"132"
"خالہ سکینہ","عابدہ",2,"6 8"
"خالہ سکینہ","فائزہ",2,"173 174"
"خالہ سکینہ","نائیجل",2,"173 174"
