Character_A,Character_B,Weight,Pages
"استاد فضلی","افتخار سلیم",17,"36 43 69 82 94 122 169 198 213 271 284 285 310 311 313 329 372"
"استاد فضلی","جلیل",1,"116"
"استاد فضلی","جمیلہ",3,"284 285 333"
"استاد فضلی","راشدہ",10,"110 112 120 168 169 311 334 353 355 363"
"استاد فضلی","ستارہ فیروز",54,"6 9 11 13 18 19 23 31 33 43 60 61 65 71 73 76 77 78 79 81 82 89 90 94 100 109 110 111 112 115 116 120 130 151 153 157 158 168 169 198 260 264 265 271 310 313 322 355 363 381 383 384 385 386"
"استاد فضلی","سلطان",1,"260"
"استاد فضلی","سکندر گل رخ",32,"20 36 43 65 69 76 77 81 89 90 100 109 111 116 120 122 153 157 158 169 239 310 311 313 322 325 329 372 381 383 384 385"
"استاد فضلی","سیٹھ",4,"6 122 157 158"
"استاد فضلی","سیٹھ صاحب",3,"6 157 158"
"استاد فضلی","شاہ جمال",1,"158"
"استاد فضلی","ظہیر",3,"36 43 69"
"استاد فضلی","عاشی",9,"73 122 153 169 213 310 322 325 329"
"استاد فضلی","عاصم",26,"18 19 23 43 60 69 71 73 89 90 100 110 111 112 120 132 198 239 260 292 300 311 321 333 355 383"
"استاد فضلی","غوری صاحب",1,"381"
"استاد فضلی","فوزیہ لطیف",3,"163 363 381"
"استاد فضلی","فیروزہ",5,"31 33 77 163 381"
"استاد فضلی","ماسٹر فضلی",32,"11 18 19 36 60 61 71 73 77 79 81 82 90 100 110 111 112 132 153 163 168 169 198 211 260 264 292 310 321 353 383 384"
"استاد فضلی","ماسٹر لطیف",15,"23 31 33 36 43 76 77 78 81 122 157 158 163 363 381"
"استاد فضلی","منظور",5,"78 122 132 151 321"
"استاد فضلی","نائیکہ",1,"122"
"استاد فضلی","نواز",3,"23 122 325"
"استاد فضلی","نگینہ",10,"18 71 90 168 211 239 265 300 333 383"
"افتخار سلیم","جلیل",1,"374"
"افتخار سلیم","جمیلہ",15,"173 174 181 182 183 199 200 219 284 285 286 301 306 336 337"
"افتخار سلیم","جنجوعہ",2,"50 75"
"افتخار سلیم","راشدہ",3,"169 311 339"
"افتخار سلیم","ستارہ فیروز",106,"26 27 28 29 30 32 40 43 46 47 48 49 50 70 72 74 80 82 83 84 85 91 93 94 124 125 126 127 128 148 149 152 169 170 171 172 173 174 175 181 182 183 189 190 191 193 195 198 199 200 202 204 205 206 208 210 212 216 217 219 220 227 229 233 234 235 236 241 242 243 253 254 255 259 266 267 268 269 271 272 273 274 275 286 287 288 293 294 295 296 301 304 305 306 308 309 310 313 314 315 318 328 337 339 374 379"
"افتخار سلیم","سلطان",2,"127 234"
"افتخار سلیم","سکندر گل رخ",86,"28 29 30 32 36 43 46 69 70 72 80 83 85 91 93 122 125 126 127 128 148 149 150 169 173 175 183 184 186 189 190 192 193 197 201 202 204 205 206 215 216 217 220 227 228 229 233 235 241 242 243 257 258 259 266 267 268 269 272 273 274 275 283 286 287 288 293 295 304 305 310 311 313 314 315 328 329 336 337 339 342 344 372 373 374 379"
"افتخار سلیم","سیٹھ",4,"122 127 272 296"
"افتخار سلیم","سیٹھ صاحب",2,"272 296"
"افتخار سلیم","شاہ جمال",1,"236"
