Character,Gender,TitleOrClass,Role
ابن ابی عامر,Male,Character,Minor
ابن حبیب,Male,Character,Minor
ابو الحجاج شیخ یوسف,Male,Religious Figure,Minor
ابو الحجاج یوسف,Unknown,Character,Minor
ارشاد,Unknown,Character,Support
استاد بیخود دہلوی,Male,Poet,Minor
استاد سائل دہلوی,Male,Poet,Minor
ام رقیبہ,Unknown,Character,Minor
اماں بی,Female,Household Elder,Minor
امی جان,Unknown,Character,Minor
انوری,Female,Character,Support
اپسرائیں,Unknown,Mythic Figure,Minor
اچھن,Unknown,Character,Minor
اچھی بی,Female,Household Elder,Support
بادشاہ,Unknown,Royalty,Minor
بالو,Unknown,Character,Minor
بسمل الہ آبادی,Unknown,Poet,Minor
بشو بھابی,Female,Household Elder,Support
بشیر,Unknown,Character,Minor
بندر (کہانی والا),Unknown,Animal,Minor
بندر والا,Unknown,Character,Minor
بندے علی,Unknown,Character,Minor
بوم با پوڑی,Unknown,Character,Minor
بڑی اماں,Female,Household Elder,Minor
بڑی بھابی,Female,Household Elder,Support
بڑی بی,Female,Household Elder,Minor
بڑے ابا,Unknown,Character,Minor
بکری کا بچہ,Unknown,Animal,Minor
بھوپت,Male,Character,Support
بھیا جانی,Unknown,Character,Minor
بیان یزدانی,Unknown,Poet,Minor
بیگم رفیق,Female,Begum,Support
تاراولی,Unknown,Character,Minor
تایا جانی,Male,Relative,Minor
توصیف,Unknown,Character,Support
جان عالم,Unknown,Character,Minor
جانی پہلوان,Male,Wrestler,Minor
جمال دین,Unknown,Character,Support
جواد حسن,Male,Character,Narrator
حالانا الطاف حسین حالی,Male,Religious Figure,Minor
حاجی صاحب,Male,Religious Figure,Minor
حضرت ابن عباس,Male,Religious Figure,Minor
حضرت رسول اللہ,Male,Religious Figure,Minor
خالو جان,Male,Relative,Support
خیرل بھائی,Male,Character,Support
دادا میاں,Unknown,Character,Minor
دروپدی,Female,Mythic Figure,Minor
دسمیتی,Female,Character,Minor
دلہن خالہ,Female,Relative,Support
دلبر چاچا,Male,Relative,Support
دھنیا,Unknown,Character,Minor
ڈاکٹر سر محمد اقبال,Male,Doctor,Minor
رگھو حلوائی,Unknown,Halwai,Minor
رحیم الدین بابا,Male,Religious Figure,Minor
سئاندھاری ماتا,Female,Mythic Figure,Minor
سادھو,Unknown,Mythic Figure,Minor
سادھو مہاراج,Unknown,Mythic Figure,Minor
سانپ (برکش والا),Unknown,Animal,Minor
سعادت,Unknown,Character,Minor
سعادت کی ماں,Female,Household Elder,Support
سیٹھ مہندر,Male,Businessman,Minor
سید آقا حسن,Male,Sayyid Family,Support
سید شبیر حسین کربلائی,Male,Sayyid Family,Support
سیدانی چی,Female,Household Elder,Support
سلطانہ ڈاکو,Unknown,Character,Minor
سلوچنا,Female,Character,Minor
سلیمن چی,Unknown,Character,Minor
سندر بیر,Unknown,Mythic Figure,Minor
سپید ریش بزرگ,Unknown,Household Elder,Minor
شبراتی,Unknown,Character,Support
شکور,Unknown,Character,Support
شیخ ابو جعفر عریانی,Male,Religious Figure,Minor
شیخ ابو مدین,Male,Religious Figure,Minor
شیخ موسی ابو عمر الصدرانی,Male,Religious Figure,Minor
صفی لکھنوی,Unknown,Poet,Minor
طوطا,Unknown,Animal,Minor
عطاء اللہ غازی,Male,Religious Figure,Support
عبدالرحمان اول,Male,Historical Figure,Minor
عبداللہ (اندلسی بزرگ),Male,Religious Figure,Minor
عبداللہ نان فروش,Unknown,Shopkeeper,Minor
عشرت النساء,Female,Household Elder,Support
علی بلاقی,Unknown,Character,Minor
غماماں,Male,Wrestler,Minor
قادر,Male,Wrestler,Minor
قاضی,Unknown,Religious Figure,Minor
کوہ قاف کا پاسبان,Unknown,Mythic Figure,Minor
کالی بلی,Female,Animal,Minor
کرمو,Unknown,Character,Minor
کلثوم,Female,Character,Minor
