Character_A,Character_B,Weight,Pages
"ارشاد","اچھی بی",1,"28"
"ارشاد","بشو بھابی",1,"28"
"ارشاد","سید آقا حسن",1,"28"
"ارشاد","لکھنو والے",1,"28"
"ارشاد","مجید الحسینی",2,"28 78"
"انوری","بڑی بھابی",1,"92"
"انوری","جواد حسن",2,"90 92"
"انوری","دلبر چاچا",1,"90"
"انوری","دلہن خالہ",1,"90"
"انوری","دینا",1,"92"
"انوری","شبراتی",1,"92"
"انوری","شنکر",1,"90"
"انوری","ننھی تائی",2,"90 92"
"انوری","چھوٹے میاں",1,"92"
"اچھی بی","بشو بھابی",2,"28 40"
"اچھی بی","توصیف",1,"55"
"اچھی بی","جمال دین",2,"195 198"
"اچھی بی","جواد حسن",4,"40 55 196 228"
"اچھی بی","دینا",1,"54"
"اچھی بی","سعادت کی ماں",4,"53 54 179 196"
"اچھی بی","سید آقا حسن",1,"28"
"اچھی بی","شنکر",1,"51"
"اچھی بی","لکھنو والے",1,"28"
"اچھی بی","مجید الحسینی",10,"28 40 51 53 54 55 177 179 198 226"
"اچھی بی","مرزا اولاور بیگ",11,"40 53 54 177 179 195 196 197 198 226 228"
"اچھی بی","مرزا عزت بیگ",11,"40 53 54 177 179 195 196 197 198 226 228"
"اچھی بی","نعمت خان",2,"198 228"
"اچھی بی","ہفت رنگن",2,"54 179"
"بشو بھابی","توصیف",13,"22 27 32 42 56 57 58 59 122 123 125 152 221"
"بشو بھابی","جواد حسن",2,"40 58"
"بشو بھابی","خالو جان",2,"22 57"
"بشو بھابی","خیرل بھائی",1,"152"
"بشو بھابی","دینا",1,"125"
"بشو بھابی","رفیق صاحب",2,"22 221"
"بشو بھابی","سید آقا حسن",12,"22 27 28 29 30 32 59 138 152 192 200 236"
"بشو بھابی","شنکر",2,"192 200"
"بشو بھابی","عطاء اللہ غازی",4,"42 123 125 221"
"بشو بھابی","لکھنو والے",2,"28 58"
"بشو بھابی","مجید الحسینی",20,"22 27 28 29 30 32 40 42 56 57 58 59 122 125 138 152 192 200 221 236"
"بشو بھابی","مرزا اولاور بیگ",1,"40"
"بشو بھابی","مرزا عزت بیگ",1,"40"
"بشو بھابی","میرٹھ والے",2,"30 236"
"بشو بھابی","میمونہ",1,"192"
"بشو بھابی","نعمت خان",2,"22 221"
"بشو بھابی","پھوپھی اماں",1,"192"
"بشو بھابی","پیلی بھیت والے",1,"58"
"بشو بھابی","چھوٹے میاں",1,"125"
"بڑی بھابی","بھوپت",2,"89 116"
"بڑی بھابی","جواد حسن",8,"84 87 89 92 107 114 116 117"
"بڑی بھابی","خیرل بھائی",2,"107 110"
"بڑی بھابی","دلبر چاچا",1,"89"
"بڑی بھابی","دلہن خالہ",1,"89"
"بڑی بھابی","دینا",3,"92 106 112"
"بڑی بھابی","شبراتی",1,"92"
"بڑی بھابی","شنکر",2,"82 107"
"بڑی بھابی","مجید الحسینی",1,"156"
"بڑی بھابی","میمونہ",12,"75 84 87 89 105 106 110 112 114 116 117 245"
"بڑی بھابی","نعمت خان",1,"75"
"بڑی بھابی","ننھی تائی",2,"89 92"
"بڑی بھابی","پھوپھی اماں",6,"75 105 106 116 117 245"
"بڑی بھابی","چھوٹی پھوپھو",3,"105 112 120"
"بڑی بھابی","چھوٹے میاں",8,"75 82 84 92 106 107 112 120"
"بڑی بھابی","یمن",1,"89"
