Character_A,Character_B,Weight,Pages
"ابا جان","اجمل",1,"79"
"ابا جان","اخباری دوست (خواجہ صاحب)",19,"61 62 63 64 79 108 109 110 150 155 194 195 202 213 215 220 224 225 231"
"ابا جان","ادیب/نقاد عرفان",4,"77 110 131 155"
"ابا جان","امی",27,"1 3 10 15 20 21 22 23 42 43 79 81 85 131 147 149 151 153 155 173 202 203 210 215 216 224 239"
"ابا جان","بتول",2,"43 215"
"ابا جان","بندو",2,"10 220"
"ابا جان","بی اماں",12,"1 3 10 14 15 20 21 22 23 85 131 209"
"ابا جان","جلیب",1,"10"
"ابا جان","خالو جان",1,"10"
"ابا جان","خالہ جان",4,"10 20 23 24"
"ابا جان","دادا ابا",3,"81 153 239"
"ابا جان","ذاکر",10,"1 12 24 42 85 108 147 153 203 210"
"ابا جان","زوار",1,"203"
"ابا جان","سریندر",1,"231"
"ابا جان","سلامت",6,"62 63 79 109 215 220"
"ابا جان","شریفن",6,"1 3 10 21 64 85"
"ابا جان","شیراز کا بیرا عبدل",1,"77"
"ابا جان","صابرہ",6,"10 12 20 23 127 216"
"ابا جان","طاہرہ",2,"10 20"
"ابا جان","علمی ملا (مولوی دیا سلائی)",1,"231"
"ابا جان","مصیب حسین",5,"13 15 21 81 85"
"ابا جان","ناصر علی",1,"1"
"ابا جان","نظیرا دکان والی",1,"225"
"ابا جان","ڈاکٹر جوشی",2,"2 3"
"ابا جان","کریم بخش",1,"110"
"اجمل","اخباری دوست (خواجہ صاحب)",4,"48 72 79 198"
"اجمل","ادیب/نقاد عرفان",13,"47 48 49 52 72 89 92 107 112 118 175 198 204"
"اجمل","امی",2,"79 175"
"اجمل","انٹی جان",1,"107"
"اجمل","بندو",1,"204"
"اجمل","ذاکر",2,"52 112"
"اجمل","زوار",5,"52 89 92 111 118"
"اجمل","سلامت",19,"47 48 49 50 52 65 66 67 72 79 89 92 106 107 112 118 175 198 204"
"اجمل","سلامت کی ماں",1,"66"
"اجمل","شیراز کا بیرا عبدل",4,"47 48 52 198"
"اخباری دوست (خواجہ صاحب)","ادیب/نقاد عرفان",7,"48 72 110 133 155 183 198"
"اخباری دوست (خواجہ صاحب)","امی",6,"79 155 171 202 215 224"
"اخباری دوست (خواجہ صاحب)","بتول",1,"215"
"اخباری دوست (خواجہ صاحب)","بندو",1,"220"
"اخباری دوست (خواجہ صاحب)","ذاکر",1,"108"
"اخباری دوست (خواجہ صاحب)","سریندر",1,"231"
"اخباری دوست (خواجہ صاحب)","سلامت",9,"48 62 63 72 79 109 198 215 220"
"اخباری دوست (خواجہ صاحب)","شریفن",1,"64"
"اخباری دوست (خواجہ صاحب)","شیراز کا بیرا عبدل",2,"48 198"
"اخباری دوست (خواجہ صاحب)","علمی ملا (مولوی دیا سلائی)",1,"231"
"اخباری دوست (خواجہ صاحب)","نظیر انا",1,"183"
"اخباری دوست (خواجہ صاحب)","نظیرا دکان والی",2,"183 225"
"اخباری دوست (خواجہ صاحب)","کریم بخش",1,"110"
"ادیب/نقاد عرفان","امی",8,"46 88 131 134 155 157 175 218"
"ادیب/نقاد عرفان","انٹی جان",2,"107 134"
"ادیب/نقاد عرفان","بندو",1,"204"
"ادیب/نقاد عرفان","بی اماں",1,"131"
"ادیب/نقاد عرفان","خالہ جان",1,"46"
"ادیب/نقاد عرفان","ذاکر",8,"52 71 112 137 156 157 182 208"
"ادیب/نقاد عرفان","زوار",6,"52 89 90 92 114 118"
"ادیب/نقاد عرفان","سریندر",1,"156"
"ادیب/نقاد عرفان","سلامت",22,"47 48 49 52 71 72 89 92 107 112 114 118 120 136 137 175 181 182 198 199 204 207"
"ادیب/نقاد عرفان","شریفن",1,"212"
"ادیب/نقاد عرفان","شیراز کا بیرا عبدل",14,"47 48 52 60 77 114 143 144 181 197 198 206 207 208"
"ادیب/نقاد عرفان","صابرہ",5,"88 156 158 159 218"
"ادیب/نقاد عرفان","علمی ملا (مولوی دیا سلائی)",1,"135"
"ادیب/نقاد عرفان","ملا نوٹیا",1,"134"
"ادیب/نقاد عرفان","نظیر انا",1,"183"
"ادیب/نقاد عرفان","نظیرا دکان والی",1,"183"
"ادیب/نقاد عرفان","کریم بخش",1,"110"
"امی","انٹی جان",2,"38 134"
"امی","بتول",5,"43 44 140 172 215"
"امی","بندو",1,"10"
"امی","بی اماں",22,"1 3 10 11 15 18 19 20 21 22 23 26 30 35 38 39 85 86 131 167 168 247"
"امی","تندور والی",2,"221 222"
"امی","جلیب",1,"10"
"امی","جگدیش",1,"19"
"امی","خالو جان",1,"10"
