Character_A,Character_B,Weight,Pages
"اجمل","افسری فاطمہ",2,"92 97"
"اجمل","بلو",1,"97"
"اجمل","بوجی",1,"97"
"اجمل","حق صاحب",4,"90 94 96 97"
"اجمل","حمید ڈاکیہ",1,"97"
"اجمل","رفیا",1,"97"
"اجمل","سبطین",10,"90 92 94 95 96 97 100 101 102 105"
"اجمل","علن",1,"97"
"اجمل","فیاض خان",7,"90 94 96 97 100 101 102"
"اجمل","مزمل",10,"90 92 94 95 96 97 100 101 102 105"
"اجمل","نمبردار صاحب",2,"94 95"
"اجمل","نوابن",1,"97"
"اجمل","کالے خاں",2,"97 102"
"اجمل","گلشن",2,"97 101"
"افسری فاطمہ","بلو",8,"41 42 46 48 65 97 98 99"
"افسری فاطمہ","بوجی",11,"41 42 43 46 48 65 69 76 81 97 99"
"افسری فاطمہ","حق صاحب",10,"48 66 67 69 70 76 89 97 98 99"
"افسری فاطمہ","حمید ڈاکیہ",4,"41 46 76 97"
"افسری فاطمہ","دلی والی 1",1,"65"
"افسری فاطمہ","رشید",2,"50 98"
"افسری فاطمہ","رفیا",5,"41 50 67 69 97"
"افسری فاطمہ","سبطین",12,"43 48 50 65 66 69 70 89 92 97 98 99"
"افسری فاطمہ","شیرو",1,"48"
"افسری فاطمہ","علن",5,"50 67 69 81 97"
"افسری فاطمہ","فرحت",4,"46 65 67 76"
"افسری فاطمہ","فضل حق وکیل",1,"42"
"افسری فاطمہ","فیاض خان",11,"41 42 43 65 66 69 70 81 88 89 97"
"افسری فاطمہ","لالہ رگھو بر دیال",1,"48"
"افسری فاطمہ","مزمل",2,"92 97"
"افسری فاطمہ","ملن",2,"69 81"
"افسری فاطمہ","مٹھوا",1,"48"
"افسری فاطمہ","نمبردار صاحب",4,"48 67 69 76"
"افسری فاطمہ","نمبردارنی",10,"41 42 43 46 48 65 67 76 98 99"
"افسری فاطمہ","نوابن",7,"42 65 67 76 97 98 99"
"افسری فاطمہ","ڈپٹی صاحب",2,"42 48"
"افسری فاطمہ","کالے خاں",5,"48 50 67 69 97"
"افسری فاطمہ","گلشن",7,"41 43 46 65 69 81 97"
"بلو","بوجی",10,"41 42 44 45 46 47 48 65 97 99"
"بلو","حق صاحب",4,"48 97 98 99"
"بلو","حمید ڈاکیہ",3,"41 46 97"
"بلو","دلی والی 1",1,"65"
"بلو","رشید",1,"98"
"بلو","رفیا",3,"41 47 97"
"بلو","سبطین",5,"48 65 97 98 99"
"بلو","شیرو",1,"48"
"بلو","علن",1,"97"
"بلو","فرحت",4,"44 45 46 65"
"بلو","فضل حق وکیل",1,"42"
"بلو","فیاض خان",4,"41 42 65 97"
"بلو","لالہ رگھو بر دیال",1,"48"
"بلو","مزمل",1,"97"
"بلو","مٹھوا",1,"48"
"بلو","نمبردار صاحب",1,"48"
"بلو","نمبردارنی",10,"41 42 44 45 46 47 48 65 98 99"
"بلو","نوابن",7,"42 45 47 65 97 98 99"
"بلو","ڈپٹی صاحب",2,"42 48"
"بلو","کالے خاں",3,"44 48 97"
"بلو","گلشن",5,"41 46 47 65 97"
"بوجی","حق صاحب",6,"26 48 69 76 97 99"
"بوجی","حمید ڈاکیہ",4,"41 46 76 97"
"بوجی","دلی والی 1",5,"61 62 63 65 78"
"بوجی","رفیا",10,"4 5 15 24 41 47 69 77 78 97"
"بوجی","سبطین",20,"4 5 11 14 15 17 18 19 24 25 26 43 48 61 65 69 77 78 97 99"
"بوجی","شیرو",1,"48"
"بوجی","علن",7,"4 5 69 77 78 81 97"
"بوجی","فرحت",5,"44 45 46 65 76"
"بوجی","فضل حق وکیل",2,"4 42"
"بوجی","فیاض خان",11,"18 19 41 42 43 61 65 69 77 81 97"
"بوجی","لالہ رگھو بر دیال",2,"26 48"
"بوجی","مزمل",1,"97"
"بوجی","ملن",3,"4 69 81"
