Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"اجمل","افسری فاطمہ",15,"89 91 92 93 95 96 97 98 99 103 104 105","90:88 90:89 90:92 92:92 94:92 94:97 95:97 96:97 97:97 100:97 100:98 100:99 101:106 102:106 105:106"
"اجمل","بلو",8,"94 95 96 97 98 99","92:97 94:97 95:97 96:97 97:97 100:97 100:98 100:99"
"اجمل","بوجی",7,"94 95 96 97 98 99","92:97 94:97 95:97 96:97 97:97 100:97 100:99"
"اجمل","حق صاحب",13,"89 90 91 93 94 95 96 97 98 99","90:89 90:90 92:90 92:94 94:94 95:94 95:96 96:96 97:96 97:97 100:97 100:98 100:99"
"اجمل","حمید ڈاکیہ",6,"94 95 96 97 98","92:97 94:97 95:97 96:97 97:97 100:97"
"اجمل","رشید",5,"96 97 99","94:98 95:98 96:98 97:98 100:98"
"اجمل","رفیا",11,"87 94 95 96 97 98 101 102 104","90:85 92:97 94:97 95:97 96:97 97:97 100:97 100:103 101:103 102:103 105:103"
"اجمل","سبطین",25,"87 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105","90:85 90:89 90:90 92:90 92:92 94:92 94:93 94:94 95:94 95:95 96:95 96:96 97:96 97:97 100:97 100:98 100:99 100:100 101:100 101:101 102:101 102:102 105:102 105:103 105:105"
"اجمل","شیرو",4,"102 103 104","100:104 101:104 102:104 105:104"
"اجمل","علن",13,"87 90 91 94 95 96 97 98 101 102 104","90:85 90:91 92:91 92:97 94:97 95:97 96:97 97:97 100:97 100:103 101:103 102:103 105:103"
"اجمل","فیاض خان",24,"88 89 90 91 92 93 94 95 96 97 98 100 101 102 103 104 106","90:86 90:87 90:88 90:89 90:90 92:90 92:91 92:93 94:93 94:94 95:94 95:96 96:96 97:96 97:97 100:97 100:100 101:100 101:101 102:101 102:102 105:102 105:103 105:107"
"اجمل","مزمل",20,"90 91 92 93 94 95 96 97 98 100 101 102 103 105","90:90 92:90 92:92 94:92 94:93 94:94 95:94 95:95 96:95 96:96 97:96 97:97 100:97 100:100 101:100 101:101 102:101 102:102 105:102 105:105"
"اجمل","نمبردار صاحب",6,"92 93 94 95","90:94 92:94 94:94 95:94 95:95 96:95"
"اجمل","نمبردارنی",6,"96 97 99","94:98 95:98 96:98 97:98 100:98 100:99"
"اجمل","نوابن",8,"94 95 96 97 98 99","92:97 94:97 95:97 96:97 97:97 100:97 100:98 100:99"
"اجمل","کالے خاں",14,"87 88 94 95 96 97 98 101 102 103 104","90:85 90:86 92:97 94:97 95:97 96:97 97:97 100:97 100:102 101:102 102:102 105:102 105:103 105:104"
"اجمل","گلشن",9,"94 95 96 97 98 100 101","92:97 94:97 95:97 96:97 97:97 100:97 100:101 101:101 102:101"
"افسری فاطمہ","بلو",20,"41 42 43 45 46 47 48 49 65 94 97 98 99","41:41 42:41 42:42 43:42 43:44 46:44 46:45 46:46 48:46 48:47 48:48 50:48 65:65 66:65 92:97 97:97 98:97 98:98 99:98 99:99"
"افسری فاطمہ","بوجی",32,"41 42 43 44 45 46 47 48 49 63 64 65 67 68 69 76 78 79 81 94 97 98 99","41:41 42:41 42:42 43:42 43:43 46:43 46:44 46:45 46:46 48:46 48:47 48:48 50:48 65:61 65:62 65:63 65:65 66:65 66:69 67:69 69:69 70:69 76:76 81:76 81:77 81:78 81:81 92:97 97:97 98:97 98:99 99:99"
"افسری فاطمہ","حق صاحب",32,"38 45 47 48 49 64 65 66 67 68 69 70 74 76 78 82 86 88 89 90 91 93 95 96 97 98 99","41:36 43:48 46:48 48:48 50:48 65:64 65:66 66:66 67:66 67:67 69:67 69:68 69:69 70:69 70:70 76:72 76:76 81:76 81:84 88:84 88:89 89:89 92:89 92:90 92:94 97:94 97:96 97:97 98:97 98:98 99:98 99:99"
"افسری فاطمہ","حمید ڈاکیہ",11,"41 44 46 47 76 78 94 97","41:41 42:41 42:46 43:46 46:46 48:46 76:76 81:76 92:97 97:97 98:97"
"افسری فاطمہ","خان صاحب",2,"52 64","50:55 65:64"
"افسری فاطمہ","خلیفہ",1,"52","50:55"
"افسری فاطمہ","دلی والی 1",11,"63 64 65 67 68 77 79","65:61 65:62 65:63 65:64 65:65 66:65 66:68 67:68 69:68 76:78 81:78"
"افسری فاطمہ","دلی کباب والا",2,"78 80","76:80 81:80"
"افسری فاطمہ","رشید",6,"48 49 50 97 98","46:50 48:50 50:50 97:98 98:98 99:98"
"افسری فاطمہ","رفیا",30,"40 41 44 45 46 47 49 50 64 66 67 68 69 76 79 80 81 85 86 94 97 100 101 104","41:40 41:41 42:41 42:47 43:47 46:47 48:47 48:50 50:50 65:64 65:67 66:67 67:67 69:67 69:69 70:69 76:77 81:77 81:78 81:79 81:82 88:83 88:84 88:85 92:97 97:97 98:97 98:103 99:103 106:103"
"افسری فاطمہ","سبطین",51,"38 39 40 42 43 44 47 48 49 50 63 64 65 66 67 68 69 70 74 76 79 80 81 85 86 88 89 90 91 92 94 95 96 97 98 99 103 104 105","41:36 41:37 41:38 41:39 41:43 42:43 43:43 46:43 46:48 48:48 50:48 50:50 65:61 65:64 65:65 66:65 66:66 67:66 67:68 69:68 69:69 70:69 70:70 76:72 76:77 81:77 81:78 81:79 81:82 88:83 88:84 88:85 88:89 89:89 92:89 92:90 92:92 97:92 97:93 97:94 97:95 97:96 97:97 98:97 98:98 99:98 99:99 106:101 106:102 106:103 106:105"
"افسری فاطمہ","سکھ اسٹیشن ماسٹر",4,"66 67 68","65:68 66:68 67:68 69:68"
"افسری فاطمہ","شیرو",16,"40 45 47 48 49 50 62 71 74 75 77 80 81 101 105","41:40 43:48 46:48 48:48 50:48 50:51 65:60 69:73 70:73 76:73 76:74 76:79 81:79 81:82 99:104 106:104"
